date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3820.0,,26057000000.0,,28.9080093640864,48.6179529493035,99.2724411866293,20.4372721341674,,1.94081746651516
2017,3600.0,3.79244013801384,24928000000.0,,28.9823090500642,45.475689987163,99.8770057766367,16.6162548138639,24.8950073840827,0.877637937323399
2016,3510.0,3.79244013801384,24154000000.0,52.1463391829925,28.502691065662,44.4292870746046,99.97532499793,15.9516436201043,23.2438676602391,0.534445496380641
2015,3440.0,3.89290402336885,23438000000.0,51.2789283475126,29.4864322894445,47.0746224080553,101.572019796911,16.017108968342,22.7635271821578,1.30970391182193
2014,3400.0,3.77497053016986,22593000000.0,50.8390120114637,29.5534457575355,48.552604789094,102.60359403355,16.3975567653698,22.7701911931858,1.00950388795415
2013,3350.0,3.65703703697089,21991000000.0,62.3991632940748,29.7248419808103,50.7262061752535,103.981856213906,17.019280614797,22.9957709972261,0.583779863331401
2012,3210.0,3.53910354377187,21386000000.0,,28.571308332554,49.0778546712803,102.797624614234,17.7096698774899,22.9023660338539,2.54567804699046
2011,3060.0,3.15,20284000000.0,54.5619791967068,28.9814632222441,50.2943699467561,103.522086373496,17.7896864523763,24.8896026678663,5.90966664722727
2010,2880.0,3.16,18448000000.0,57.4940372940156,26.9465524718127,46.5904163052905,102.971866869037,16.6715633130963,24.1457068516912,2.64851912247921
2009,2820.0,3.63,17601620000.0,58.1469205675387,23.9512044914048,42.119986683044,104.114166764196,14.0546154274436,25.8533021392349,-0.057017912376125
2008,2870.0,3.41,17986890000.0,48.4269376195663,26.7405871721015,53.925386767807,107.012162747423,20.1726368482823,22.7515707273464,3.08206818786178
2007,2680.0,2.81,17011750900.0,48.4823699129053,25.5670331970356,52.0540187312524,105.686946074434,20.8000341693223,20.5422711662208,4.38208669042342
2006,2570.0,2.76,15999886400.0,50.5122336368588,25.9396841717576,47.515899862889,101.50078315556,20.0754550357308,22.5295349596982,4.32676265855767
2005,2420.0,2.76,14698001400.0,56.215806320443,25.2665644731807,44.4492405613732,100.578028248113,18.6047063514363,20.4755729578309,4.2677238453321
2004,2270.0,2.765,13724810900.0,56.5005963032977,25.9062104819237,43.8760536948454,99.8291021991421,18.1407410137797,19.6177566278891,2.71626679934933
2003,2130.0,2.77,13243892200.0,57.9112234090821,25.9234207599485,42.3135617186615,97.9609128802785,18.4292273233695,17.3445990446826,2.96887705668189
2002,2000.0,2.8,12664190300.0,62.446945384262,25.5130894550755,40.4060013216952,97.8282409417047,17.0646701352869,20.2223745800788,1.5026946862628
2001,1950.0,2.66999999999995,12282533600.0,35.370552538118,25.0092920568115,40.8814464794136,98.1580844199767,17.7140700026255,22.9700165444693,3.31598184449791
2000,1900.0,2.54,11784927700.0,27.376408936306,26.8272702258496,41.8828186786415,97.3864879968674,17.6690604559246,15.020032749119,3.27452086481499
1999,1810.0,2.42,11284197000.0,28.1906634561591,24.3964014453133,36.5940881748165,94.8962021843468,17.3014845451564,14.236103818464,0.995604908996569
1998,1750.0,2.3,10936669900.0,24.6529338880384,24.3865859021675,36.4857048487858,93.4480622844802,18.651055747783,11.991675820809,4.22816943579389
1997,1690.0,2.2825769,10221705900.0,,26.0218365312193,37.535256223719,96.4302162127361,15.0832034797636,,3.38684616498495
1996,1590.0,2.2825769,9586327800.0,,21.1409878973678,34.140868831963,97.6449177963641,15.3549641813834,,6.5751444948847
1995,1480.0,2.0,8921947100.0,,21.5545012590357,37.8062530767527,95.3075299000596,20.9442219176574,,10.9281039632241
1994,1290.0,3.0180866,7679384000.0,,19.9227229684048,35.225925673205,94.9450815325813,20.3581224744068,,9.80651680398705
1993,1170.0,3.0180866,6680269200.0,,19.372303140119,34.1549873469171,95.8250529784039,18.9576297314485,,8.59234039409102
1992,1060.0,3.0180866,5813399300.0,,16.132915555964,32.5423302679381,97.5764420654883,18.8329726464859,,3.423708368126
1991,930.0,3.0180866,5252342400.0,,17.2257733996931,30.5276575266685,97.846398970486,15.4554851564894,,7.42011129680054
1990,900.0,3.0180866,4817542204.02673,,18.4969874192393,31.1186403692961,98.8087508270862,13.8129021229706,,5.10707203469245
1989,860.0,3.0180866,4372215300.0,,13.2377881757104,23.6905076472332,95.1251645818997,15.3275571767932,,3.3573068796853
1988,860.0,3.0180866,4189880000.0,,15.8106819288381,22.2850224827441,93.6825899548436,12.7917482123593,,3.90649010175166
1987,820.0,3.0180866,3958045800.0,,18.9923042325584,26.102317967114,94.7485600090833,12.3614537254723,,2.36853178420664
1986,760.0,3.0180866,3771663200.0,,24.6681623109932,29.0459604134325,91.1266281676476,13.2511699347916,,-0.942941096389021
1985,720.0,3.0180866,3800368600.0,,22.3237661736285,29.8867720357441,96.7171789599567,10.8458242708352,,3.15144395740541
1984,690.0,3.0180866,3661683400.0,,21.7541390935109,28.53653595502,94.821947195107,11.9604496664021,,3.05236081413345
1983,670.0,3.0180866,3506347800.0,,24.488517653611,29.9092833859779,93.3656296160923,12.055138968245,,1.5930116501562
1982,680.0,3.0180866,3399189100.0,,22.7774029988505,28.4703372342539,92.4715162213247,13.2214121303225,,5.54988383348574
1981,730.0,1.1,3437200200.0,,26.6786904062207,33.5878020721633,92.6649544591554,14.2441513880978,,7.39748354654992
1980,760.0,1.0,3573959900.0,,34.1615472518312,33.244916933735,85.809577773942,13.2737919079618,,16.9518640303259
1979,780.0,0.9,3463639900.0,,36.971510808615,37.1412744148143,82.0847455880157,18.0850209053199,,15.5624072026402
1978,710.0,0.9,3127960000.0,,30.2663684957608,39.5299172623691,83.1890465351219,26.0745022314863,,0.960013080572281
1977,610.0,0.8,2941640100.0,,38.1651038820147,37.4729729853764,75.8923601836948,23.415508919667,,18.3216298509201
1976,530.0,0.9,2328280100.0,,35.5438334073293,36.8168761138318,81.6534058767242,19.6196325347625,,17.6342113884372
1975,480.0,0.8,1884120100.0,,33.0467256307069,38.2162474674518,83.0477844804055,22.1217320488222,,9.88797936069257
1974,440.0,2.7403844,1665880000.0,,32.4177011549451,40.8312723605542,85.7876917905251,22.6258794150839,,9.64914798953156
1973,380.0,2.7403844,1442320000.0,,29.9600643407843,32.98297187864,84.7440304509401,18.2788840201897,,8.84136569633185
1972,350.0,2.7403844,1263720000.0,,29.0950527015478,28.1264837147469,84.8669008957681,14.1645301174311,,0.40031654398345
1971,320.0,2.7403844,1186120000.0,,24.6315718477051,26.6145078069673,86.3892354905069,15.5937004687553,,0.8064575213415
1970,310.0,0.7,1132920000.0,,24.8349398015747,24.5489531476185,86.4668290788405,13.2471842672033,,4.83751153455341
1969,300.0,,1049400000.0,,23.1865828092243,25.7937869258624,89.4949494949495,13.1122546216886,,0.425428244443651
1968,300.0,,1009760100.0,,25.3485951762206,27.103467447367,90.2154878173538,11.5393745504502,,0.194831870160613
