date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,21140.0,,30732144528.9795,,74.2567080764856,70.7437935394783,69.2825382259403,26.2180741219397,,4.5287975063782
2017,18690.0,4.88682714998714,26792757827.3154,,76.1376865328606,71.8574286059871,70.164476569439,26.5754168892282,35.0065677218458,3.64009291322634
2016,18260.0,4.88682714998714,23996451497.6139,,77.4537942698225,73.5442438598038,72.1042661955718,25.362189299478,36.3931630803544,1.70903496217103
2015,18560.0,4.88682714998714,23048864242.6072,,76.8734131563936,72.9681600349145,71.2752591578905,24.8194877206304,35.865763105617,1.11874587447134
2014,18880.0,5.11680888741745,26773472961.8253,,81.3308981156804,77.8642907618956,69.611631363832,26.9217617779236,33.6273713125569,2.94872048750202
2013,18170.0,4.28962929258045,25271407238.6622,,84.0234024702817,81.3571841244654,70.311249401867,27.0225322523167,33.8310683911503,4.04323343937382
2012,16800.0,4.35,23192709238.817,,85.5675634123131,83.9241983978361,69.2131410566434,29.1434933748855,33.6833888424236,4.0230549588062
2011,15850.0,4.77,23394843529.0691,,85.8218638462488,80.0587687940266,68.7906776527441,25.4462267008286,34.1864067768483,5.38582158530893
2010,14560.0,5.43,19685033799.4182,,74.4333837979562,68.0656655582427,72.1189370277049,21.5133689536629,37.4942338688305,1.82629131260749
2009,14560.0,5.21,19744110447.3465,,60.5219565723599,55.5858818187045,74.0105910642336,20.8915975780623,40.3854239347559,-0.175091957590325
2008,15080.0,5.36,24371299985.3523,,66.3115573830274,70.2113555984266,71.7824536799507,31.5965871846238,34.1044734384157,6.90086702302773
2007,13420.0,4.25,22445582945.5242,,62.6084637255945,71.4003102030461,68.3002048894858,40.014236701034,29.1064993768516,12.4161048865342
2006,11500.0,4.41500000000001,17012321791.4942,,63.3059913911719,73.4219547025245,69.9538174847654,39.8569414921551,29.3993113849005,9.0229400054041
2005,9730.0,4.58,14098326327.5712,,65.4743010611721,70.5461205443581,71.1990613440124,33.3772491426383,29.7914758995137,5.9083332224436
2004,7500.0,4.68,12144397515.528,,61.0869516296654,68.9074603323977,72.7945017716423,34.660830748836,30.37261769351,4.67484070100006
2003,5730.0,5.06,9877636517.61518,,57.1413194210929,65.5905152145753,73.1276461938301,35.1843193638546,30.3956444272726,3.89598353588181
2002,4620.0,4.94,7372457191.29698,,57.9206508757039,65.3226004887639,73.6226012885249,32.9203231780798,30.3040453933137,4.8137306613371
2001,4310.0,4.70470614632011,6259258257.98944,,61.2068569263879,65.1570187162659,73.4316713321871,29.5598789591411,30.7827957408761,6.76282143114713
2000,4160.0,4.96980409754668,5694069842.43988,,61.5463332477854,64.7828949731819,73.9958597191418,28.4386516400114,32.7261158741404,3.71094471584692
1999,,5.23490204877337,5762048126.06474,,69.8038344808807,74.1841699885338,78.1264632605601,25.8807151654459,36.3304383548906,6.68638532353863
1998,,5.5,5665917232.17266,,73.7404343490292,83.3237739817435,78.0478718923845,31.6700676779317,34.8668284674951,6.88960166081118
1997,,5.9,5147711226.33003,,70.4741030390431,80.7741208141957,78.3599231486307,30.7633020128926,32.9972344945513,9.91710082341002
1996,,5.3,4780169853.03681,,61.3542350989095,71.7859303317892,80.5339618094283,27.5166545929359,34.8091290355423,22.5380025740831
1995,,5.4,4497823918.17467,,65.9767529510118,73.2698784561297,80.4601480334699,26.4413447803818,35.9331032042735,31.4584807106849
1994,,5.8500668,4116735206.80784,,69.2026478589923,79.1662602527475,81.6910052719797,26.8536044103357,,39.6690168253366
1993,,6.1425958,4006982535.06219,,64.2245770102164,68.1032719610191,78.463956838509,26.0194049986967,,
1992,,5.6388554,,,,,,,,
1991,,5.6388554,,,,,,,,
1990,,5.6388554,,,,,,,,
1989,,5.6388554,,,,,,,,
1988,,5.6388554,,,,,,,,
1987,,5.6388554,,,,,,,,
1986,,5.6388554,,,,,,,,
1985,,5.6388554,,,,,,,,
1984,,5.6388554,,,,,,,,
1983,,5.6388554,,,,,,,,
1982,,5.6388554,,,,,,,,
1981,,5.6388554,,,,,,,,
1980,,5.6388554,,,,,,,,
1979,,5.6388554,,,,,,,,
1978,,5.6388554,,,,,,,,
1977,,5.6388554,,,,,,,,
1976,,5.6388554,,,,,,,,
1975,,5.6388554,,,,,,,,
1974,,5.6388554,,,,,,,,
1973,,5.6388554,,,,,,,,
1972,,5.6388554,,,,,,,,
1971,,5.6388554,,,,,,,,
1970,,5.6388554,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
