date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,38774.4862123343,,13646587749131.0,,45.9002435897439,42.1547853863016,,21.3734026907954,,1.70225038320027
2017,35838.4424055259,4.55963280414469,12622305941590.9,,45.4459477978962,41.445345863337,,20.9411072604375,36.0108624106857,1.38112077768129
2016,36344.9603975027,4.5585216797594,11965226491773.9,,43.8936062352273,39.7717784811647,,20.4654248767,36.4155416122307,0.770690201784532
2015,37730.8448526777,4.56005245151882,11672316776608.1,,44.4786182907264,40.4093658034494,,20.2545926268753,36.9497280498355,1.00504268819512
2014,39356.7816228189,4.62327452217789,13490148086872.9,,43.6009093929065,39.9611161890996,,19.8395173600781,37.5877100227528,0.913241261981469
2013,39470.036124084,4.62712760849509,13189508623525.7,,43.1144807911211,39.7409232972138,,19.5226887856021,38.1282559645611,1.35365104395785
2012,39273.1526708464,4.73759346634658,12638910185441.5,,43.0638330762503,40.2558775085841,,19.9600421925581,38.1683590295907,1.67527012376287
2011,40305.7851145817,4.66850612757927,13622398024585.3,,41.5870723983918,40.0796676869769,,21.5405485474522,37.2488440632978,1.61710657996737
2010,39768.3170302821,4.77325257597719,12628220394708.3,,38.87985785634,37.3994497509743,,20.9908175047745,38.6758423561848,0.673371796708167
2009,39638.4997485968,4.80470741208516,12885643163975.7,,34.9927412022797,33.3108379566741,,20.398388962285,38.5731029596125,0.533161703119518
2008,39534.6802354988,4.49996741656212,14098979489484.3,,39.9117196832296,38.7014320507596,,23.5789914172841,35.1433983179443,2.8580749443984
2007,36717.2815605678,4.35991317130845,12862302208696.2,,39.5495242925779,37.9852920019954,,24.0382140248701,34.4298363227324,2.75360382069903
2006,34554.5170239342,4.40450699861776,11174300432026.6,,38.4989399766884,37.1913289140633,,23.3288816220455,35.0519930623538,2.89907382207626
2005,32403.9172050819,4.38365604345603,10519098954526.9,,36.5254765141633,34.9310895322037,,22.4424745697129,35.5610347238641,2.24031946208545
2004,28284.7197076052,4.43244236748334,10141372086898.7,,35.2117769774314,33.0923323771187,,22.2425045286262,35.5389229959264,2.67018368106109
2003,23288.705115579,4.47470011025626,8842887045202.73,,33.6882301224039,31.7810032073797,,22.0820176921646,36.0876342912092,3.1478079285654
