date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,,,,,,,,,
2016,,,2689157270.82312,,,,,,,
2015,,,2518096285.61661,,51.211522002184,50.3922320927899,77.6885163651389,21.4921937254671,,
2014,,,2850743875.2784,,51.3575169689621,51.3731421642771,77.5853448168102,22.4302803785047,,
2013,,,2627049837.08135,,53.5288017730424,56.9840656622137,81.2915556820723,22.163030438584,,
2012,,,2366301251.61847,,52.349928502641,62.6185542942189,84.3967957510141,25.8725596054513,,
2011,,,2490807830.57351,,50.5960037091322,53.8908498100565,87.450270706829,15.8445753940953,,
2010,,,2320424601.26954,,44.3407431246791,47.3353102993801,84.5620407193704,18.4325264553305,,
2009,,,2268387770.71014,,41.5193329276516,47.861125273424,89.5753499004983,16.7664424452741,,
2008,,,2432415998.11695,,45.8707976162636,54.5783705758546,87.1208883369487,21.5866846226423,,
2007,,,2290133548.87301,,41.908910065133,58.3774505085507,84.0720954856098,32.3964449578079,,
2006,,,1984445416.02206,,41.5774800654176,51.6782333850234,83.6447449814,26.4560083382058,,
2005,,,1727792692.89133,,42.5859439844036,52.5923137799911,89.9984558071303,20.0079139884572,,
2004,,,1688237552.36935,,41.7592739065095,45.5864905481294,84.6486197896069,19.1776081626196,,
2003,,,1494011567.01125,,44.6886335233334,58.2111541236118,83.9648042592536,29.5577163410248,,
2002,,,1262669892.4595,,47.3415994542755,48.3578106817543,77.987440311384,23.0287709160949,,
2001,,,1147654635.45922,,49.6560821633845,50.9312478406985,76.1550299946606,25.1201356826533,,
2000,,,1058702725.4395,,49.8352341778069,57.7288024679817,78.1200336542956,29.7723660839488,,
1999,,,1120280381.86979,,46.8785587245531,49.9545762798613,80.1453559044438,22.929382109452,,
1998,,,1107882640.8787,,44.1949432223824,41.8026051699287,76.848471786306,20.7578431240487,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
