date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,5860.0,,5536759658.87012,,,,,,28.2514016209073,0.893112553368056
2017,5480.0,3.9550818121829,5353404418.66414,,,,,,26.1082496234692,1.62864077213567
2016,5360.0,3.9550818121829,4930204219.71304,,,,,,25.2543102270373,2.56911544319547
2015,5200.0,3.9550818121829,4682546863.08162,,,,,,26.2576847616953,2.37160434320027
2014,5020.0,3.9550818121829,4856963229.83999,,,,,,25.5524998837137,12.5054051652377
2013,4710.0,3.9550818121829,4190143206.25611,,,,,,24.4008225689918,3.62129654202481
2012,4140.0,4.18254090609143,3972012570.53467,,,,,,23.7270683517178,3.57651352093811
2011,3780.0,4.41,3774530615.65916,,,,,,23.7634930683119,9.3913405185907
2010,3650.0,4.63857142857149,3140508835.9485,,,,,,23.7228226313754,4.22978499907933
2009,3860.0,4.86714285714287,2870624635.68032,,,,,,,1.39069502079086
2008,4010.0,5.09571428571434,3523185919.55826,,,,,,,1.35598663284382
2007,3820.0,5.32428571428571,3405050611.68726,,,,,,,2.95505639142908
2006,3620.0,5.55285714285718,3102741451.01664,,,,,,26.3034002821576,3.7251061989824
2005,3590.0,5.78142857142856,3006725014.78415,,,,,,24.4954539124989,6.81773765665423
2004,3040.0,6.01,2727507212.92556,,,,,,24.9212464325533,2.23911330155786
2003,2420.0,5.76941340000001,2315935752.71653,,,,,,,7.87383104648613
2002,2170.0,5.52882680000009,1842691481.09196,,,,,,,3.31901672238457
2001,2140.0,5.28824020000007,1660102345.60309,,,,,,,3.36106512064767
2000,2240.0,5.04765360000006,1684109743.49338,,,,,,,-4.66652560666365
1999,2360.0,4.80706700000004,1942170999.18765,,,,,,,6.81109386278122
1998,2300.0,4.5664804,1656784779.545,,,,,,,7.48758042269858
1997,2580.0,4.5664804,2093994597.21549,,,,,,,3.45061159722829
1996,2660.0,4.5664804,2129266728.42585,,,,,,26.9625167336011,2.8959914274725
1995,2460.0,4.5664804,1970347720.96992,,,,,,26.7635064419503,1.15690434504201
1994,2230.0,4.5664804,1825285158.11762,36.6378536147283,,,,,26.9832360425086,0.841611237711533
1993,2090.0,4.5664804,1635426125.30808,36.5528455284553,,,,,27.5875470949831,7.23673661128676
1992,1990.0,4.5664804,1531803060.54558,33.6867480345741,,,,,24.2101376883986,6.26513151051917
1991,1790.0,4.5664804,1383843860.1247,36.8418217433888,,,,,23.5788442703232,5.99313163823982
1990,1790.0,4.5664804,1337024782.22702,,,,,,23.9565656565657,6.67946936943866
1989,1790.0,4.7,1182686577.22645,,,,,,,2.84829648315204
1988,1790.0,5.6016851,1109976927.91722,,,,,,,7.32801561600893
1987,1770.0,5.6016851,1177908191.97685,,,,,,,7.34001036600623
1986,1790.0,5.6016851,1290228616.82408,,,,,,,3.0434701102279
1985,1580.0,5.6016851,1141210124.82663,,,,,,,8.22347523516535
1984,1660.0,5.6016851,1177997413.63384,,,,,,,3.00749629967798
1983,1580.0,6.6,1123107276.30285,,,,,,,6.8263499513007
1982,1800.0,6.0767065,1194015444.01544,,,,,,,12.1085683613455
1981,2040.0,5.5,1235899836.18067,,,,,,,0.97821104118556
1980,1870.0,4.9184882,1202567359.4132,,,,,,,17.3117044763124
1979,1660.0,5.0,1019743927.24662,,,,,,,8.14135031813339
1978,1360.0,4.9184882,829239489.844119,,,,,,,4.43188463471931
1977,1300.0,5.2,719533137.126662,,,,,,,-0.032029766715084
1976,1220.0,4.7,694552411.718837,,,,,,,7.91144721332182
1975,1120.0,4.4,684268280.812751,,,,,,,24.318648615417
1974,930.0,4.2,558589870.903674,,,,,,,29.645712675164
1973,720.0,4.0058147,425963359.355326,,,,,,,15.9974511883431
1972,530.0,4.0058147,316650508.967523,,,,,,,14.725371933214
1971,440.0,4.1,247749327.721267,,,,,,,3.35926063674343
1970,400.0,3.7,219878482.173564,,,,,,,6.83128780556284
1969,350.0,,182182067.703568,,,,,,,6.49423182890769
1968,350.0,,166952937.135005,,,,,,,3.29113482552843
1967,340.0,,162625885.863484,,,,,,,-3.59821753937379
1966,300.0,,150603925.515853,,,,,,,2.48287671232876
1965,290.0,,147084750.031482,,,,,,,7.9509346444695
1964,300.0,,140032741.468329,,,,,,,3.14074265841438
1963,290.0,,129454728.623599,,,,,,,-0.96926948474713
1962,280.0,,122906434.957814,,,,,,,1.40252482556366
1961,,,116987784.913739,,,,,,,0.608978732463129
1960,,,112328422.113084,,,,,,,
