date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1576.18210795408,,841432963671.601,,38.6625080659636,37.0257406247775,,,,2.79032827647063
2017,1566.89361065656,3.2733258526877,843758976856.79,,32.1774798025828,36.7029338068166,,21.0915457428275,,4.31078055262736
2016,1607.73986116012,3.2796537261394,758695015519.441,,25.148591338149,37.9284853255106,,23.776039866146,,2.03526882571354
2015,1664.25516320241,3.25446175425178,774984423795.163,,29.6679688928882,43.3188800213084,,23.8497186348966,,2.70826310785279
2014,1769.25358215773,3.36893136835313,860815983174.383,,33.1781601992403,45.5082563742606,,24.564603843256,,1.33176877030211
2013,1740.95215065496,3.3192629144265,857109145944.978,,36.1942705963879,41.8229296946744,,25.3584418599737,,2.62938909771463
2012,1667.29681342428,3.18924046460591,820360653948.037,,38.423226578477,35.1940135026854,,19.5922698385321,,4.42155523639383
2011,1368.06008499302,3.1353900772059,708205850044.1,,36.5154561413747,34.3997766889011,,20.0532703918282,,8.58039895814795
2010,1417.24236454201,3.00958255350766,650133065637.334,,38.333591057417,37.5423630742239,,20.1515674058768,,6.39119505130665
2009,1300.024733657,3.02185061096133,545976429364.53,,33.7864256910365,36.4406198076408,,17.4154006551477,,0.799024345696253
2008,1186.08839692701,3.08456456165005,585168514457.216,,41.0961402207475,33.665727855638,,19.8174414604892,,11.5409477340459
2007,977.935146549147,3.01398062425716,452554661496.344,,38.9410283564864,33.0199007861985,,19.4556637260929,,4.55504607861359
2006,839.656698067509,2.99507968273361,367991930233.241,,39.9884884660469,35.8200705987155,,20.222624044552,,4.64687335867129
2005,749.327708675155,2.93637880911734,310999191842.707,,39.3420946971332,41.378168220496,,19.3208761376527,,7.41590011531781
2004,644.542292862186,2.96670567237507,256072181634.552,,39.8483786984377,41.622698011772,,18.2795516657744,,7.16698019479848
2003,570.98281297262,2.66504747739184,220187344051.085,,41.1351483278643,42.8420100866931,,21.3027996096602,,4.80101688659991
2002,563.203527747581,2.68206914341627,193862577971.489,,37.4096792765112,36.5360020648886,,19.2685966013781,,4.93416080264355
2001,,2.81740801269727,201682770770.107,,33.0170995152058,34.1817500818732,,25.7761030327308,,5.29601232220842
2000,,2.45693748869407,219763500649.0,,36.774245042433,30.2639314889944,,21.5065952406218,,10.0494567392309
1999,,2.88424069935408,,,38.4747384796083,37.4099948556453,,,,5.96637697981859
1998,,2.80309555180516,,,38.2908114844107,37.1877213127629,,,,4.71486983084034
1997,,8.29824330293263,,,35.2621122705906,33.8485272180796,,,,6.10645799472568
1996,,7.89480576785062,,,18.0886714258359,24.2620298409025,,,,9.52571256167046
1995,,7.74294929828908,,,17.7242482383152,24.3044642579979,,,,10.288490715158
1994,,7.00648305767438,,,16.5536693632816,25.1864635333852,,,,20.7843644356509
1993,,6.90038432313445,,,14.7896606726428,23.7392380445264,,,,5.23872679045094
1992,,5.66880969401125,,,15.1819690988975,23.7138712255719,,,,5.26037325746592
1991,,5.63868592467457,,,15.4833448385114,24.4385479534076,,,,7.24697447823466
1990,,4.69295179716029,,,19.9844467921873,26.1397447573269,,,,7.60211265142121
1989,,4.70874159032929,,,,,,,,7.82070964758341
1988,,4.30299255787868,,,,,,,,7.85467684006039
1987,,4.4070538156854,,,,,,,,7.40794144537215
1986,,4.18919417195764,,,,,,,,5.5947999400934
1985,,4.28311444136634,,,,,,,,4.09732531021858
1984,,4.43649884687651,,,,,,,,9.25199784980748
1983,,4.58799474249567,,,,,,,,9.14309279992054
1982,,4.52628102657191,,,,,,,,7.37839110045036
1981,,3.53009526160887,,,,,,,,9.77506059430845
1980,,3.03670049727827,,,,,,,,14.5016530267491
1979,,4.12856931688211,,,,,,,,11.4212450877516
1978,,3.95248963876474,,,,,,,,6.4603574025371
1977,,3.65071871732592,,,,,,,,9.7947149122414
1976,,3.66420824614437,,,,,,,,10.9463376517334
1975,,3.28289239047626,,,,,,,,9.46098924683012
1974,,3.18873930480776,,,,,,,,13.0714237783859
1973,,3.44011915750656,,,,,,,,10.4339032105242
1972,,3.31196614323865,,,,,,,,4.97439546817422
1971,,3.20214226172275,,,,,,,,6.16325390476065
1970,,3.13944189884128,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
