date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,6830.0,,16853589311.4139,,50.5365129884182,21.5123688593313,49.1949197667592,21.7809361041539,13.7017325838068,7.14685932251797
2017,6500.0,3.06,14892609693.1667,,50.2267539725926,24.8419864730712,53.201448963595,21.4137835357301,15.6674947805283,3.81294518597188
2016,7080.0,3.06,14014369641.7689,,44.0353472921111,26.0980337724197,55.0804254384043,26.9822610431075,17.0854995180674,-4.26975397974573
2015,7970.0,3.06,14377324797.637,,46.0320085043704,27.9177729544577,52.6548081564211,29.2309562924902,17.1851872348986,-8.92717245327955
2014,9320.0,3.06,18179752009.7489,,44.5208923945675,28.9994366216762,49.3394956227054,35.1390486032907,15.2532453291979,-0.851390333321476
2013,9330.0,3.06,17590745162.1326,,57.3574058813271,33.2776302665374,46.7396293572105,29.1805950279998,16.330781875643,-6.15792493444489
2012,9080.0,3.06,17171447372.3334,,60.9503414381301,31.3924675039244,43.4759761016321,26.9661499641622,16.2796182811036,-2.9419027036061
2011,8100.0,3.06,18186478119.9582,,61.7443721274506,28.7540052056817,40.3672435172446,26.6423895609865,,12.68122777311
2010,7830.0,3.06,14358584300.3006,,57.6634923763037,31.4941703485316,44.129564166693,29.7011138055349,,16.5643202141088
2009,7570.0,3.06,12065138272.7538,,52.1717321839784,31.3328452395852,51.1799996945757,27.981113361031,,-18.0745351045978
2008,7310.0,3.06,15508574820.3516,,62.1997120113374,26.7991605832374,39.5095511447234,25.0898974271767,,20.4789590409741
2007,6580.0,3.06,12438956756.4455,,58.528604586134,26.6038745775238,43.196575940703,24.8786940506869,,4.23136164247251
2006,5740.0,3.06,10318424464.3377,,60.5718165208079,28.077592735444,43.4605799530786,24.0451962615575,,9.86813727770777
2005,5510.0,3.06,9578973591.00958,,60.0086727573886,23.9409270825355,42.5677220236777,21.3645323014692,,20.0944728946612
2004,4300.0,3.06,7756293574.98077,,55.0391552768837,26.728381864986,50.1544832352743,21.4960517696994,,7.7652785346058
2003,3870.0,3.06,6497305662.09274,,51.9294344950898,28.3731737105414,53.5161202848551,22.6391014756493,,-0.217120395730603
2002,3600.0,3.06,5310381151.35952,,52.6088996947807,32.1501818428416,53.7792267687361,25.1070976391096,,0.855807814236272
2001,3420.0,3.06,5018874179.18704,,54.2752324798833,29.3633807625275,52.0651650381568,22.7454690749839,,-0.168658932431669
2000,3090.0,3.06,5067865320.7979,,69.0321767086082,32.6697522310293,41.7355190953938,21.9020564270273,,28.0893435970034
1999,3280.0,3.06,4662992036.2073,,59.6125043538837,38.1189481017067,54.5670498084291,26.1685818669453,,19.191335888387
1998,3940.0,3.4,4483417119.83928,,47.4063516068053,48.5684310018904,62.0732325141777,39.5576567296786,,-17.7864014784402
1997,4270.0,2.6715839,5326816858.99586,,61.3040108069859,37.2322537068605,44.4561127014249,30.7613138432344,,0.946536838356167
1996,4100.0,2.6715839,5694040336.82571,,62.6632449876407,33.0076558637737,50.3911013457841,24.8489415957155,,13.5626767433953
1995,3910.0,2.6715839,4958845906.34769,,59.3869990303814,35.7476971557854,53.045814479638,23.3031666249192,,1.33911548793357
1994,4130.0,2.6715839,4190819314.02958,,61.6756399787038,38.2510468214595,55.0135163296291,21.8675948708097,,46.5514429443013
1993,4430.0,2.6715839,4378645081.01769,,48.7946135128426,34.5484230291866,63.6805686812469,22.448524189334,,-0.509480779167674
1992,5120.0,2.7,5592390848.52648,,46.0755528555794,33.7932892329726,65.1160988204775,22.4251144731331,,0.213866958889213
1991,5170.0,2.7,5402919956.93831,,47.2634592944106,33.2714792537205,58.7540029366206,26.4680317687759,,-11.3661025319168
1990,4820.0,2.7,5952293765.84468,,46.0385042576823,30.8589411329137,63.1432802665679,21.6771566086635,,15.3581413902885
1989,4580.0,2.7,4186411457.45694,,45.7955821789592,41.1980531636091,69.0977162111569,26.3047547734931,,7.72802479114524
1988,4150.0,2.7,3834503378.35497,,36.7305839700992,41.7914367793285,67.586025665124,37.4748271441054,,2.61513440157093
1987,3430.0,2.7,3281797038.66566,,42.6949203879677,45.2195072263918,76.163439077277,26.3611477611471,,0.993283233261138
1986,3840.0,2.7,3403638193.57905,,35.1913124628828,54.7043352846356,73.148383812675,46.3646390090778,,-20.8098140654884
1985,3860.0,2.7,3339914759.37275,,62.5724758413862,57.2809063645451,52.7157614128624,41.9926691102966,,-1.27605176980616
1984,4310.0,2.7,3561451562.23576,,59.092661611618,40.2004883691042,48.1429122220794,32.9649145354068,,12.0102171085344
1983,4260.0,2.7,3391275731.31859,,61.3247697902964,43.542521086435,47.0324228120406,35.1853284840981,,2.92484211564712
1982,4840.0,2.7,3618007844.44908,,61.594751450921,39.666919000757,43.0566069475986,35.0155606022374,,16.9036292452087
1981,5290.0,2.7,3862269126.92681,,63.3635064316341,40.6955693187232,40.9814197236779,36.3506431634111,,10.4420666998509
1980,4590.0,2.7,4279637933.85136,,64.720194647202,31.6301703163017,39.3718203937182,27.5381552753816,,36.7811019659278
1979,3520.0,2.7,3030251116.35966,,58.4858827179646,37.4030406453615,45.9975178405213,32.9196400868756,,18.9830160347647
1978,3090.0,2.7,2389479269.18832,,61.7581602373887,46.9213649851632,50.1483679525223,35.0148367952522,,2.85907408436832
1977,4010.0,2.7,2809349074.17711,,51.5937409446537,51.2605042016807,41.5966386554622,58.0701246015648,,9.7956800306458
1976,4450.0,2.7,3009409970.90463,,45.5847587261855,46.0992907801419,27.0198859685718,73.4946460853845,,14.6649351885911
1975,2870.0,2.7,2157592936.60731,,49.5242214532872,47.9022491349481,35.7050173010381,62.6730103806228,,4.37224519130925
1974,1700.0,2.7,1544216003.98425,,57.546408393866,43.2606941081517,33.9521119182136,51.7621737960721,,65.4104680346322
1973,910.0,2.7,722780701.123338,,58.8454314090627,57.6660273122284,61.2662818125388,37.5543140906269,,34.75765400748
1972,690.0,2.7,430508357.724,,73.0874377880184,72.2578801843318,51.0598433179724,48.110599078341,,-7.27696861270597
1971,610.0,2.7,381687073.058602,,66.3176974310181,52.3311132254995,54.0438725023787,31.9695432921028,,6.50416559795788
1970,570.0,2.7,323802475.481029,,49.7206592802996,37.988818326521,56.3128589245008,31.9553001217206,,-0.420199476219523
1969,530.0,,318124701.048993,,54.6554602013933,54.0508644027053,,,,4.95912491167519
1968,460.0,,294468564.534311,,48.4224832860128,49.2455146102841,,,,6.46087509519634
1967,440.0,,271543680.279265,,48.0539071856287,48.0539071856287,,,,6.22473460273214
1966,420.0,,245849781.715943,,39.7351059164083,39.5695264187958,,,,4.13442612556352
1965,360.0,,226474285.587116,,43.2432432432432,37.2972972972973,,,,-3.05910721320468
1964,340.0,,215679855.272553,,41.8918698703132,35.9514815816693,,,,33.5405931722289
1963,410.0,,154480244.246828,,47.1029950587534,45.3936620976737,,,,-20.3428071749176
1962,330.0,,182796536.499917,,31.7142574775686,30.7683996684865,,,,1.38092060422252
1961,,,167637907.381696,,31.2116929841637,31.6628120291076,,,,3.2784459977796
1960,,,141468977.570007,,34.1709866594221,32.6272095196205,,,,
