date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,2130.0,,65556464048.1539,,35.2643308243325,36.4138216028432,81.0089399986846,14.8642520574391,,10.2102029177803
2017,1900.0,5.81799798072703,58996776237.7603,,35.2580038602957,38.3902007441113,79.0184624354996,21.5004283403066,,10.3527524141569
2016,1830.0,5.81799798072703,55009730600.0307,,31.8806747115398,37.4769955168535,75.8116084528848,27.8247015794916,,15.2493807198542
2015,1960.0,5.81799798072703,49181854798.2552,,31.9587955752985,43.6275984155246,79.4818421969526,30.0839834479457,30.5329166621013,13.5884020388053
2014,1920.0,5.81799798072703,53601126663.9079,,28.8210838307751,36.349465253021,79.834669839236,29.4996048899208,18.5619278141328,22.1640000184544
2013,1870.0,5.84,63277216928.5093,,25.8293798789968,35.8578374910211,83.5062637957127,26.4923123802748,,52.9889816520613
2012,1540.0,7.99,41939728978.7281,,40.359218174037,52.808816954646,95.481876657644,16.967722122965,,15.2052787414564
2011,1380.0,8.16,39566292432.8615,,36.9366085502594,49.3588453047101,99.6122436209546,12.8099929663177,21.1409260461554,13.9148221260358
2010,1230.0,4.68,32174772955.9748,,29.4767179831573,45.901097808525,100.683193858049,13.1001937072805,20.1575042881243,16.5956447875212
2009,1190.0,4.77,25977847813.7422,,29.2918659785048,42.3028725496475,96.579160727296,16.4317931081367,18.0279523909661,15.666568680954
2008,1140.0,5.01,28526891010.4925,,25.0294572995074,44.4847683116359,102.963368609768,16.4919639408033,20.5460947523142,19.4102710464465
2007,790.0,4.39,24758819717.7074,,24.5250906044049,40.8292316808483,100.919596088669,15.3845449877747,17.8651441453915,18.6278884709068
2006,590.0,4.34,20409668521.5494,,25.1921187594134,40.7293250807417,92.583082634712,22.9541236866162,15.6206549935267,80.7545808168691
2005,460.0,6.4,10731634116.7384,,36.449216950714,61.7222971639139,96.2709992103705,29.0021406363098,22.7457889920708,14.9637182981632
2004,380.0,6.85,8881368538.07671,,39.3033251214107,60.3670092258015,92.6861761685842,28.3775066840527,23.4793110246594,14.350151126545
2003,320.0,6.3833333333335,7632406552.83803,,40.67904265112,56.6081030628332,92.9921324350756,22.9369279766376,22.0203756781146,28.7044072782444
2002,270.0,5.91666666666679,6166330136.2948,,42.6162518930867,54.8729912815685,92.5567393884818,19.7,20.0290266464737,22.8185847008191
2001,300.0,5.45,5314909953.92992,,45.2330164667316,64.8128376940797,92.9803996249084,26.5994216024397,18.7116417612495,34.817944104547
2000,340.0,4.58273180000006,4983024408.14828,,48.8022576190038,67.2461725439646,94.4453144277691,23.9986004971918,,27.2301138947611
1999,390.0,3.71546360000004,7719354838.70968,,32.0783389537313,49.6267650803215,96.5478916218817,21.0005345047085,,13.9711649814669
1998,390.0,2.8481954,7480968858.13149,,33.8713517576318,46.7281914893617,89.7474502775208,23.1093894542091,,17.0484651788297
1997,390.0,2.8481954,6891308593.75,,32.4102909291879,52.9915470404013,95.7750364901441,24.8062125356045,,19.4581675685457
1996,380.0,2.8481954,6934984709.48012,,32.1121821725595,40.0927619568381,86.7805833120199,21.1999964722587,,39.8377428968442
1995,370.0,2.8481954,6465137614.6789,,24.4964459408904,32.9266483481043,88.40880065018,20.02141465743,,43.0453306367888
1994,370.0,2.8481954,5444560669.45607,,25.2586359269933,36.7625168107589,87.5461479346782,23.9577329490874,,30.1289268812448
