date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,19770.0,,218031844583.994,,36.1292311982958,36.3904688555073,87.1493355796475,13.1119020775639,46.5504416828908,0.549763658854701
2017,18340.0,3.1,203085551429.132,,32.9903963772026,34.0101586285405,88.5102361143156,12.5095261370224,46.8023114986132,0.599142247940705
2016,18890.0,3.1,195222443512.937,,30.0637459339879,30.7767817664797,89.2384737569163,11.4745620189143,47.7613353070983,-0.244138933015421
2015,20320.0,3.1,196591353761.226,,31.5532707138237,31.5018900612515,89.7316079642145,10.2170114396283,51.0322909973464,-0.34625853038051
2014,22180.0,3.1,237029579260.722,,32.3730407059617,34.7764129846611,90.4923520506808,11.911020283992,48.5456784390211,-1.83209123044573
2013,22540.0,3.1,239862011450.103,,30.3534285061372,33.1657139410876,91.2112379927095,11.6010474422409,59.9006025300493,-2.3522999626737
2012,23500.0,3.1,245670666639.047,,28.6839940157939,33.1337726282947,91.6466248648258,12.8031537476751,55.2525317920032,-0.370392000210813
2011,24930.0,3.1,287797822093.178,,25.5354159285239,32.3092041161275,91.6691343296884,15.1046568043641,53.843696845896,0.798356114980663
2010,27660.0,3.1,299361576558.217,,22.1022051218367,30.726892810869,91.5764465361526,17.0482411528797,50.5270401153278,0.673371796708167
2009,29330.0,3.1,330000252153.376,,18.9821866963597,28.7616598455747,91.4415758306347,18.3378973185802,51.2654638717754,2.5697711153154
2008,28660.0,3.1,354460802548.704,,23.3615691198983,35.9681466011804,88.0952851838849,24.5112922560732,47.2109657111636,4.34458325232161
2007,26350.0,3.1,318497936901.177,,22.5202697630197,35.0041044593642,85.3527367763368,27.1310978770329,44.0495839678358,3.42266675840395
2006,24550.0,3.1,273317737046.795,,21.1740087896788,31.6762298509885,84.3503193419132,26.1519016734958,42.4195973450264,3.4950426625155
2005,22760.0,3.1,247783001865.44,,21.3122304275532,29.5886336930166,86.177125053816,22.0992782116474,42.9431877330787,2.24031946208545
2004,19580.0,2.95,240521260988.329,,20.7081145744875,29.190327020864,83.1750428053313,25.3071696410453,43.4528261221506,3.06266151867104
2003,15700.0,2.69387620246428,201924270316.027,,18.5445830443658,29.6454706731948,83.7259204021761,27.3748850042,42.0223250057537,3.45357433972289
2002,13150.0,2.7,153830947016.751,,20.1128544460134,30.2361418115552,85.3735826438932,24.7497046604718,41.9978459625984,3.34877135577467
2001,13070.0,2.73,136191353467.562,,22.788744320873,33.3512249469365,84.8711455876129,25.6913351698619,42.4340440196864,3.47475200280421
2000,13330.0,2.62446814933763,130133845771.144,,23.7183809141659,34.6972966265243,85.1532290291344,25.8256867540218,42.8468439379364,1.5926704568618
1999,13380.0,2.45009617690021,142540728958.023,,19.2560788540331,28.1215195825443,84.7157327264286,24.1497080020826,41.7927584425606,3.62273353572454
1998,13810.0,2.27097159750621,144428172835.236,,16.2965833756753,25.9716968744585,84.4996136247559,25.1754998740274,42.7070965452921,5.10356867243405
1997,14100.0,3.1077683,143157600024.959,,16.2222652425479,23.0519635059274,84.3888175300547,22.4408807333248,42.409618509498,6.55338030256895
1996,13430.0,2.7,145861612825.595,,14.2869572693077,23.2092761701992,85.5684498021686,23.3538691957757,42.4140369875578,7.63569994352061
1995,12410.0,2.5,136878366230.328,,14.4252834909638,22.6825973074423,85.7857211311096,22.4715926853688,42.8631596947056,9.79183604173403
1994,11610.0,2.1,116601802106.742,,14.4456091463048,21.7175127471644,84.4724421990264,22.789154547813,,11.1818887878541
1993,11140.0,2.4,108809058858.502,,14.0477673647043,22.9781312415535,85.151491690352,24.1819702085661,,14.4287471343912
1992,11200.0,2.4701519,116224673042.546,,14.8788393387365,23.9437536024645,84.1934789546477,25.4097693468982,,14.798814292328
1991,9850.0,1.9,105143232379.884,,14.1996393563677,24.3931479665721,83.0315078212799,28.4050435344321,,19.7877430657349
1990,8970.0,2.0,97891090928.6328,,14.7785889725068,25.3497181549182,84.0586875378323,27.5567675489472,42.2902887619839,20.6905976185254
1989,8310.0,2.0,79169043642.4675,,15.9457521193263,24.8381031890143,82.6991830603304,26.8586544000456,38.2718822527603,14.4989729409237
1988,7590.0,1.8,76261278404.9964,,16.3145789342959,23.2986557818526,80.8369300022841,26.5921764935573,34.1257651498907,16.679870154922
1987,6130.0,1.8,65652751132.3603,,18.1240762959,24.1942806610429,82.5154373907283,23.0808728050593,34.3387546989034,15.2526794717953
1986,5360.0,1.8,56379593719.5716,,17.6945214753118,24.9575234805459,77.9144921946374,30.3336079921222,31.3980404717653,18.8819999469248
1985,5010.0,2.0,47820850974.5867,,16.1337964903955,24.2541792151932,78.1890831357591,31.3440787352628,31.5790577462698,19.0259532629427
1984,5140.0,1.8,48020024788.3918,,16.8009614993221,24.0975238803854,78.4879156809846,29.805274076951,31.2459933321837,21.9184541239467
1983,5280.0,1.7,49428872678.0186,,16.4761375265379,24.6994048669255,80.4647180154346,28.6429971728069,27.3790118934817,20.6122067147055
1982,5910.0,1.7,54617991326.5306,,17.2091028949374,24.6424294872635,78.6003608383397,29.7869815884377,33.6967352089635,27.2127495559759
1981,6370.0,1.6,52346507380.0738,,21.3894636084805,25.7508718660982,78.7204612428575,25.0201922868948,24.177432435252,21.6120342091533
1980,6500.0,1.6968226,56829663469.2246,,19.324077397404,25.2617464036195,76.0780378527224,30.6138673567661,21.3979220390086,19.2394506950708
1979,5650.0,1.5,54481875804.9678,,15.173780857282,20.3584308541522,74.5589829177597,32.0926724971661,19.9763843287077,20.1507106175873
1978,4600.0,1.6,44270203153.9889,,13.6527311964461,19.4838644679046,74.8658972071051,32.7823324964741,20.1528654750819,13.7880458500113
1977,3940.0,1.4,36176233117.4838,,13.9802280479761,20.6813556454593,74.9697595090822,33.7440177476342,20.3091167169201,13.7544017828619
1976,3750.0,1.3,31152840485.0746,,14.0486788101933,20.830013434306,71.3987204096797,38.2103671878942,19.3635398503985,16.4344874898078
1975,3480.0,1.4,28525872476.0893,,14.1416562163341,21.1813344978398,73.1276892174548,36.4177740318594,17.9048185725493,13.1200078656661
1974,2850.0,1.2,25351305681.8182,,14.2157058523389,21.2612009539225,71.626004201236,38.2529293250944,18.1995351264065,22.7804451701918
1973,2490.0,1.0,22347844649.0219,,11.6374962107904,20.0928544943,65.2423701268525,48.2835903936901,15.8096927944384,20.9103765746158
1972,2000.0,1.4527051,16885506818.1818,,9.12991143695986,16.1877527298491,69.3883592747573,41.747010581829,16.0942847416493,5.04660663125638
1971,1720.0,1.2,14591755681.8182,,8.1568631726586,15.1623367647282,72.4941660316438,38.0179343176739,,2.97507331540162
1970,1540.0,1.3,13139862500.0,,7.88292633821839,15.2270169562968,74.1623662693993,36.4578846170644,,3.79931445179515
1969,1370.0,,11615657031.2387,,7.69564440640838,15.5988563495161,74.5345033726424,36.7598714366163,,3.18123958512966
1968,1200.0,,10090675902.5364,,7.98790761892723,15.6492597148045,78.0617746110651,32.0835313967078,,1.47717227375948
1967,1090.0,,9275600800.35644,,8.99497204377971,15.2281928011814,78.4902906320334,29.5472512778062,,2.16980280807424
1966,1000.0,,8591517943.60129,,9.34809400129507,15.6206463560736,76.9551719934755,31.4265634382355,,4.92141788224119
1965,900.0,,7689154053.35866,,7.6515725044925,17.019077155791,77.6680062307827,34.8430302166371,,4.07817014435604
1964,790.0,,6669673257.1183,,7.64662716770438,16.7181563245427,79.8761182843547,31.7540390047569,,3.40571281522169
1963,700.0,,5895278024.09202,,9.07138303289599,15.2725669026276,80.4116820965087,27.142206749672,,1.110563711883
1962,620.0,,5213047711.42704,,8.35003041643498,14.7584856624421,83.7545297828319,23.425513724,,4.69018080898951
1961,,,4961400439.31722,,9.48361416286503,14.1211303570844,82.6772046516643,22.2664878844689,,1.09632768020805
1960,,,4335186016.83942,,9.90385786841929,14.5699018404426,87.3804773439148,16.4851463747251,,
