date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,9650.0,,1185925925.92593,,54.2108057464085,55.1720799500312,,,,1.01974396882906
2017,8900.0,3.75,1126882296.2963,,51.3097066038183,53.1288850634833,,,,1.61523105486914
2016,8350.0,3.75,1061631222.22222,,49.3109084437251,49.8007207147994,,,,2.6472193929271
2015,7780.0,3.75,997007925.925926,,51.2332938101387,50.8621834203629,,,,2.76032767179638
2014,7520.0,3.75,911497407.407407,,52.5070061758368,54.075853205328,,,,0.773312224873351
2013,7350.0,3.75,842620111.111111,,25.4261893776392,50.3528390259606,,,,2.92287015408121
2012,7030.0,3.75,799882259.259259,,25.8151697418801,49.4678175088824,,,,3.92652290919531
2011,7060.0,3.75,778655925.925926,,25.194944184447,50.7920723792328,,,,0.22455508772407
2010,6940.0,3.75,771013259.259259,,23.8338601853319,49.2299166877949,,,,0.47970720101172
2009,6720.0,3.75,771275555.555555,,24.2763166740618,46.8029392387022,,,,-0.00989979844902678
2008,7260.0,3.75,825976037.037037,,25.1582134949391,54.6908342287573,,,,7.84772902644215
2007,6830.0,3.75,758683592.592593,,27.6196679267603,57.5187421370261,,,,2.3194437271099
2006,6430.0,3.75,698700666.666667,,23.2297590691886,57.5919863526574,,,,4.65757706072725
2005,6650.0,3.75,695370296.296296,,21.4089183924281,56.9710686520446,,,,2.465270336149
2004,5350.0,3.75,599118592.592593,,33.0046385424712,53.2650742121049,,,,2.0311480128201
2003,5290.0,3.75,591018407.407407,,30.3773204532014,52.6992861098454,,,,-0.0770720974059742
2002,4650.0,4.07999999999999,540336925.925926,,31.9471451865732,50.358963272367,,,,0.372146666086849
2001,4510.0,4.41000000000003,520444185.185185,,37.8778583223035,53.8399214972567,,,,2.14417694306614
2000,4610.0,4.74000000000006,520044370.37037,,45.3283259733251,59.6369341134567,,,,2.86302977239585
1999,4310.0,5.07,482009370.37037,,45.2350204041676,55.2471202150442,,,,1.12148933209394
1998,3990.0,5.4,445903592.592593,,37.1646520170404,56.7802523664599,,,,1.73787306807158
1997,3660.0,5.4,392190592.592593,,35.4268417868636,54.2064487542244,,,,1.78470722159389
1996,3500.0,5.4,366911444.444444,,35.8669651744608,52.8990293247669,,,,2.67308451080788
1995,3310.0,5.4,342172518.518519,,36.1805794737721,49.4509050989873,,,,3.0531506318531
1994,3210.0,5.4,325111814.814815,,38.9917132783604,49.8028085835768,,,,3.19076291832738
1993,3120.0,5.4,309812185.185185,,35.6428608061108,51.4242260753199,,,,1.88342481748877
1992,3140.0,5.4,310160444.444444,,32.1016649447383,44.6949082028274,,,,4.01158053146263
1991,3040.0,5.4,300757888.888889,,32.4341112076984,49.5809167531457,,,,6.66990962411649
1990,2840.0,5.36153846153847,278098762.962963,,33.4746518110153,49.9103262888247,,,,0.0159321127636076
1989,2670.0,5.32307692307693,267327642.222222,,31.9208790471425,48.116845890072,,,,8.99639074175063
1988,2490.0,5.28461538461539,236357523.703704,,36.463905965281,50.7235339963964,,,,6.76144921705844
1987,2200.0,5.24615384615386,215009569.62963,,37.1042916439492,53.5290558419555,,,,5.05935046354098
1986,1790.0,5.20769230769231,187589522.592593,,40.4547587946607,56.4036871276655,,,,4.3350538652859
1985,1500.0,5.16923076923078,167728455.185185,,32.9015044729628,52.5319994236098,,,,8.74808514065195
1984,1340.0,5.13076923076924,145533310.740741,,28.7066772308936,48.8878785111228,,,,6.61240823932523
1983,1280.0,5.0923076923077,131803552.222222,,29.5894908312073,54.4581512164101,,,,1.39348472120567
1982,1300.0,5.05384615384616,125435590.0,,30.5306462833206,62.9805304858055,,,,4.16360431725884
1981,1310.0,5.01538461538462,115651918.888889,,33.9780754818688,68.0522246927155,,,,2.70869452490801
1980,1300.0,4.97692307692308,110900457.037037,,35.7010184181387,59.8467960760566,,,,9.04926326198468
1979,1150.0,4.93846153846155,102244362.222222,,39.4117537832694,55.640122988145,,,,9.62158798615455
1978,,4.9,88322386.2962963,,38.4953367155862,44.9531600861747,,,,17.2732863794951
1977,,5.0,71494495.1851852,,37.7651453165234,45.5875553889446,,,,
1976,,5.0,,,,,,,,
1975,,5.0,,,,,,,,
1974,,5.0,,,,,,,,
1973,,5.0,,,,,,,,
1972,,5.0,,,,,,,,
1971,,5.0,,,,,,,,
1970,,5.0,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
