date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4400.0,,78460447919.9915,,18.1206244900076,27.6848354752307,97.4847438757691,12.0794671094539,,2.93751418655503
2017,4060.0,2.72109257190677,75620081928.17,,18.7960092778028,26.861229611222,96.0008192225017,12.0644011109175,,3.61917003402546
2016,3800.0,2.82200799981564,68663649521.7042,22.115072091399,19.5421015383601,27.4627821909173,95.033075470501,12.8876051820562,11.8411972766068,3.69883125668491
2015,3620.0,2.90683953580471,63767597193.9175,22.9881410888278,21.1604468590806,30.1458168357463,95.3606820583567,13.624687918309,11.8459190081832,3.23092751597099
2014,3460.0,2.91472165431792,58722323918.1604,23.2970727082014,23.1584185549471,33.5594965547979,96.6950435823038,13.7060344175471,12.4284658971069,3.01620807684364
2013,3320.0,2.84,53851153446.6959,24.809870032528,23.7196881341714,34.8286422338518,97.1003280399447,14.0086260597357,12.826262206735,3.36644448542162
2012,3100.0,2.94,50388460924.7345,24.3112735898706,24.8686938909996,36.1137806375494,96.2905158964654,14.9545710020898,12.9637204898505,3.32250789969312
2011,2860.0,2.95,47654783851.8252,24.1625898129509,26.625425133458,37.3587706988992,95.5041455417832,15.2291999158446,12.5370554105644,6.93303309431077
2010,2710.0,2.88,41338008612.7727,24.4197869377335,25.8057500398586,36.3091822275876,96.5659232212876,13.9375088763766,12.6520335536405,5.14189438315815
2009,2620.0,2.885,37733609794.6481,23.0172340649543,23.975404306605,33.1305890184894,96.1022302280954,13.0529546461442,12.4183951936855,3.54329867487873
2008,2590.0,2.89,39136436613.7566,20.0539449933996,24.7182536978234,39.4069737529751,98.2866223101434,16.4020969000468,11.6822690186278,9.44069611628989
2007,2370.0,2.92,34113107372.317,21.6355733852413,25.5652639426567,42.3332328423393,95.9367615141881,20.8312075001033,12.4573222400595,7.13599141410843
2006,2160.0,2.8,30231249625.1282,21.8766766186978,24.9317293492657,41.8864565967589,96.1305864214061,20.8241407825778,13.0116636195039,4.99387841170116
2005,2010.0,2.64606281250002,27211377107.3763,21.2624787691045,25.0546844265122,40.9939709423731,96.2034037649653,19.7358827027559,12.8343701485468,5.63457186200161
2004,1860.0,2.49212562499999,23965275794.3749,21.7859462482716,26.9754989018616,42.1026188364951,94.2805663023299,20.8465536323037,12.6700913035452,6.07693267490725
2003,1690.0,2.3381884375,21917430694.2538,20.7110409025044,25.7736696351602,40.1859796412295,94.1117148444701,20.3005950466858,14.3461090356343,4.45603269404708
2002,1610.0,2.18425125000001,20776403774.1156,18.3935998236588,26.2989453879915,39.7329148275985,92.880042751984,20.5539279183407,12.7740441213076,6.44950228436781
2001,1600.0,2.03031406249998,18702802522.0777,19.9465029708468,28.2074544025884,41.3370943455512,93.4704695310883,19.6591704118746,13.1859533966126,-4.08393044128671
2000,1670.0,1.876376875,19288827158.9035,16.9838230125754,20.1950343956927,28.950553509261,90.9201318180948,17.8353874290357,10.9399955148495,6.83011463970691
1999,1640.0,1.72243968750001,18318412251.3642,13.4701885924417,19.0049241253611,27.3555827290684,90.9966658282021,17.353993219007,10.5182043769625,5.04155801157273
1998,1600.0,1.5685025,19395491992.9939,11.2801678443371,18.1716066211,26.2521333421554,90.6850046298844,17.3955162051438,9.4132571101958,9.50243516378013
1997,1520.0,1.5685025,17790026221.6139,11.3452176738095,17.9561080230154,23.5958431339438,91.9551953048065,13.6845417528487,8.26734995663712,8.25733953213432
1996,1430.0,1.5,15674835615.3139,11.2418328744629,17.8101172991418,22.5828356581591,92.085939081106,12.6867821057714,7.9963502842445,8.90000449769811
1995,1340.0,1.5,14655404433.2771,11.404999017517,19.2590440307493,25.4303863115023,91.1162300536964,15.0551087041391,7.56205034876119,8.66781823394571
1994,1210.0,1.4,12983235568.2292,13.1619490409219,17.5199449479992,24.850947749203,91.6497016137222,15.6812995803929,7.94299555788372,11.7222782238009
1993,1120.0,1.6,11399942453.0646,13.6225081203374,17.703031106822,26.0758970457648,91.1265784827211,17.2462854326623,8.62665141257821,14.5043515769647
1992,1010.0,1.3,10440842165.3193,15.8312193134152,18.0659894300903,27.2962596372204,90.9049546406684,18.3253187154602,9.622357563089,8.86138486849681
1991,950.0,1.2,9406097735.09117,17.7517913078306,17.9526059616575,21.5676502615202,89.3197636465433,14.2952804419133,8.15938753149953,32.9750520601338
1990,910.0,1.2,7650125217.35253,24.4806851423724,21.0275209423808,24.8419645279651,90.2118282911639,13.6026147116177,9.1312650775244,40.5312590868456
1989,950.0,1.376748,8410724360.79546,,17.3074488681037,22.4740972824037,91.6515325709662,13.5151111989657,,10.9088968757671
