date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,14780.0,,157882912778.254,,84.9389143286366,80.5650745438455,68.4004767261957,27.2256834890132,,4.52869119976292
2017,13080.0,4.47121720666698,141510583019.556,,87.143096211555,79.8541973019801,69.8625559514648,22.8485451389603,41.6012205698533,3.70423008762573
2016,13050.0,4.47121720666698,127507473625.632,96.1864484805675,87.1517391095897,78.4037303647401,69.9343267106784,21.3176645444719,43.0601023157549,0.972844703647894
2015,13220.0,4.47121720666698,124529741437.176,95.7292531617753,87.9793891678772,79.9918724064404,68.7109237594237,23.3015594791395,42.4029365100173,2.45562579310685
2014,13540.0,4.41968563709776,140558786480.464,97.8622513198668,87.4179243002308,81.071763536832,70.2144428762428,23.4393963603584,44.3229742650441,3.59043028029025
2013,13480.0,4.09748612222148,135409048034.154,93.9644692511903,85.5844507720237,78.5928161158511,72.0844842645641,20.9238810792634,46.009726141286,2.97854923817167
2012,12990.0,4.15410640495246,128153691809.347,93.6404899762305,86.3220792618396,79.5480611607141,73.8916865092227,19.3342953896519,43.9041588079283,3.20071108568609
2011,13170.0,4.47,141109576981.423,89.9702391044083,86.5856413001741,80.4683521986314,73.497614764709,20.3850961337483,45.1882122687754,2.18213634928421
2010,13190.0,4.55,131135561228.374,80.8455464334337,81.750413245871,76.4538911121196,74.1002699964703,20.6032078697783,43.886012899322,2.38360870002599
2009,13380.0,4.84,130760312876.683,80.2299576419677,74.3996204739661,70.3684527450478,75.7054998014987,20.263332469583,45.0100618846346,4.19132276081717
2008,13230.0,5.06,158136326477.965,71.9873543967243,79.2756977025513,78.9195794670057,75.0191504578052,24.6247313066493,44.2446026645122,4.78952411281135
2007,11790.0,5.24,139966001509.592,68.6480786295858,77.9422800396353,77.4045849464283,75.1844269462845,24.2778779605086,42.3708130099996,5.44070201807727
2006,11250.0,5.24,115577256523.599,67.9689618884848,73.8689140152455,74.9985883953804,75.3400630581159,25.789611322019,42.8153930826398,3.65899032869254
2005,10360.0,5.27,112980947728.383,64.9063240885857,62.6425760409987,64.9505122617302,76.9901929219097,25.3177432988219,41.8116219684935,2.62660244093816
2004,8640.0,5.31,103960017914.058,62.7110186964205,59.6543880981468,63.6133144524978,77.0752800017573,26.8836463525937,41.6071303098851,5.08984775085881
2003,6650.0,5.61369918506462,85302003908.042,59.3667252174697,56.3331580938058,60.2730161806239,79.3321152801185,24.6077428066996,42.5621064198868,5.44397717005751
2002,5290.0,4.91,67608919144.3684,58.713655995497,58.1369735753857,60.1831355869059,76.4427428258999,25.6034191856204,42.8197796024391,8.09151375809533
2001,4790.0,4.7,53749989092.0197,59.0170403995142,64.8773208127959,66.167747926773,75.0552124529993,26.2352146609779,40.8075876535032,11.0465583500713
2000,4620.0,4.61776359815143,47218405892.4258,60.8047611942673,66.8578897770738,70.5487114580459,75.6259207034016,28.0649009775705,41.2193678019269,9.58348411198008
1999,4490.0,4.43,49073380173.7159,66.3856366282032,55.6436554579462,58.3821193918374,75.5743264086776,27.1641375252137,43.7656100349679,8.12026370073599
1998,4410.0,4.26957055362496,48706787306.2574,63.8329711386333,52.9301860857864,54.4997145406537,72.8541663753979,28.7153620794694,45.0731852264398,13.7672411196839
1997,4400.0,4.5798145,47296952928.7561,67.0621287308027,47.9054191719791,46.9432999492901,72.7561644269777,26.2817163503332,44.581088362069,20.2607963183544
1996,4370.0,4.2,46658755151.6017,74.8238105500958,41.8827893497962,41.4094173164446,74.7175949359091,24.8090330307393,46.7524628613911,21.9302772697129
1995,4250.0,4.7,46425677734.1435,85.992334767359,39.1884804598934,39.196224849794,76.8616134065669,23.1461309833336,50.9828264727234,26.7327889564411
1994,4030.0,5.7,43166678731.4132,83.3187399999006,25.4007226347856,31.0594574235751,83.6457905070224,22.7269647695996,51.1310147449665,19.4910605212174
1993,3660.0,5.7,40124916944.9454,86.1135084833376,23.1917550547079,30.3692583536898,87.5807246051745,20.4367427972491,50.4248999338463,21.2784551020796
1992,,6.0,38730585920.9529,75.4756911847562,27.6146794200781,27.8266757572161,83.5554947190177,16.4647880573119,51.4535666929081,21.5091796534292
1991,,5.6,34753569690.2388,71.2275932643299,28.7680105301124,29.5932733924999,79.9064203085973,20.947517839554,49.7553615002668,
1990,,5.3,,,,,,,,
1989,,4.8,,,,,,,,
1988,,4.1,,,,,,,,
1987,,4.2,,,,,,,,
1986,,4.3,,,,,,,,
1985,,4.3,,,,,,,,
1984,,4.6,,,,,,,,
1983,,4.9,,,,,,,,
1982,,4.1,,,,,,,,
1981,,4.1,,,,,,,,
1980,,3.8,,,,,,,,
1979,,3.4,,,,,,,,
1978,,3.5,,,,,,,,
1977,,3.2,,,,,,,,
1976,,3.2,,,,,,,,
1975,,3.4,,,,,,,,
1974,,3.3,,,,,,,,
1973,,3.1,,,,,,,,
1972,,3.1,,,,,,,,
1971,,3.2,,,,,,,,
1970,,3.2,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
