date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,6192.34729499842,,30473237070032.2,,26.8903504479298,26.4732036419728,,30.4296866196574,,3.64469034737608
2017,5758.34768528569,3.12329876724971,28650218576031.1,,25.683156558652,25.3128512467688,,30.5691133276604,,3.83550478943577
2016,5650.5771289464,3.10874293315483,26021680550061.5,,24.9023644918502,24.4984379419076,,30.4554946419527,,2.45550906363117
2015,5757.0049089018,3.12543609008939,25869751404416.4,,25.7343574114641,25.1990280684166,,31.2881477746185,,1.95195656307379
2014,5912.50453563415,3.27705137341593,27404133615574.4,,26.7287538101793,26.9003047421042,,32.2439515484042,,2.74763995648372
2013,5728.19907472934,3.31368934056939,26535661158118.1,,27.4906198063938,27.3046012416215,,32.6430443876334,,3.31067778759285
2012,5294.39386011048,3.37535867302773,25107308328320.7,,28.2437557460393,27.7053335865633,,33.0842102733869,,4.82017592441885
2011,4669.13917544437,3.41871736068918,23618284083275.6,,28.8974600186791,27.8847933264847,,33.2816226463195,,6.45937613032985
2010,4192.00068119597,3.43101686339595,19991425369315.0,,28.2027172222544,26.5985743093549,,33.0096059288365,,6.46092573507084
2009,3751.6098525463,3.43627543964619,16461194175663.3,,26.4616658569437,24.9812668768101,,31.7023973696655,,3.64295123100415
2008,3487.24015757817,3.37626235904045,16963159651243.4,,31.7599048130583,28.9906379778847,,32.3236185597972,,10.3850415583118
2007,2950.77954315473,3.33337579777159,14131099202393.1,,32.1461423564662,28.3564782549165,,31.3484440632065,,7.13599141410843
2006,2482.68823882574,3.36217168996514,11368017551598.5,,33.0095077231412,28.6033790009819,,30.1091773587935,,8.40093821713963
2005,2134.49419650393,3.38391528280232,9585373246634.68,,32.4376738601289,28.819182730144,,29.7185342599543,,6.55682428655679
2004,1827.32709957674,3.32954699919225,8014957997692.39,,31.1061864016845,28.7410470169551,,30.0269767498903,,7.96171097710629
2003,1571.77037505933,3.37720062200102,6736086031307.32,,28.7361221733831,26.4385388222326,,28.1611565307127,,5.79357079410505
2002,1444.00669655531,3.35404159729689,5983277676140.03,,26.9376763581956,24.5975191837887,,26.4994334807599,,4.69892816585804
2001,1423.53449616727,3.44979662352577,5890245254355.74,,25.6098961570703,24.0737761620099,,26.7093833896586,,4.82661834072191
2000,1413.81028418007,3.40112782904903,5804811935841.63,,26.7660667280846,24.0121620001369,,25.9843346397011,,7.27743020744779
1999,1361.03806896077,3.36136467372119,5341493579753.91,,24.144414809319,21.9380788854444,,25.6352598802291,,5.55238093951043
1998,1386.10678456825,3.53296286252076,5502438232408.45,,23.0596036145574,22.0287386031284,,26.7279196274083,,7.59613395457615
1997,1430.19478675753,3.48998361659642,5657112859451.24,,22.1819484465408,21.8533530135005,,27.9405569993487,,7.85815554027432
1996,1343.98595002232,3.36645455979214,5343702286255.49,,21.0239512762961,21.1183429100893,,28.3429900302945,,9.29387322945645
1995,1229.66786068607,3.30489934796493,4889400199606.82,,21.0633982151326,21.3893344078304,,28.9845172573705,,11.4135137124901
1994,1140.61296144709,3.44767631230151,4349660021357.37,,20.6213105618772,20.569864761409,,30.1317010833135,,15.6579828469752
1993,1093.89167299899,3.69012252329986,3978506940563.33,,20.1836762620452,21.4936565204089,,31.073066476409,,14.5043515769647
1992,1055.527242512,3.60598835792902,3712147499719.17,,22.1372968454444,21.6311397612304,,30.1939779133931,,14.8443919127694
1991,1001.49824006788,3.44535752798685,3721566116288.87,,17.0085896439048,16.8086805885396,,28.9009294146093,,23.4297190137833
1990,931.779346801875,3.380742757423,3454073122157.86,,17.2350455325411,16.8026759851134,,28.2650059536372,,15.7023798214481
1989,884.564397376951,3.29673121344909,3017412179352.52,,16.7166872444852,17.027584902703,,29.843816368113,,10.9231572547566
1988,874.116014753461,3.12748163567716,2906568460940.37,,16.5668484981571,16.6806070676481,,29.4560289861145,,10.2741420701353
1987,828.653496753563,3.0816552717574,2687140195044.01,,15.0628729755862,14.3677298541086,,28.1417833235645,,9.48831113058394
1986,769.09974983505,3.02415391888854,2629067255115.98,,12.7994194348674,13.6425366033906,,27.3725243978272,,6.76526555400844
1985,727.481036070226,2.87756156999165,2527517176122.63,,13.771464254258,14.5022794423267,,28.0606269779376,,8.19952459557021
1984,709.018417025368,2.90849887622718,2393120351407.34,,14.5026815342288,13.8133067666769,,26.4429054937822,,10.4218296841676
1983,714.794726907335,3.09117999233027,2339638477006.31,,14.0759212648763,13.8715388696252,,26.081188040322,,8.43670348188354
1982,766.312603752859,3.41067212186474,2373468806906.71,,13.9133667388291,14.6526886340594,,26.79305882813,,7.95050389950893
1981,779.060985889921,3.31023244305386,2391944390877.57,,12.8082374057725,15.0178129254076,,28.4087498218553,,10.4420666998509
1980,724.181993028386,3.07220468083692,2208662194496.45,,12.9270803483179,14.3184591772789,,29.1516685250304,,18.5587955968078
1979,629.95313748915,3.12758537609003,1872581741408.08,,12.4610908988036,12.86514740192,,29.0440890930669,,15.6452252057545
1978,545.804156174024,3.12010431949289,1562741601990.79,,11.1113868681287,12.1712226655444,,30.2914675347764,,9.27455133453147
1977,505.70291006973,2.84779976756885,1449242188307.04,,11.4905274568704,12.1038899591098,,28.4521169060961,,12.4122068378342
1976,484.8813669139,2.91980083311485,1278595283441.46,,11.5921325827175,12.0046536311677,,27.930631302922,,10.8405927248126
1975,464.641102848942,2.70795760264599,1173377504068.1,,11.4254303651205,12.9883446749232,,28.8634583046542,,10.1862748667745
1974,395.981569189366,2.69324905773906,1086853679038.92,,12.7055924757909,12.7442463960795,,27.0966069655362,,23.7428803212658
1973,320.411085477912,2.59278280222405,861629703828.615,,10.6251117347986,9.98109307208191,,26.1137171323731,,14.7583460084054
1972,264.439387703702,2.69251116554905,669897730338.028,,9.04160738959545,9.15634044016347,,24.9083503421344,,6.83435272663537
1971,244.243129225495,2.59822121379598,595271207449.201,,8.54784606094518,8.99745316808114,,25.7163768861757,,5.43383864633429
1970,230.23882789409,2.73086636488662,544959851491.862,,8.39302854311255,8.92355847753403,,25.5406989879492,,4.35296885229799
1969,213.433805091033,,501152988531.913,,8.08580943320039,8.37036243985694,,22.1397028502423,,3.33336993784386
1968,196.390394008505,,448541671090.217,,8.17781942594284,8.72520627462719,,21.3303086659279,,2.29076651811797
1967,191.33884827164,,424455494689.917,,8.18044557057602,8.67397678827484,,20.5334160205823,,2.97722850220525
1966,191.538842085746,,412627986711.156,,8.61456312579142,9.04267588007101,,23.3252530808925,,2.86398250232634
1965,,,400530036705.139,,8.44564208800433,8.17725538771188,,21.9862324525399,,
1964,,,366093912554.967,,8.65204767525037,8.58416098124951,,20.5419912828058,,
1963,,,322788271159.95,,9.10274080328958,8.90213720359499,,19.1103640007699,,
1962,,,302265640450.547,,8.21158873879,8.15819091985609,,16.8433964375571,,
1961,,,290203992833.404,,9.10997099350209,9.3341594972323,,23.4462787454764,,
1960,,,304071840492.569,,9.24636030991912,9.79427619455132,,26.0015434416941,,
