date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1163.88571605544,,1235803659778.1,,23.9103809221658,34.5793069135048,,,,3.08420193508292
2017,1109.48808837089,2.81906178236764,1231687458634.82,,22.5680198680221,32.2135773564012,,27.5377144837831,,4.16954846359057
2016,1065.15546866632,2.83447251525139,1113591405725.41,,21.546245577697,32.3092813513459,,28.5990309652224,,3.67725710833557
2015,1045.51296047029,2.87262984045633,1075043581044.47,,22.9220445254654,34.3471571546487,,27.9514732213603,15.3423278480788,3.52028873470626
2014,1026.14192391004,2.9927501249552,1061454687807.41,,24.2497539634628,35.0664942290809,,27.8496220987032,14.7021954754332,3.65702739263406
2013,957.705159171386,3.05767397624408,992627347683.412,,24.1161446047253,36.406706708142,,27.6071024693701,,3.63293080002083
2012,910.124325282747,3.09553000079289,891798023396.251,,25.1318662521857,36.7329956811563,,26.4068225169474,,5.82397326927034
2011,839.562577805671,3.08567454353491,841189262208.926,,25.4582446521011,34.7539546577376,,25.3357212850516,,8.48168341246487
2010,791.172152054086,2.81472143079779,750777944926.932,,25.5407877292792,34.2364225560792,,23.0018169477896,,6.26433124371491
2009,729.749061092755,2.85434646278356,661717248689.292,,22.2575004073941,31.7120400769032,,21.9154938817309,,3.98065855759597
2008,664.172376862882,2.87579095965463,644265856735.026,,24.8312701245244,34.7953331038762,,22.3417999330014,,9.43962200930048
2007,570.027348266319,2.82141224697658,531219302714.383,,25.0739381646268,34.0436273817685,,23.039681795427,,6.64747056837487
2006,509.063981995898,2.77574835509572,445113456111.901,,24.6073889083505,33.3861012840293,,22.3064419917775,,7.57779100866667
2005,465.659618268983,2.77195043051108,384739075079.566,,24.3349326613448,34.0294406462295,,22.1805064585141,,7.20391082760715
2004,415.01079708624,2.7224384746377,340627035619.358,,23.7213918506227,31.4668818797521,,21.3422799573247,,6.95039299731326
2003,365.540910255789,2.6706735629049,300508489763.467,,21.7761420426317,29.3428550916663,,21.0429073086718,,4.95642303143747
2002,343.8556880181,2.4686838426544,266776815849.083,,21.8237992021318,29.3960070886991,,20.0417690330084,,3.89286743491381
2001,338.861302606057,2.40436227047941,253105603378.534,,21.4294598745593,27.6091106101414,,20.2125078505913,,5.19840793864008
2000,336.500321952034,2.21829479027544,258137157083.57,,21.7742075893375,27.4732219287813,,19.6868313557784,,6.44313097023704
1999,330.696596343679,2.35364426220637,236791833037.738,,21.6070805987607,29.3217885339663,,18.8244154283827,,6.2830019332048
1998,328.659118434027,2.32553203078444,234144020666.154,,21.3898166649091,28.5647690373948,,18.5130261703546,,7.59653164264518
1997,326.480429906479,2.35851947093835,224966433606.617,,21.8172040798013,29.0904701826896,,17.9782903938948,,6.22978140498146
1996,313.677403678841,2.378861018903,214514221837.411,,21.6969708904508,30.1052759431695,,18.5922868932835,,9.34082399678027
1995,301.282801142266,2.50900503750277,196304279071.666,,21.8220069505314,30.0485539573705,,18.2712042206229,,11.0842103557069
1994,294.546163987986,2.54190508000672,171898820326.008,,20.511246410807,29.953432633496,,19.0449912145513,,22.0801504945717
1993,319.508843388173,2.90601031575424,186500385424.163,,16.9120962826074,27.9351778713368,,18.6079290096312,,10.8417618126626
1992,332.190277875076,2.97776629133159,184745732785.022,,15.9273156394355,26.8929300226089,,17.4688852952496,,8.56597190699995
1991,336.903516676865,2.9175693061909,196608864519.196,,15.0430054767253,24.6409684682533,,15.8083163090528,,12.7145020277534
1990,344.73912483718,2.86582424030246,193766637123.837,,15.7239946156085,23.9443302547191,,15.2278303863147,,10.6883597199016
1989,357.626202710022,2.64709316812354,183958029827.49,,,,,13.8987588862382,,8.15704904938228
1988,377.490436818699,2.75388756370848,186149308686.784,,,,,13.5650033796126,,9.70614941023595
1987,361.406794913449,2.91999578839119,184001247542.969,,,,,14.6638420637152,,10.737086258321
1986,321.776507051662,2.99746955626892,169168321047.28,,,,,14.6238395506723,,7.3262639855712
1985,296.917782271941,3.02244751559518,157285869251.938,,,,,14.6519331499467,,9.97375895356465
1984,292.839556829783,3.11310023034147,148357809789.518,,,,,,,10.5857130319441
1983,,3.23229823146831,147971559031.155,,,,,,,9.09493735518065
1982,,3.15004090235838,153623696940.167,,,,,,,9.13365003380409
1981,,3.00183711889583,154362285378.217,,,,,,,9.89469031189969
1980,,2.97909893209651,151319531995.598,,,,,,,11.7787932470275
1979,,3.09386705600548,139211319496.566,,,,,,,10.2876534018979
1978,,3.08446254588784,125513471820.56,,,,,,,10.0888940271802
1977,,3.04184442475716,106499997405.142,,,,,,,10.2290316849337
1976,,3.04897803728529,94811139067.9048,,,,,,,9.54960208477151
1975,,2.54370892981747,102473042552.756,,,,,,,11.9472812317085
1974,,2.59046704843703,82991565481.4152,,,,,,,15.1798979797357
1973,,2.79666479401806,64394141271.4872,,,,,,,10.2193675913094
1972,,3.33233567384833,53239419778.6049,,,,,,,4.52312837058422
1971,,3.21411056847724,53572307552.7268,,,,,,,3.10191656438418
1970,,3.09761741470089,50357192186.9563,,,,,,,2.99754064876031
1969,,,48560911183.479,,,,,,,4.35145391633034
1968,,,43354778157.3529,,,,,,,3.16516905085401
1967,,,41349896647.304,,,,,,,
1966,,,40826637004.7503,,,,,,,
1965,,,37687950583.6632,,,,,,,
1964,,,32538431131.4079,,,,,,,
1963,,,35222226975.0605,,,,,,,
1962,,,30317728020.1912,,,,,,,
1961,,,27988594146.1269,,,,,,,
1960,,,26691452398.8035,,,,,,,
