date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1374.36393123525,,2229466987792.26,,19.9718607826901,28.1137601008843,,23.6395400234652,,3.14062109886185
2017,1338.1782538875,2.67739465007768,2171391725106.92,,18.9032723105981,25.9706395291366,,22.7081192340197,,4.14040188150798
2016,1354.43013598693,2.71998148125797,2066071129895.94,,17.3254109556971,25.3284561301272,,23.1708149358582,,3.62646665605035
2015,1387.78855143224,2.64207521841436,2108430749123.54,,18.8014933366162,26.8088151470089,,23.0872665032981,,3.40322293467605
2014,1383.30202434904,2.64027409013782,2151908237642.15,,21.6005887086076,27.9862190777551,,23.0687552485054,,3.68374701144828
2013,1287.36759619978,2.6642505898655,1997013387667.03,,21.7324220174415,29.0417245687863,,22.6581475670336,,3.60411594181168
2012,1197.99718396567,2.67653248495794,1817711684334.54,,25.0075238729542,29.4021226168037,,22.0804886062173,,5.57968376678613
2011,1085.93942017107,2.63656057716512,1680911486800.38,,25.7018066773781,30.0606884772603,,21.7882217485137,,8.51029909941575
2010,1026.89349486744,2.50600609572755,1474650692055.58,,24.3022986689109,28.4963635362492,,20.8913430634316,,6.39119505130665
2009,959.863842519373,2.58045215233338,1274418612530.45,,21.0606529442626,27.5327092162435,,21.4858696557666,,2.5043846622159
2008,893.951726435141,2.52607504643922,1302613412627.59,,24.5057497444177,29.9102566093496,,21.6607804957958,,9.05384973235017
2007,761.451304698544,2.50368805588386,1084894597002.51,,23.8882397628922,29.3801658648368,,22.0681677430694,,6.66943396846374
2006,668.471108512907,2.44592980974339,924570547715.425,,25.3247118567727,28.1689515312808,,22.9900516792747,,7.3658346588596
2005,584.055347886853,2.47145935093295,755906826866.109,,23.9328084319462,28.0454967603976,,22.4588424417444,,7.02646669753648
2004,513.134346077072,2.45047258679157,649756120002.979,,23.7654888181471,26.0213008783197,,21.647316679362,,7.01516286495327
2003,444.553272037664,2.5012741839844,552856157219.014,,23.7474412274901,27.4042870813953,,21.9203005335824,,5.23135595003903
2002,413.798488774295,2.42105521135755,491469446524.991,,22.6537639231767,26.0131110583466,,20.9233675702431,,3.53299430065272
2001,399.258402632515,2.479774602968,456092067744.516,,23.3011080264551,25.9586334872713,,21.9951265169554,,5.15533504951297
2000,391.759862607487,2.45953611163204,460240862698.857,,24.7239509814953,23.6281019133227,,22.2690181614381,,6.30017108622855
1999,386.538051393602,2.67569193977923,421583625747.638,,21.56101591128,24.2251133469935,,22.3091064371536,,6.62785209619345
1998,384.913213822199,2.72168201105932,411164539037.238,,21.0941615279256,26.0290118364897,,23.2136798611632,,6.37937656584447
1997,388.051883690319,4.10377324080842,405789892684.355,,23.7180155035976,27.4283541327074,,22.3506428399951,,6.00815822952212
1996,373.294770858171,3.95768131791076,391164754261.761,,22.4546069149929,26.6419534568259,,22.6780397308099,,8.6789966613377
1995,352.574284525709,4.01004795069471,356026961658.769,,22.9978885143364,26.0030747362907,,22.8803921121788,,10.4708828570087
1994,344.974999667263,3.85710673690654,310164962926.601,,19.7763766503255,24.3095121156928,,24.270626696694,,17.1038588458597
1993,367.932257278207,3.79443372195897,320226597343.21,,19.2171286397313,24.1032809501044,,24.3896934768001,,8.69647417406492
1992,396.676077456885,3.3978003671451,336005441146.585,,19.2678750445996,22.9886541657001,,24.5781292451743,,7.31404867813428
1991,400.229308493402,3.13410145464241,349247381656.34,,18.9173039612739,21.5094583905311,,23.9777184826865,,10.6923700578603
1990,413.174676084479,2.97616782800568,344352108822.601,,18.1080247271194,21.1863422727799,,25.0462590990227,,7.60211265142121
1989,424.547731737278,2.98230073584812,323070559026.135,,18.6384426827872,20.366139235045,,24.6094237629277,,7.82070964758341
1988,454.964231859555,3.07446714230496,330201941875.41,,14.3870741008845,19.1319081984673,,22.3753778651796,,7.64047599586063
1987,440.56908055491,3.25851301854,322868229044.83,,14.7610757781596,19.1491678244778,,24.6384156242122,,7.26468583920171
1986,418.068182880261,3.28439030071373,304760310656.276,,12.7603936032397,18.4367323503292,,25.8522832519579,,5.6895561625302
1985,426.038794969499,3.28189400895172,309323833935.103,,13.516168145188,19.2308907718683,,23.9499992234286,,7.93420858329048
1984,447.712654134138,3.36638103495437,301144983646.843,,13.4895943038675,19.1669741803935,,26.4685167655786,,9.12680209875324
1983,507.120293123058,3.66777410217483,327908450345.171,,13.3172191825707,20.2985322030961,,31.3759151648135,,8.86195285371493
1982,503.22934299549,3.9487287159775,392155952135.495,,13.0421126100243,21.307355099971,,35.8412956288828,,8.6739170017733
1981,472.637709790343,4.0218343543628,415906132639.336,,14.5305040225349,23.7348937775673,,36.8744324490643,,9.54011881165344
1980,415.530507221132,3.04164057846851,281099879697.901,,20.2144725296022,26.6249109269385,,,,12.7409349325223
1979,357.52897404137,2.8449953127227,238504324578.724,,18.3941056272148,24.5432961743712,,,,11.1265783855129
1978,310.920082141823,3.09857074719585,205226806426.543,,16.0942176106691,24.1806040917526,,,,9.2998003076083
1977,290.796034180363,2.70592146995764,180772010364.263,,18.4724075712591,23.8135797186458,,,,9.7947149122414
1976,278.366314994457,3.04846180090759,166211753886.275,,16.8427930354385,24.4990006836667,,,,9.92709445294089
1975,251.493344915168,2.35924068933627,159414629272.39,,16.417895496514,24.110506587724,,,,11.9337531309587
1974,212.312971121754,2.54421238398,132934432888.256,,19.8886297756053,22.2484462551721,,,,15.4390860555148
1973,166.703663466816,2.85658519202792,98294233901.1626,,16.8268008268965,19.242691426362,,,,10.4339032105242
1972,155.629477242276,2.96362366993951,85575370023.1939,,14.7953910949876,18.5091427611082,,,,5.22769803856053
1971,146.426695033945,2.47837806960797,82018275095.1324,,13.6525589686285,18.261677134961,,,,3.37747532516022
1970,139.334105886883,2.38062854279132,81635609650.8521,,13.8584872521527,17.7048503003835,,,,3.71045521169687
1969,123.997602163987,,70401504980.7167,,14.358666870047,18.02685848465,,,,4.83856099553377
1968,,,62442732588.2623,,14.2196084800043,18.3363687910394,,,,3.27352495192123
1967,,,59269862027.6218,,14.1434360610462,19.2544446791246,,,,1.29966826812004
1966,,,58642478174.2681,,,,,,,
1965,,,54104462912.8321,,,,,,,
1964,,,47795309463.3779,,,,,,,
1963,,,48745560832.9504,,,,,,,
1962,,,43341430344.7408,,,,,,,
1961,,,40205993650.8977,,,,,,,
1960,,,38086918428.4806,,,,,,,
