date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,67960.0,,25878475760.1131,,47.218218965954,44.1312252976555,74.3123895667745,22.6150805929103,30.7758044260315,2.39448940546643
2017,60740.0,7.63889233350717,24489493459.0074,,46.1041878279973,42.0219387130716,73.8070479967681,22.1251667127215,29.9324924219753,-0.0576201336086797
2016,55120.0,7.63889233350717,20716024757.4057,73.1811978838547,47.4127506701892,41.1985477356532,72.1846845853744,21.1296827401285,32.9684970073412,1.89363217582759
2015,50150.0,7.63889233350717,17344165907.2129,,51.9389632181021,44.7867393441053,73.5055087414625,19.6013500975371,29.774288288359,5.62322895617314
2014,48230.0,7.65686827910963,17758089312.4856,,51.5209256023028,45.4727250304354,76.6588706798428,17.2927074772018,31.798476462097,3.6931285095505
2013,46960.0,7.6748442247121,16033517529.2506,,53.4930377065601,45.8132657001204,76.9202972314646,15.399930756991,30.9352750871498,2.14290657776588
2012,40680.0,8.42771161129086,14724078264.24,108.46552453756,55.0172627742156,49.2502392611431,78.1571722609571,16.0758042259704,33.1218938357312,3.43987725738926
2011,37590.0,7.65,15158548597.3876,109.35016121934,54.7612573417452,47.0578124779758,76.8117187830559,15.4848348682753,33.6091271912,3.13941595592684
2010,36250.0,8.06,13683689802.2771,102.4201537745,51.984284951387,42.1067523597738,76.2183793297339,13.9040872596271,36.4618132506754,6.42518452398886
2009,41850.0,8.34,13164652894.2464,96.9238517035801,48.6449517162545,39.8295516250032,76.1794162330924,15.0051811136909,35.0614525761173,10.8753001475065
2008,50100.0,8.36,17905251832.0506,77.9389081469783,40.6301814016621,42.7885815629979,75.9569533775086,26.2014467838272,41.665276631881,12.0330716580065
2007,61930.0,6.86,21514962936.5389,40.7822909441853,33.0216932239627,42.0982317317482,79.0439684263503,30.0325700669229,28.1624629813038,4.29364574832466
2006,53610.0,7.04,17216417442.2912,42.9037388389235,30.8192106692806,47.8119673695405,80.7991056647952,36.1936664875881,28.4375055239931,8.41552146837161
2005,50700.0,7.01,16812529923.7715,38.1799107801555,30.4021370249444,42.1933832638011,82.3147845138838,29.4764660880665,29.8020525292913,2.54972372533346
2004,42030.0,6.79,13834751482.0128,48.246749898524,32.3834000484046,37.7039714813531,80.5634933158504,24.7570690756625,30.491125575422,2.65436150087639
2003,33720.0,6.91,11414054860.577,54.5175101915257,32.661995895537,35.6246907473955,81.655515419109,21.3071799467058,31.9827339523411,0.490474253243605
2002,30930.0,6.6,9294651863.31914,56.4432230894864,35.5319912381791,34.0134260270331,78.6321009621521,19.8493341084042,30.5204692283102,5.85384753479394
2001,30710.0,6.06,8205357164.41227,60.5010395440536,37.0562005382193,37.9280056007391,77.9385444269123,22.9332624244409,29.6788497108564,8.69923936532109
2000,31550.0,5.73,9003639475.42485,58.4005066662033,32.2044979490213,39.1111421634457,81.9138527025187,24.9927918368424,29.4163237509357,3.98428893403981
1999,30400.0,5.65,8971609106.48051,59.2265094150066,32.4933548605786,37.019000499122,80.928100696499,23.5975397337434,29.9160029170196,3.48734594755693
1998,29070.0,6.4390798,8494094642.90999,63.2480936118709,33.8062129215842,38.1617436320259,78.4627232790373,25.8928092232619,29.3394352720562,4.70089543196221
1997,28090.0,4.9657839,7580988916.04599,68.3635201364558,35.4811745209726,35.0217092642083,77.798569731396,21.7419646025562,27.1666393435198,4.90508304093686
1996,27320.0,4.7,7438183246.61654,45.6244888057908,35.740678263962,35.2487843604143,78.7833623595651,20.7247437368872,29.8669018167653,2.48630385590577
1995,25490.0,4.5,7134341218.42524,46.2750998308653,34.9464974745152,31.5018441886576,78.3911417859268,18.1642049282156,30.1949810998187,2.99756970461385
1994,25660.0,4.4,6399064571.28805,44.0383078792046,35.1835909397053,30.2189775630358,77.2118093850804,17.7902356852827,30.0139596445347,2.60337699213284
1993,26100.0,4.8,6227928905.73227,42.9971244040295,32.2387445003369,29.2270366075202,78.2723560562777,18.7972050074245,30.2762104163089,1.83184750925957
1992,26510.0,4.4638172,7091625419.01334,37.5923714463574,29.8053723593491,29.9841548356023,80.2782488424886,20.1227917343249,31.0491235313708,3.4492894851988
1991,25260.0,4.4638172,6920116563.2421,31.2681629399946,30.7909646040765,32.1124717514475,79.5213842776223,22.2646376612188,30.6163009640233,8.36534221229526
1990,24810.0,4.1,6478459746.96228,29.8694677729495,33.09665319441,31.9164729392687,78.0637635691687,21.0929045612279,29.3779018745068,15.1715521685303
1989,24210.0,4.1,5681096096.19612,,32.9833463192691,30.8673728837578,77.304194327998,20.901695030301,31.3002889882282,22.8684130367688
1988,23470.0,4.1,6115814934.67243,,31.2423718760079,32.225088116745,78.3958742763113,23.1587614538076,29.7620369487096,23.1352931408905
1987,19100.0,4.1,5528616189.89999,,33.7214848659119,34.8551033928839,78.6662016155279,23.0120977825117,26.6877089027032,19.9464888060352
1986,14250.0,4.1,3995619693.36467,,37.9586862382586,34.2764514989705,76.0986586370063,20.4866426029093,27.8489435047336,24.5862248531872
1985,11930.0,4.1,2988537806.23836,,39.5930035115218,39.5485929629923,77.412272040127,23.0855938925899,25.1167032971875,32.0845443865489
1984,11900.0,4.1,2868747034.89968,,37.3906236896793,37.5500826358907,75.2699396330831,25.7552676002229,23.1643424965981,26.8807606353313
1983,12580.0,4.1,2770107922.61742,,39.0427307637435,37.0319679689669,75.2173604772633,23.3647069797866,25.7931017692659,77.3050671585585
1982,15100.0,4.1,3211446625.91588,,31.6560721257198,36.4107799331234,75.079178402419,31.168741645749,24.2932373906509,53.6463834562931
1981,16240.0,4.1,3498247432.24163,,34.0550905526258,35.613256074774,73.1228834637249,29.7801846151781,23.3277575136389,49.1854078670681
1980,15440.0,4.1,3386501917.62548,,34.9133520693341,35.0160659007215,71.421022468429,30.0694445948988,22.8219448346957,52.4757932335262
1979,13180.0,4.1,2857724220.07941,,37.3270477414428,36.2970770842527,72.1817353919812,27.862466192571,24.6051749209306,40.8973851374194
1978,10860.0,4.1,2515601748.36782,,35.9265599879438,33.1128231518726,70.657030136108,27.5640630031352,23.5467554414097,46.2487843614607
1977,9010.0,4.1,2211828983.75823,,32.3852152118087,33.250166419838,69.3282435761238,33.3770481189028,22.4704576796188,32.7059616012181
1976,7970.0,4.1,1671997859.14256,,33.9742146641765,33.7086787933268,69.3601829488602,31.9883540988257,22.4795572114909,32.7368435131416
1975,7490.0,4.1,1408989850.35784,,32.7439786917117,41.0925447865352,71.5967695863544,39.4348142936051,26.3389091720449,41.8672923472228
1974,6690.0,4.1,1517467733.86693,,30.8997441170323,40.5703533110175,72.0997501827971,40.3992987448482,26.8014497177771,37.6918649228952
1973,4960.0,4.1,1156175524.24276,,34.9854471091424,37.1055629181017,68.2029458928028,35.9830950395418,23.6646415133087,31.4563925148063
1972,3740.0,4.1,840914457.285293,,34.4430430383765,36.3177084715783,71.7369690905752,31.6492612212677,22.83778396157,18.3344759674283
1971,3080.0,4.1,671258750.0,,36.8232376181993,43.2865019365754,71.4519042159092,37.131952063601,,12.5532666071765
