date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,5040.0,,224228010477.889,,43.9693972238568,35.9484339574529,79.10634939407,12.8726873395262,,15.3596287379189
2017,4860.0,4.6,195473049875.108,,38.0620611475302,35.6371495455557,80.8387618216614,16.7363265763642,,14.6359436738975
2016,5630.0,4.6,174878976033.941,28.081055654641,32.1020380068648,39.9209511884864,87.0453719161093,20.7735412655122,25.3030190224676,-13.4103733397398
2015,5940.0,4.6,177498577312.923,25.7368722825666,35.3401544401544,41.4177606177606,81.2,24.6944015444015,25.3977208054162,-26.0999999999994
2014,6840.0,4.6,234648370497.427,,41.3384502923977,36.9489035087719,69.9,25.7,25.0261330409357,-0.690607426202774
2013,7050.0,4.6,234637674957.118,,39.6781974663765,36.0129719216843,69.503168033657,26.9012261885665,,0.0149521151476222
2012,6310.0,4.6,218000986222.639,,44.4487292320132,29.1002490727025,56.3116757512468,13.4485235551558,,2.66976938276827
2011,4970.0,4.6,185749664444.444,,44.4175230392819,27.7538051840835,52.6451386432064,15.460788763068,,24.6894374235643
2010,4580.0,4.6,138516722649.573,,39.41682921428,34.0806504059643,63.3618260001444,15.8708408717512,,16.5867407502258
2009,4160.0,4.6,111660855042.735,,39.4001102563314,39.2872685626584,73.3095581758268,11.2988084759136,,-19.521200513663
2008,3630.0,4.6,131613661510.475,,50.328307412634,30.7272362997354,47.909577068575,15.1861043046118,,30.17540867057
2007,2560.0,4.6,88840050497.0957,,45.899839083674,28.1930139321024,57.2733672230326,9.34171909242017,,15.0158142893962
2006,2040.0,4.6,65140293687.5395,,51.0319434096732,38.6185770761987,52.8422164755847,18.9175988102635,,18.0050306631702
2005,,4.6,49954890353.2609,,54.3478705800752,61.3946697285668,57.4929430966268,22.1552649539445,,32.3069226899727
2004,,4.6,36627901762.063,,56.2709085305741,63.9630685911016,62.2663598207332,16.916898692748,,16.7216998068364
2003,,4.6,,,77.3927188812537,76.8418064070126,58.2985846116672,21.301908443975,,7.8042343877476
2002,,4.6,,,70.5700515170938,49.1919962298936,43.5770827022939,18.2268757348604,,6.65337157147331
2001,,4.6,,,65.2733913946118,61.5068645821631,35.3692644762827,43.4222872253888,,-19.5765324039767
2000,,4.6,,,75.7037742203896,49.6328214205144,25.3791874037946,29.1473474951006,,43.6781399552162
1999,,4.6,,,77.634883408788,60.6797178341329,29.5327567283909,,,71.1480443319668
1998,,4.6,,,77.898988648591,54.3441718723701,49.471706436718,,,-15.8607652689807
1997,,4.6,,,63.8470089465787,42.3411609933623,39.2521730396265,,,91.4987990455392
1996,,4.6,,,0.00916177369600626,0.0177267092130249,39.2731258565897,,,-12.5441388402267
1995,,4.6,,,0.00537675930738319,0.0156224728764523,43.9168876079125,,,295.36766661154
1994,,4.6,,,0.0355659907118372,0.0640163712100481,36.5725842292268,,,396.438022924396
1993,,4.6,,,0.0755486839761241,0.469148000493709,36.0661955703599,,,114.467668001439
1992,,4.6,,,0.582407539328146,1.33873809383155,62.5763193650507,,,104.500771898982
1991,,4.6,,,1.29041072656861,2.50073024338305,110.854714545506,,,111.126415813552
1990,7050.0,4.6,179885815374.719,,7.69831832852047,7.42796348779201,56.2112773014582,,,73.6453902870281
1989,3720.0,4.6,65641363782.5667,,21.9650233488012,22.8700650238388,107.678399051348,,,8.40158964618421
1988,3720.0,3.7,62503055644.9019,,19.6874260248454,22.8121365568489,84.1973631395313,,,10.4312501071165
1987,3530.0,4.1,56609842393.0524,,23.2221590909091,26.1272727272727,84.5352272727273,,,9.89415917403261
1986,3050.0,3.6,47127693792.2161,,16.5015015015015,26.4373464373464,93.1647556647557,,,-6.73151868973756
1985,2750.0,3.8,48284979092.9559,,25.1448860229952,29.8165443184695,83.4710028111219,,,1.68904799518839
1984,2540.0,4.2,46802508845.2879,,25.6637046505714,29.6641444859081,87.9966187658495,,,17.0293505187602
1983,2360.0,4.4,40595046638.7906,,24.6208699786071,32.9316219000079,97.6444021868315,,,14.1916952175694
1982,3050.0,4.6,42595309882.7471,,26.3513885502607,66.438059883442,82.6114654691027,,,8.33422043506641
1981,3460.0,2.6,38424991534.0332,,31.6192087706775,62.2927848134733,66.9997973014656,,,-27.5225891082532
1980,3930.0,2.2,53405689129.6986,,63.4873531295377,31.5623276075253,38.3819361220491,,,13.2017515630616
1979,,3.0,37816457839.4853,,62.453435059818,31.1635862167777,41.3541442796762,,,31.6670093814975
1978,,2.8,23762275651.8794,,56.6780675502351,31.6488527860909,57.1896822003705,,,2.32694998134629
1977,,2.7,19838130714.5276,,56.1981496022669,40.833361783483,62.2819296029497,,,9.65042325299493
1976,,3.8360162,17754825601.0836,,57.369826435247,35.9126454320046,56.1090978447454,,,12.5858647063145
1975,,3.8360162,13458516762.6143,,52.3287119744357,42.5735349621317,57.4491105351886,,,3.88439350853307
1974,,4.0,11516762614.2906,,61.039724778735,31.5739951189391,43.5237731188803,,,88.3325540870866
1973,,4.2,5134367778.1446,,46.3284465020576,24.6077674897119,60.1273148148148,,,8.75411029163222
1972,,4.5,4113848002.40312,,36.9258853596203,21.482292807594,70.8944870390654,,,-3.38209323517124
1971,,4.7,3865346534.65347,,43.6548594847775,22.9947306791569,70.6088992974239,,,10.6500327908959
1970,,4.69431,3281713805.65668,,37.3325369058793,20.1894359586995,72.8219131325198,,,4.35296885229799
1969,,,3008120974.51694,,,,,,,0.574767159603738
1968,,,2896947633.71605,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,2340521142.5371,,,,,,,
1963,,,1978437692.5231,,,,,,,
1962,,,1954634836.18034,,,,,,,
1961,,,1831700364.04369,,,,,,,
1960,,,1684121534.58415,,,,,,,
