date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,61390.0,,382487490532.479,,122.32608520648,89.1849891528727,42.922888282491,23.7757736253193,23.2829995160592,0.818947196760206
2017,53050.0,4.55997965691684,334834010485.56,,121.042588526693,98.9557600863141,44.1486298587735,33.4105182984955,24.2230529250344,1.12921607079335
2016,52860.0,4.55997965691684,300523297712.96,84.8295535010247,120.815306582385,105.226070680944,46.0893753432308,37.4143348375957,25.6676462640702,-0.29957033360435
2015,50260.0,4.55997965691684,291499812103.645,88.5218484996919,121.965038601737,93.1716019053451,45.2916865180712,25.7141751760479,27.0533483025562,7.78956086097671
2014,46450.0,5.4209523407691,258471885130.304,121.293079734391,110.025496775393,91.9648488455117,59.0440180137498,22.2372902642357,34.864657647979,-0.110803708980939
2013,43550.0,5.92291987828717,238543538776.684,131.578730220002,103.664147645544,84.8574430959743,61.9887506464144,18.7476864273183,37.8806211900227,1.22754294529048
2012,40620.0,6.74,224999484104.853,130.084312026127,104.509633606792,87.027383869797,63.1501330365323,20.2257941081395,39.4763497871728,2.2796724314214
2011,41990.0,6.67,237472361872.56,112.471687736705,103.791020586559,84.9647423193418,64.7304269588578,17.0806825151649,43.9536805726715,1.49643914193732
2010,44870.0,6.65,222148757313.006,82.6024574976042,103.019290182287,86.4024114621054,66.3713601734251,17.2421587132159,62.2295236928424,-3.14531563342891
2009,46810.0,6.77,236316405946.096,66.6970216539395,93.2367060731826,79.7620315734548,67.8628188319369,20.2343383971089,43.8900876210576,-4.5622121005417
2008,50920.0,5.7,275038896001.172,46.8074999512846,84.1149719738456,75.5101839483462,67.4639992581568,24.6032387883204,36.9691482224182,-0.317246956902252
2007,50530.0,4.95,269917943471.12,26.9733504975566,80.7824180853658,72.5112590171128,62.3713290058885,29.2284309144566,31.9029341528218,1.21059175191145
2006,47910.0,4.81,232083467569.941,27.0425378520392,79.0015708748446,70.9573935726644,60.3751542241442,31.879846285819,30.6448274690734,3.45421818461591
2005,44530.0,4.83,211649034697.177,30.788487633198,79.5836674442647,68.696202291582,59.9094322773516,30.3310815732583,30.4422449479287,3.11627425078986
2004,37690.0,4.9,193870692699.28,30.9138796254861,80.5356210256648,66.1612700350127,60.1247143268846,27.2385701692414,29.7348100388753,0.517493105194461
2003,29890.0,4.56,164284690067.72,32.4293905171994,80.852043250907,65.7002148600499,60.7653733671653,25.7478696099886,29.72281460915,3.92013972889254
2002,24830.0,4.42,127949875023.527,33.7578377693978,90.4749947177667,73.2905479469373,60.5661773317657,24.0893914281432,29.4752621443904,5.24945715026762
2001,24020.0,4.21,109135253959.732,35.0545051925523,95.3262971729131,79.7015601180873,61.1419352069342,24.2822022041417,29.0023225684164,6.88639664307435
2000,24080.0,4.26,99852958356.3663,38.9027901825165,94.489514667878,80.6505006380259,61.862915048635,24.5339301706404,27.7082754104222,6.90278037802574
