date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,33730.0,,2083864259622.65,,31.4534365562806,28.9543448380087,79.3399411607903,18.1609671209378,,0.878398111820005
2017,31340.0,3.8986026842245,1956960611690.59,,30.8424072807019,27.8619485480206,79.1050256886754,17.9145213370158,41.2636333787055,0.690706206492095
2016,31940.0,3.8986026842245,1875579883543.09,,29.3312929817177,26.0427328515306,79.1536881466812,17.5577517231317,41.8127588737396,1.13638932512181
2015,32980.0,3.8986026842245,1835899237320.04,,29.7159823723612,26.7021937892476,79.8789504366133,17.1072670212734,42.2689392909678,0.931863574759717
2014,34890.0,3.87808532975,2159133919743.77,,29.1088281864091,26.2132869642331,80.1452631108066,16.9592018117671,42.2230942304733,0.913241261981469
2013,35550.0,3.938512816728,2141315327318.21,,28.6332430796987,26.2343363170751,80.7086994752384,16.892393762138,42.2182267036461,1.14761015891955
2012,36200.0,3.934256408364,2087077032435.15,,28.3792428359574,27.2754780086443,81.1067223021615,17.7895128705255,41.8970883709368,1.54730144037734
2011,37900.0,3.93,2291991045770.29,,26.8724634660876,28.2730589939396,80.9325007378291,20.4680887248433,40.6314264368319,1.60717698349345
2010,37850.0,4.12,2134017843247.16,,25.0740498513169,26.932138522965,81.2782873038655,20.5797951615344,41.3582523304152,0.436360537541674
2009,37870.0,4.29,2191241872742.43,,22.3991617339964,23.0196000534853,81.1116889783072,19.508755681307,42.8504975001203,1.67883895982297
2008,37910.0,4.21,2398856598798.89,,26.8627746947944,27.6301011040243,78.9888119883295,21.7785144209004,39.0752417690328,2.40070344440197
2007,35900.0,3.92,2210292636189.43,,27.3610422532316,27.7004133784664,78.0933316109747,22.2460457068249,38.1001880186505,2.47899476586151
2006,34250.0,4.29,1947919708944.93,,26.1734884330826,26.9946907515411,78.8635866550807,21.9576156633778,38.5776448927111,2.12485391464755
2005,32430.0,3.98,1857524312896.41,,24.6010923817882,24.6999183803436,78.9294548675972,21.1693711309581,38.1640016140486,2.01055790083582
2004,28270.0,4.17,1803226967966.23,,24.0098284192385,23.4205019696086,78.1482305196035,21.2624430307667,37.7797164397078,2.67018368106109
2003,23350.0,4.28,1574145823927.77,,23.3021929123911,22.846651865801,78.3650841633128,21.1793747900972,38.4743397329248,3.1478079285654
2002,20710.0,4.17,1270712309429.7,,24.4074673383008,23.6504569605133,77.6717561350642,21.5712334871483,38.4927660910067,3.27434188043023
2001,21170.0,4.42,1167012796420.58,,25.6490116681011,24.3857929628241,77.8934234506687,20.8433578440544,39.3264724988974,3.03359202588445
2000,21890.0,4.06,1143829832319.88,,25.6277321000853,24.7778577250385,78.2855498319832,20.86457579297,38.4576753088913,1.79239796601405
1999,21990.0,4.26,1252023758789.69,,23.2007416928655,21.4200491086453,77.9861966498731,20.2331192754624,39.5913030639931,1.5361284470883
1998,22220.0,4.20804804260797,1270052525928.4,,24.0629522904606,21.0297859404713,77.232347440559,19.7344862094517,40.6057446590487,2.40262167809806
1997,22300.0,4.5393454,1241879604365.62,,24.149790549301,20.4387154276353,76.7872380218451,19.501696011003,44.270679566109,2.56737468974622
1996,21830.0,4.5,1312426527795.21,,23.7046822237544,19.1740161111386,76.1142441140303,19.3550802119608,46.3034363551128,4.5076232078974
1995,20670.0,4.4,1174662070605.02,,24.6724895248457,21.0120646415781,76.2972312888164,20.042343827916,47.1026767500146,4.92524448121414
1994,20860.0,4.5,1099216688640.73,,21.8710884125796,18.5839402991086,77.7253896961483,19.0076442766794,45.8771264923982,3.54247356761222
1993,21590.0,4.7,1064958075919.77,,20.3990960311166,17.360133143678,77.9211787948796,19.0724802929859,48.1294262650656,3.88595181770657
1992,22960.0,4.0033876,1320161645718.77,77.4636589850747,17.4791899115047,17.434521704454,78.5511853589902,21.5677758759546,47.0796036587564,4.3681155933253
1991,20370.0,2.9,1246220155454.97,71.423088166247,17.0360093702047,16.8424279935829,77.7646656207451,22.1990544970334,44.0799293244935,7.58132870270254
1990,18660.0,3.0,1181222652714.93,,18.2594375395721,18.0623118710358,77.3996790594103,22.5586278249821,43.2429682712546,8.91406340252023
1989,17300.0,3.8,928661332486.593,,18.5166585152475,18.5361107776568,77.8552746911151,22.3288078508362,43.3106058059721,6.19738786092847
1988,15950.0,4.5,891608957601.904,,17.5779880251996,17.5331134955771,77.5387200203739,22.5790482480886,42.4200032525161,6.65040263411325
1987,12160.0,4.5708508,805713128772.035,,17.9840507258368,17.5785578110803,77.6129344674177,22.1284332594507,46.9908389353897,6.00928297728996
1986,9380.0,4.4,640386352123.652,,18.7039211096939,17.4594258997061,77.1174792444738,21.7480838381854,46.1467448623243,7.48841779509743
1985,8030.0,4.5,452217491937.937,,21.1125929121273,21.5245620608859,77.4190433769883,23.1708762192312,,9.17464245281158
1984,7760.0,4.5,437887688781.133,,21.0046160932274,21.4310513458593,77.2931464762817,23.3117324188456,,10.7618451559306
1983,7630.0,4.3,443042373916.369,,20.3329151022091,19.8567789974307,77.4167439290879,22.2482511410534,,15.0967391804504
1982,8220.0,4.15000000000001,427272645239.8,,21.1199718886728,22.3883172486198,77.7482763443667,23.7342914725244,,17.5409501616831
1981,8710.0,4.0,430702851303.015,,21.6653503549893,23.6166876034769,77.5002362914908,24.6933344570922,,18.7872259523642
1980,8430.0,3.85,477256776396.111,,20.1860993931687,22.7865569324763,76.1037339668863,26.767689406221,38.570832757743,20.815794701836
1979,6740.0,3.7,393677160801.678,,22.3852289852737,21.3251898670564,74.6308898779055,24.4213230691269,35.7307480809179,15.4510272768287
1978,5270.0,3.5,315058323522.701,,21.6787565348873,19.5894310373521,74.0911572701779,23.8877637069544,33.8877701155251,13.9449739244539
1977,4730.0,3.55000000000001,257596312925.17,,21.3796746740169,20.4298823450946,74.7270837204763,24.4419567242779,30.1616118984265,18.4771572994901
1976,4510.0,3.6,224717279134.683,,20.0447037022974,21.1474477967059,74.7104027226445,26.5977765265851,30.0098550240128,17.4542765988941
1975,4320.0,3.4,227695850533.808,,18.7322549880045,18.668192322611,76.3178080755601,23.7773905609928,31.0301782409049,16.9830885099902
1974,3930.0,3.6,199564490324.501,,18.5240186973801,22.2788766839637,74.3026478633498,29.7710234377099,26.5810722159369,20.2463798001999
1973,3250.0,3.1,175492057123.879,,16.1054475051734,17.9592190698366,75.73917625523,26.3589868516854,26.6200697143495,12.7386328936554
1972,2620.0,2.9,145260039508.632,,16.3135256913748,15.5092808681644,76.3902330682828,22.9353753252864,,5.63297323550836
1971,2250.0,3.0,124672367041.199,,15.5800547925035,14.816035770601,75.5344319912629,23.8342703911694,,7.17883930256291
1970,2060.0,3.4,113395315675.341,,15.1635375972039,14.9353087643717,73.9192300305454,26.006096999012,,10.9590708113797
1969,1850.0,,97085082807.3751,,,,,,,4.05131666023561
1968,1700.0,,87942231678.3505,,,,,,,1.73445112915115
1967,1550.0,,81133120065.4202,,,,,,,2.77525898114087
1966,1410.0,,73654870011.2757,,,,,,,2.23239628591614
1965,1280.0,,67978153850.5191,,,,,,,4.19704019609406
1964,1160.0,,63175417019.0094,,,,,,,6.48980793678635
1963,1060.0,,57710743059.8341,,,,,,,8.45785990027889
1962,960.0,,50383891898.9911,,,,,,,5.79372991590641
1961,,,44842760293.1924,,,,,,,2.78215888207643
1960,,,40385288344.1911,,,,,,,
