date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4200.0,,42231295774.6479,,35.6387459803857,54.5586978750823,100.67295397379,18.4396992818222,,1.76506156195033
2017,4020.0,3.41437628418393,40708943661.9718,,35.1204964130456,56.3533292853597,101.929361129419,19.3022608105981,26.1236154286614,1.70631864122871
2016,3930.0,3.60886152852502,39196676056.338,75.3868896615264,34.6565747886067,55.3974108181062,100.131730054719,19.2262637964415,26.3169052851564,1.00741781265998
2015,3900.0,3.64629685416517,38043450704.2253,,37.0684373131538,59.6534355638568,100.58550545429,20.616900245642,26.0821114478071,2.27241784817991
2014,3870.0,3.6837321798053,36329267605.6338,78.822879004163,42.7339459358031,68.7739447262092,103.386165191763,21.2710196024003,27.879977265837,3.44432219841335
2013,3800.0,3.72116750544543,34064873239.4366,74.5669199530639,41.7662074765381,70.9590565805262,106.145440803504,21.6645456101573,26.5400813526469,5.59977862356401
2012,3690.0,3.75860283108557,31371056338.0282,65.8995350967183,45.6072139699957,73.237868403862,101.748943248576,24.4991233957918,29.117177626277,4.50061324459567
2011,3570.0,3.79603815672571,29244647887.324,60.9992438727202,46.9959592943454,72.8376927040942,97.9035528349957,26.5554790331203,29.1234221261143,6.38652134776476
2010,3480.0,3.83347348236585,26795901408.4507,60.524812234791,47.5887367681309,68.0753678432007,89.9732931618195,29.1304798032493,26.5712277839422,8.43146212106647
2009,3380.0,3.87090880800598,24154000000.0,60.1626651521283,45.7941821667773,68.1402316357364,92.9586794593844,28.0045762694075,29.6781100613785,2.82605841541255
2008,3120.0,3.90834413364611,22279907002.959,55.9996964340487,55.7245897906976,86.3012702337774,99.712560989878,29.4813133021967,30.9845971901177,19.8680227763144
2007,2770.0,3.94577945928625,17350521861.7772,68.9914742243235,53.4844474503964,90.4896305497207,105.773107713518,29.8491568521614,33.4153828144815,5.05073011785547
2006,2530.0,3.98321478492639,15268053596.615,71.6209163006176,53.1295467457425,86.6582602389827,104.198133034028,27.9481388076729,32.3008207814283,10.6512990400556
2005,2350.0,4.02065011056653,12765218617.7715,78.8461240986726,51.9770091066389,92.9038488311194,105.866611274023,33.6753387090715,35.1559133488167,2.00668344911379
2004,2180.0,4.05808543620666,11571424541.6079,87.7934798772327,51.4691363141048,81.2943221349221,101.436591769521,27.0058775203739,31.694242175292,3.09095859284459
