date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,8070.0,,179339994859.384,,37.526947872744,25.2912504856636,57.9700367989172,23.8363557187724,14.7050433078792,9.20560599056167
2017,8040.0,3.156958878705,166805800595.704,,33.5506055811272,25.6467645041268,61.2901104370015,25.9391167278251,19.0261392086365,11.2111056561166
2016,8800.0,3.156958878705,137278320084.171,16.7692758640144,31.8438886422836,28.4677079441317,66.1751702906997,27.8275828886455,16.3309403041021,13.6384336167435
2015,11420.0,2.8632474565157,184388432148.715,19.307916061599,28.5167080072354,24.5330208000299,65.3505402888127,27.9079156027413,15.487142712709,1.823549877056
2014,12090.0,2.90444625086788,221415572819.5,12.6469696266918,39.3417580907293,25.6302765606214,59.1721806046824,25.7902472414133,15.308914994467,5.77123952989534
2013,11840.0,2.94564504522005,236634552078.102,10.8406391538642,38.6170377152797,26.7905716146741,60.0699458941737,24.5696053585629,14.6089815385558,9.49908144096334
2012,9940.0,2.98684383957222,207998568865.789,10.4981138465889,44.1096630384291,29.614069450738,56.4583541793039,25.2296602336096,15.7960435478034,4.78556980595846
2011,8280.0,3.02804263392439,192626507971.584,8.80131007226425,46.4646627947552,26.6531942561577,52.6670645627482,22.9981460184012,15.2070759191101,20.5429582663806
2010,7440.0,3.06924142827656,148047348240.643,9.52296325134078,44.2441794984735,29.8940863973107,56.1928268763926,25.3735490201768,16.4678319854926,19.5422853972235
2009,6780.0,3.11044022262874,115308661142.927,,41.8384224460915,33.9276450175618,59.1857456825156,29.4145645191248,,4.69108507403161
2008,6150.0,2.73203493391967,133441612246.798,,57.1463849391331,37.1484197092327,54.600305968026,27.5064843034904,,20.9365382117877
2007,4980.0,2.9699814339173,104849886825.584,,49.3128208903582,42.8488122066393,56.1553336964001,35.5266994941709,,15.5270972952623
2006,3860.0,2.73808863632419,81003884545.4098,,50.9752978421833,40.478228955154,55.9025471514269,33.9007913190431,,21.5517089095579
2005,2950.0,2.34367863409933,57123671733.8953,,53.194358254068,44.5681447702344,61.1054998532065,30.9697680425121,,17.8748272505452
2004,2300.0,2.27302477306269,43151647002.6096,,52.5004104250221,43.9087892759114,65.1475197083651,26.3110896798392,14.0707427767027,16.1316269947904
2003,1800.0,2.61372155708202,30833699702.7594,,48.4170220946326,43.0463103304131,65.7424444575841,25.703912594675,13.887221837463,11.7385246474223
2002,1520.0,2.95441834110144,24636593223.3467,,46.9906407561754,47.0410448936046,66.2085144012067,27.2877232823977,12.6910979763059,5.80322409676619
2001,1350.0,3.31916315582612,22152694161.8882,,45.8950186109102,46.9540498960605,71.3262529643435,26.8764228364096,13.5682160853528,10.1564326382591
2000,1260.0,3.68390797055076,18291990619.137,,56.6024267995373,49.0972658349839,73.9633569208927,18.139048031664,13.721583116838,17.4264026783762
1999,1290.0,4.0486527852754,16870817134.7767,,42.4620955088389,40.1170558469331,83.9508894886539,17.7761650475639,14.1823058600377,13.2801406207938
1998,1390.0,4.4133976,22135245413.2312,,30.344203290498,34.8599794549415,84.0553037665652,15.8045617414779,16.6472091519841,5.66284472304083
1997,1390.0,4.4,22165932062.966,,34.9168566674192,37.4426940287685,82.8979886582633,15.5982639039436,18.7424217732639,16.1357299796043
1996,1340.0,3.9,21035357832.8019,,35.2688049307021,36.0047683570055,80.2104708198066,16.1466394801284,,38.8996311465469
1995,1280.0,4.1,20374307047.115,,38.9738609136355,43.5485461304095,84.686123901833,23.319259704789,,160.888673525706
1994,1310.0,4.1,21250839258.0901,,37.0647377091299,47.1170012997416,88.3372753789653,28.7040745386673,,1546.72681594741
1993,1430.0,4.1,23409027475.6879,,37.8953951147228,46.7391267405542,84.7708093300842,20.0250823332688,,1243.46165650541
1992,,4.1,24906939560.1098,,74.0049709784411,75.3316708126036,,31.5091210613599,,1472.2163557256
1991,,4.1,24881135586.399,,,,,,,96.3564961311478
1990,,4.1,26932728898.8146,,,,,,,
1989,,4.1,,,,,,,,
1988,,4.1,,,,,,,,
1987,,4.1,,,,,,,,
1986,,4.1,,,,,,,,
1985,,4.1,,,,,,,,
1984,,4.1,,,,,,,,
1983,,4.1,,,,,,,,
1982,,4.1,,,,,,,,
1981,,4.1,,,,,,,,
1980,,4.1,,,,,,,,
1979,,4.1,,,,,,,,
1978,,4.1,,,,,,,,
1977,,4.1,,,,,,,,
1976,,4.1,,,,,,,,
1975,,4.1,,,,,,,,
1974,,4.1,,,,,,,,
1973,,4.1,,,,,,,,
1972,,4.1,,,,,,,,
1971,,4.1,,,,,,,,
1970,,4.1,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
