date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1620.0,,87908262519.9164,,13.1760260357214,23.0051779768841,94.6774185572082,18.4427531193843,,2.83984757930014
2017,1440.0,4.93061964347231,78757391333.0219,,13.255643340443,24.2336404287917,94.3030392224709,18.7977963772855,26.1745257564532,10.5902620972602
2016,1360.0,4.93061964347231,69188755511.0911,,14.3117653269109,23.3354151686063,91.7689783437197,18.255451139704,23.9955297884654,5.55086814783326
2015,1290.0,4.93061964347231,64007750178.5014,,16.5924430366565,27.6188770281318,92.9375200141479,21.4659565444487,22.6933355282616,10.0249813791043
2014,1240.0,5.037938386935,61448046801.6041,,18.2969813823187,33.0013241292445,93.7871541137179,22.4316579762145,22.8228352113594,8.06828554254706
2013,1130.0,5.22444537323563,55096728047.9408,,19.9253965678206,33.2076103930589,94.8852181939647,20.1055617490922,,5.16874442189688
2012,1050.0,5.22486336822648,50412754861.0191,,22.2273535709525,35.5377227447336,92.5911116013041,21.4755978896764,,9.37978065243321
2011,990.0,5.03284659394846,41953433591.4101,,21.6259724449116,38.8227008753279,92.8204270732743,21.7027588905607,,10.7939224157998
2010,960.0,4.88,40000088346.8041,,20.6569832472743,33.5698813789013,91.3238266071589,20.8409019557731,,2.09167565659205
2009,900.0,5.32000000000004,37021512048.8158,,20.0326292529074,30.8310123169843,91.4657602364504,19.3326228276265,,11.6373036795758
2008,820.0,5.76000000000008,35895153327.8497,,22.6740575532267,34.9045410940864,91.0015392310611,19.6127114227698,,15.1511749632827
2007,700.0,6.20000000000012,31958195182.2406,,21.9189912933699,31.975797511236,89.4842724262777,20.4569783889085,,8.12948559548256
2006,580.0,6.64,25825524820.8064,,22.9849396441861,32.2515454815442,90.5787788775865,18.633585404403,,23.5301332527861
2005,510.0,6.48999999999997,18737897744.7948,,28.5090302142012,35.9698359497784,92.779600558018,17.6496847904784,,4.8996497187279
2004,450.0,6.34,16095337093.8366,,26.6102585752973,32.8667447731316,93.3847538586974,16.962495556485,,7.12684155567369
2003,400.0,6.09,14904517649.8476,,24.086815305421,30.045450590308,95.2504987709647,16.4821493891933,,6.19731323851092
2002,380.0,5.8,13147743910.7241,,24.8979726147002,30.2746996493051,95.692470249852,15.1382158893462,,0.933205556077326
2001,400.0,5.11,12986007425.8781,,22.9315763643367,33.0152596643276,95.543220537511,18.790340524259,,1.57312029865415
2000,410.0,5.13,12705357103.0056,,21.5875711417625,31.7214732444649,93.3450638218568,17.4140906154511,,6.07984848838849
1999,430.0,5.13,12896013576.7324,,20.8327351985075,27.359539790402,94.3333262434622,15.5214148674685,,4.19393904835692
1998,430.0,6.3026467,14093998843.7334,,20.1692608275285,28.7279811125469,93.9439699805432,16.6927164077638,,6.93140266826495
1997,390.0,6.0471878,13115773737.5664,,22.686387351635,31.3707295086543,92.7156882981333,15.1409881437805,,11.4352163327272
1996,340.0,6.0471878,12045858436.2399,,25.2006019494243,32.1115087543859,91.2501199131393,15.0038226855311,,41.9887739106906
1995,270.0,6.0471878,9046326059.98857,,32.5917012190029,39.1540404213006,84.1046572005452,21.8197611034428,,11.2210708416215
1994,260.0,5.9,7148145375.78545,,37.0402808384151,34.2258443908956,77.5713135607172,19.2932429676681,,17.0164147863953
1993,270.0,5.7,5751789915.05363,,38.9036301698042,33.9548511937601,77.6059319028015,17.6104350597216,,25.6984836123499
1992,330.0,5.8,8209129171.73649,,26.2603741906351,26.6704959131936,82.9865234663194,16.9208390832406,,18.8972340844204
1991,350.0,6.2,8151479004.21334,,27.0416323240194,28.5560669003459,80.2857215189738,20.9705148585975,,12.5319618968832
1990,370.0,6.2783174,8572359162.85631,,25.6926059649364,31.3283077167904,81.0321042819505,24.1640928963226,,10.6371987339056
1989,400.0,6.0,8283114648.36775,,23.0330294282825,30.1233477950354,86.9416874359244,24.8620776143297,,9.76900937232432
1988,410.0,6.3,8355380879.12955,,22.3712135609168,27.6037685308535,79.9477866021489,25.4490410212095,,6.45562428212789
1987,370.0,6.5590803,7970820530.75078,,21.3052213474356,26.3975466582492,80.8220452317016,24.2894328729648,,5.40195208194704
1986,340.0,5.8,7239126716.93219,,25.8483552726796,29.8930303200573,78.2418385121088,21.7680371734426,,8.71172359088564
1985,310.0,5.1,6135034338.30431,,25.2989329600959,30.1465015930706,75.702637394903,25.3248237306024,,8.30578269521232
1984,310.0,4.5,6191437070.44184,,26.7498926521639,32.0540049258986,81.6066766320121,19.8110319511086,,10.1907199755477
1983,340.0,5.2,5979198463.83025,,25.9499324054367,28.2127729852925,79.5659373657218,20.9250655214958,,11.8380374873822
1982,390.0,5.4,6431579357.31256,,26.6574659989352,31.558271148705,81.9360606310803,21.8602148394683,,11.5925537547014
1981,450.0,5.7,6854491453.90208,,30.4598813209494,33.8203044375645,80.3244324045408,22.9134416924665,,10.8530772651213
1980,450.0,5.1,7265315331.62273,,29.516964217512,35.8998317232487,81.8289711805242,24.5071406229961,,9.55072003576136
1979,390.0,5.8141714,6234390975.27091,,25.7531542356879,31.6110205132607,83.7009698738306,18.1327783022917,,5.63864406779729
1978,320.0,5.8141714,5303734882.53446,,28.9355183365614,38.6880223248916,80.0105379732941,29.7892893210325,,3.08099554794919
1977,280.0,5.1,4494378855.33109,,34.9588687563848,31.5930964030324,72.8533792139362,23.7233211462982,,16.899820613587
1976,250.0,5.7,3474542392.03212,,32.4504712438085,31.7556377270226,79.0657711887727,20.2442178040726,,18.9061718696731
1975,250.0,5.4,3259344935.76836,,29.8236859697502,34.5115818500877,86.5463399348208,18.1398934570068,,11.8351086217846
1974,230.0,5.0,2973309272.04487,,33.6758838502875,40.8975205053267,81.4650702366362,25.7556330724993,,16.0492722095739
1973,200.0,4.4,2502142444.15525,,27.393834680633,28.6690140043265,75.4639644768302,25.811225663213,,10.2038414765042
1972,190.0,4.2,2107279157.38336,,26.5878288599522,28.7270794578794,79.8033483922402,22.3173000265745,,1.20524585776268
1971,160.0,3.7,1778391289.19123,,28.639355102812,35.189107913216,82.6337421670813,23.9159870264823,,-9.2191579163795
