date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,30600.0,,1619423701169.63,,44.0101546966342,38.9937736107049,64.7362022644282,30.1826452787231,,0.320729077786552
2017,28380.0,4.63873508046876,1530750923148.7,,43.090975864808,37.6882434884219,63.4294181369205,31.0756510711261,25.4210826695622,2.26517778930319
2016,27690.0,4.63873508046876,1414804158515.26,40.3607233268095,42.2842014732736,35.4286307716109,63.8265766671174,29.2523873391538,24.9217858963099,1.97796855058488
2015,27250.0,4.63873508046876,1382764027113.82,39.7437106767763,45.3366897596795,38.375431767266,64.3175134655253,28.918111921952,24.8995320496337,2.39465886357712
2014,26800.0,4.59576910710839,1411333926201.24,38.3878017121372,50.2755337484346,45.0216889502465,65.4692451472812,29.2769100545307,24.8402980437727,0.600438072898797
2013,25760.0,4.562913544176,1305604981271.91,36.6739436147754,53.8750763058176,48.8956696072477,65.918376455652,29.1022168457781,25.2325832102436,0.853333712066899
2012,24550.0,4.11,1222807284485.31,33.8831703384941,56.3402392249426,53.5459590127225,66.2044912192158,31.0012285685641,25.7539129905136,1.04350222380643
2011,22540.0,4.15495463938711,1202463682633.85,,55.7474744518756,54.2525780738226,65.546263509422,32.9588326088539,18.9013368540558,1.58460367985889
2010,21260.0,4.04247731969356,1094499338702.72,,49.4194931194618,46.2345926841528,64.7922245018604,32.0228750628306,18.4254217945354,3.16144424827201
2009,21040.0,3.93,901934953364.711,,47.5497604513923,42.8628771985394,66.8215149710717,28.4656576954675,20.2012770798513,3.54229742994067
2008,22800.0,4.0,1002219052967.54,,49.9614121312944,49.9721500975743,67.0719630251803,33.0185038880311,19.1418742477312,2.95666298529238
2007,22420.0,3.7,1122679154632.41,,39.1846770759826,38.0583303570795,66.3057970906137,32.5795311571119,18.8226670339776,2.39723134631961
2006,19950.0,3.73,1011797457138.5,,37.1662636873734,36.3850863087863,66.6016185834631,32.7006879321314,19.3113515530075,-0.139840054148664
2005,17790.0,3.42,898137194716.188,,36.8096644771625,34.3746497190196,65.486754527329,32.1630646230425,18.5488802804705,1.03157154480107
2004,15630.0,3.61,764880644710.649,,38.2950027801461,34.4660835304054,64.1551443661204,32.1170741151219,17.8039440518857,2.98410371517457
2003,13350.0,3.35,680520724062.403,,32.7021700046848,30.6908255399793,66.0941284496667,32.0149095719368,17.8654388442295,3.39506202261082
2002,12460.0,3.05,609020054512.465,,30.8268550142275,29.3268528486995,67.6715678908112,30.9395805884173,15.9015875157444,3.06049293035788
2001,11620.0,2.96666666666665,533052076313.527,,32.7324453775541,31.1786172180534,66.9415571761943,31.5595869536502,16.7782429763564,3.65042964693004
2000,10740.0,2.88333333333333,561633125839.994,,35.0088777341264,32.938314310517,65.093076878753,32.9417148967403,15.7895095378572,1.08683935889586
1999,10160.0,2.8,485248229336.653,,33.5640716636319,27.8720022854258,63.4697111737631,30.9162955854393,15.2211619268581,-1.18452201213412
1998,10070.0,2.77279633087409,374241351752.483,,40.3892984398929,29.5984684165248,61.6715172148701,27.7618952830707,15.6455078661249,4.61694348715238
1997,13230.0,3.2041161,557503074772.151,8.87060568446589,28.977022783758,29.6559555053662,63.3269419216208,37.4246790451008,13.3378687278577,4.06413522494387
1996,13040.0,3.3614832,598099073901.423,7.0014848044481,25.2847399347551,28.2196396564166,63.3175153717997,39.6809624126659,13.5174568442335,4.25540779471969
1995,11600.0,3.2,556130926912.754,7.35253146746848,25.933521104169,26.8516025217339,61.6650941383746,39.0032944992284,13.2959656780838,6.9409495179178
1994,9910.0,3.3,455602962225.403,8.32281121211012,24.2496876145664,24.6258067794332,61.7715354720694,38.5391289049545,13.4198706093251,8.10191807124509
1993,8860.0,3.2,386302839273.923,9.35197019289285,24.1332302610637,23.4541658966884,61.5912926507472,37.4795411542482,13.33489425256,6.19787213947687
1992,8170.0,3.1,350051111253.443,10.150131336559,24.6267209334154,24.8618386239998,61.6415276758223,38.4851980148382,13.6291412733462,7.74293125691736
1991,7440.0,2.9,325734233312.879,10.3973924677617,24.1527027275939,26.2365767850594,60.7274783863843,41.3740616517608,13.3792593014319,9.48462200389615
1990,6360.0,2.9,279349355713.801,7.54985906289088,25.3399004513123,25.9210984850209,60.8467960769259,39.6159975884151,13.450351849632,10.1086319708925
1989,5310.0,2.8,243526047716.915,,27.8571166477085,25.6941131863159,60.9310901552123,37.096221822674,13.2921146295821,6.04187851762508
1988,4460.0,2.5,196964195387.371,,33.0283036285671,26.3580230632442,58.3780212030812,34.7041855054437,12.3825772141145,7.10586037918515
1987,3480.0,3.1,146133338196.141,,34.8818558977213,28.3456830794751,60.3255774099059,33.0897492531502,12.8139535077189,4.94863391373998
1986,2820.0,3.2,115537126325.94,,32.4752897185984,28.2633969689769,63.0952217297295,32.4221672777548,13.3915683590566,4.95586945923941
1985,2450.0,3.4,100273097170.18,,27.330707614432,25.8906505761145,66.2247419749747,32.5659448232225,14.0337644831017,3.99392206584912
1984,2320.0,3.4,96597434179.5082,,29.4217756975735,28.5323085301507,66.7755434419618,32.2482904248378,13.8294483633804,4.42128876702866
1983,2150.0,3.5,87024427972.9294,,27.9890740817548,30.0560516196311,69.225972163794,32.7824948303342,14.2869416316591,4.84772830912365
1982,2040.0,5.4,77773431088.253,,27.3670122021998,32.9024984786822,73.0445350395543,32.2086720390583,16.0345136883427,6.4755047326414
1981,2020.0,2.6,72425590649.4574,,29.9560051901711,37.2054172410997,74.5369394209715,32.445665396156,14.9845916795069,16.5899285610811
1980,1860.0,3.0,64980820835.3226,,28.4558654009369,37.1272291513074,74.3084215619957,34.4556677890011,15.1071791402867,24.6300712624827
1979,1670.0,2.6,66567975206.6116,,23.4691438875939,30.9175670181167,69.5234784551924,38.1325867736018,14.7335880492506,18.5324550416295
1978,1270.0,2.3806545,51700619834.7107,,24.913380036846,29.2497732095544,69.3327365514265,34.5324919774129,13.6713676562856,21.9700858728198
1977,960.0,2.3,38265082644.6281,,26.0260362953084,27.9136947025696,71.5404178118065,30.6307133253781,13.6876832448718,14.4443209691989
1976,800.0,2.5,29779338842.9752,,25.5571281880498,28.3906419115811,74.9590653012517,27.5559903421863,14.6254821968751,21.2940262803072
1975,650.0,1.6,21704752066.1157,,22.6899315570532,31.3761887083417,80.0030461394942,28.9592674034517,13.8884922561423,23.5961462277149
1974,550.0,2.1321984,19482038222.8595,,22.2591657254534,33.3519460906864,78.3423647508217,32.5334077843627,12.3986345004378,30.5672983195694
1973,430.0,2.5,13841885920.8676,,23.9430488800218,27.6902149269974,77.518817448082,25.8728575315136,11.3358120975787,12.7176834408593
1972,340.0,2.7,10842220468.8335,,16.6134560307996,21.4634489882154,83.175266444434,21.4047607868914,15.5171604300671,15.793020616857
1971,310.0,2.9,9889961111.91128,,12.6845891707686,23.0361459819998,85.5998601928174,25.5585005679667,,11.2184517219083
1970,280.0,2.6,8999227202.47295,,11.4462573350508,21.1356805495921,83.6911406898526,26.338199513382,,14.8690827652762
1969,240.0,,7675943920.04442,,10.6139518061395,22.4580677245807,82.1646548216465,29.9430353994304,,14.110539311261
1968,190.0,,6117115488.88487,,10.1459552088873,22.6431483779472,85.61957099805,27.1057141168824,,13.8442121521682
1967,150.0,,4854724234.80704,,9.11520596969466,19.6840021320338,89.0489606335186,22.2058935505977,,12.9159275464164
1966,140.0,,3928281860.39655,,8.44356881508584,18.2202833286425,88.2878318791632,21.6999718547706,,14.4997738365183
1965,130.0,,3120495495.4955,,7.12979670395766,14.331769517623,92.4082761939132,14.7636232407073,,4.86543837511002
1964,130.0,,3458565256.57027,,4.96349378042185,12.3810167658194,90.9910762574364,15.413737155219,,30.3151546123914
1963,120.0,,3988476878.75723,,3.94599807135969,14.655737704918,91.1282545805207,18.7868852459016,,29.8137769107496
1962,120.0,,2813856976.37299,,3.87370147621651,15.5986878075451,96.7003827227993,14.0759978130126,,16.7636406987648
1961,,,2417638423.22215,,4.04043752071594,13.9608882996354,97.1295989393437,12.6947298641034,,12.9996931392881
1960,,,3957240260.5632,,2.62209767814251,11.9815852682146,99.3955164131305,10.5204163330665,,
