date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4220.0,,7938990793.20113,,26.4320992555211,55.5775847829135,99.6742003650657,29.4755522410117,,1.01332074003643
2017,3870.0,,7227700022.53775,,26.6500942256154,52.5330997974543,97.5122473031455,28.3698072034926,,1.37861016833234
2016,3880.0,,6714726769.9115,,23.6980761313669,50.9150323890181,100.031086735947,27.1823605260726,,0.442497710639842
2015,3980.0,,6440067649.99446,,21.9372830315917,50.3925514839051,100.886704325755,27.5752973690931,,0.198610696910478
2014,3990.0,,7386883375.34828,,22.5020449056613,51.2187350359066,102.943981619019,25.771020139402,,3.25947896470078
2013,3950.0,,7071982209.24057,,21.9294910822385,49.6656695985463,100.12170952032,27.6141498440755,,1.79172109576724
2012,3780.0,,6499759732.75087,,23.2566736176413,53.8985518791847,101.682960834496,28.9616255989854,,2.2012499286179
2011,3630.0,,6692431192.66055,,23.6305271433274,57.9993706557331,100.454145623617,33.9056627483236,,4.78594079025143
2010,3420.0,,5830415894.03973,,19.9456424450541,55.5002267169836,102.601929502377,32.9534725863274,,4.70219806988015
2009,3250.0,,5653823284.24562,,17.0752959365759,51.950770857834,103.734450030003,31.1429415311791,,1.17321054592058
2008,3000.0,,5687361945.21752,,15.6821355519602,54.2680699975945,107.457011271873,31.1299018585224,,11.2064051398602
2007,2690.0,,4655899260.88147,,16.0836077140169,52.6075964252117,107.614063969897,28.9099247412982,,3.40111225122426
2006,2470.0,,3846819721.4904,,14.3984606855167,51.707269347422,108.658643968301,28.6501646936047,,-0.384544324420673
2005,2270.0,,3663101604.27807,,11.2985910711254,48.202342556442,109.933797317943,26.969954167374,,-2.89430051396354
2004,1940.0,,3556757428.82009,,10.8365085468592,45.866396336561,108.008529380921,27.0213584087811,,12.9792963153379
2003,,,2790455727.69422,,5.61274112497974,49.3880693791538,114.848435727022,28.9268925271519,,-8.62006893529839
2002,,,2406270658.23024,,5.7182103610675,46.4481946624804,113.528257456829,27.201726844584,,-9.35153012968435
2001,,,2535333631.88536,,,,,,,11.4009336191695
2000,,,1849196082.05507,,,,,,,
1999,,,,,,,,,,
1998,,,,,,,,,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
