date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,34290.0,,140645364238.411,,56.7205573173804,43.7670247605056,61.8398159854408,25.2057097250376,,14.590226002431
2017,31660.0,3.19,120707550280.251,,51.1955553855987,46.6449607490727,67.7164537046648,27.7307664993199,,16.2311443937706
2016,36880.0,3.19,109420059582.92,,47.6315805395725,48.5270361025902,70.9342989732513,29.9587364395961,,-6.83791339119489
2015,42530.0,3.19,114567298105.683,,53.7662480818489,44.9333252111054,65.7410227625438,25.4280849236946,51.9996635077002,-25.9583905440586
2014,50750.0,3.19,162631763879.129,,68.5059954628929,31.5307334989738,46.7358755536351,16.2901587987469,40.4947607216161,-6.75813726695831
2013,53050.0,3.19,174161495063.47,,70.861391069845,26.7451136009329,41.5318613060362,14.351456302817,33.5295856430772,0.223535798420983
2012,50650.0,3.19,174070025008.932,,74.7318470840808,26.2796014958274,38.7127428564392,12.8350115553074,34.7213385274064,7.48670294873726
2011,43840.0,3.19,154027536231.884,,73.2176629437612,25.8988135003152,39.1330836759849,13.5480668805691,39.4809887183733,17.2277817455831
2010,42160.0,3.19,115419050942.08,,66.6735189288705,30.3545138773425,46.0224129435202,17.6585820049518,42.1716431220922,11.1033505813839
2009,45300.0,3.19,105963168867.269,,59.4336343544442,29.3774306307015,51.9779513513159,17.9658449249415,36.2569762790118,-17.1665374455073
2008,51710.0,3.19,147395089285.714,,66.7595495181702,25.9239067335019,41.5345357624218,17.6298214529099,45.5277411799151,18.6629427337913
2007,47580.0,3.19,114639690358.902,,63.4150383970829,28.3174649945059,44.4457744792914,20.4566521181317,29.253604905987,4.30736220673592
2006,41480.0,3.19,101548931771.192,,65.5457337246984,24.1673594733538,42.4639033577088,16.1577223909466,34.5543697721373,16.1763628454097
2005,34560.0,4.02,80798630136.9863,,63.9760608989031,28.2666191953614,47.8633674109489,16.4267670345693,28.5124527406202,21.7710117887694
2004,28100.0,4.68,59439090600.6108,,56.9171133832286,32.3805282958548,57.2779119354673,18.1855029771589,35.2749090867572,11.3712679311342
2003,22600.0,5.5,47876510067.1141,,52.0915105977347,34.463664909723,65.7395985196815,16.6325557923068,37.7859706179208,4.92065019374949
2002,18930.0,5.37,38137545245.1464,,44.6160483175151,36.6091458153581,74.8654012079379,17.1276962899051,41.4150129421915,5.14828982462736
2001,18670.0,5.27858145,34887512226.9319,,51.3084112149533,35.5420560747664,69.9289719626168,14.3046728971963,43.5046728971963,-7.71871077505769
2000,17980.0,5.18716290000001,37712842242.5033,,56.4721744466436,30.1461500566105,63.0087378892509,10.665237720716,,20.5217100446395
1999,16870.0,5.09574435,30123850197.1091,,45.9338909669891,39.4342235841958,78.9447855436928,14.5555470735139,,18.0893577945986
1998,19680.0,5.0043258,25939960629.9213,,43.8626446594574,51.0971985075571,88.783911971163,18.451906659078,46.5060393347246,-17.156112759733
1997,21480.0,4.8,30355093966.3699,,52.8528137117534,39.5907328358695,73.0989388162968,13.6389803078193,38.178717672999,-4.71535483607218
1996,20870.0,5.0,31493319973.2799,,52.284947662025,39.1871970813757,71.7968841140724,15.1043047586726,41.774930799334,15.5102376025504
1995,20520.0,5.1617141,27191353887.3995,,52.354601363093,41.9650229852475,74.8517975326292,14.7586240895254,46.4141781387495,4.85050598306557
1994,,7.412716,24848483838.3838,,50.8536592487937,42.3306250269902,75.3184285359795,16.1517621741909,52.1680238008682,-5.8704761342894
1993,,7.412716,23941391390.7285,,47.7711852130289,44.2858499844861,79.3286563675461,17.1915420607294,55.1567692860111,-7.38642044487035
