date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,2450.0,,17953786416.1431,,,,,,,1.91988919391754
2017,2240.0,2.61316365817389,16853087485.4118,,,,,,,1.85209676121123
2016,2120.0,2.61316365817389,15805692545.8723,,33.2094274563541,41.8824634642904,79.6654743367446,29.0076540958702,,3.02230644256341
2015,1970.0,2.61316365817389,14390442307.3996,,33.9522573081909,51.8460643955753,86.3368007818204,31.5566516038959,,2.34849600622449
2014,1820.0,2.61316365817389,13268458231.9284,,40.754546651049,58.3051916415507,87.749293590336,29.8013514001657,,5.72655918157636
2013,1610.0,2.91900451723894,11942230508.334,,38.1731033982191,60.0060432178517,91.1856177823157,30.6473220372104,,6.4739720842641
2012,1370.0,1.40717342520497,10191350119.6808,,37.8767283496857,60.3083980809452,89.9274144542809,32.5042552768561,,7.52885930522015
2011,1140.0,1.48941622584832,8749241114.18913,,40.3431560969975,51.3555397703361,77.3676184364534,28.0678025250438,,10.4687175987471
2010,1000.0,1.49069026326608,7127792629.58294,,35.3840260381756,49.336311853544,86.4897980747605,27.462487740438,,9.1965711123669
2009,890.0,1.2753065053152,5832915387.08908,,30.0830696753683,46.8477565446,82.8262163169551,33.9384705522766,,-2.93207353275139
2008,750.0,1.2189798789864,5443915120.50795,,33.1540804741768,48.6951016193628,83.8590353520428,31.6819857931432,,8.86345063816474
2007,620.0,1.16265325265759,4222962987.53859,,33.6143130828615,45.5983158195863,79.67175970368,32.3122430332914,,7.43828600553339
2006,510.0,1.10632662632879,3452882514.00166,,38.1550775230179,43.8062978935092,75.5816793312798,30.0695410392115,,10.8051012263569
2005,460.0,1.05,2735558726.25625,,28.963735722106,42.8289105532977,79.8070880280654,34.0580868031263,,8.64032247874866
2004,390.0,1.46,2366398119.8821,,24.9121225649626,41.1676290567935,84.5012629821655,31.7542435096654,,10.6904285434965
2003,340.0,1.31999999999999,2023324407.30316,,23.5004331625579,37.0716627196607,85.7997079318449,27.7715216252579,,13.4500898416467
2002,320.0,1.18,1758176653.07746,,28.7525146642775,38.5023881880757,80.7094503429723,29.0404231808259,,6.31846474292817
2001,310.0,1.09,1768619058.34647,,27.8731588735049,38.0262780063432,96.6095119604122,13.5436071724261,,8.86807380202255
2000,280.0,0.9,1731198022.45494,,30.6620036018333,38.1752977665039,94.0976362088922,13.4156579557784,,24.7977766079289
1999,290.0,1.13351924999998,1454430642.49183,,35.8758415231056,44.1826146400573,,,,127.973966400029
1998,310.0,1.3670385,1280177838.71905,,36.4558727549249,47.8136677544263,,,,84.5044589019288
1997,370.0,1.9,1747011857.33107,,23.8922247910231,41.2647459749228,,,,19.3528167255882
1996,380.0,2.1,1873671550.34636,,22.6987496249058,41.0584239850731,,,,13.7252122589843
1995,350.0,1.9,1763536304.53964,,23.2203889147564,37.3340772257383,,,,19.6853644158581
1994,310.0,1.9120509,1543606345.11684,,24.9869407176856,39.8223292795684,,,,7.70059551089359
1993,280.0,1.9120509,1327748654.65969,,21.4616192640886,31.1671927481217,,,,11.1825793432063
1992,250.0,1.8,1127806944.61513,,17.0257554269191,27.105003187253,,,,5.99384147719309
1991,210.0,1.8,1028087972.31085,,12.9537264801421,25.2285951637255,,,,12.9717603919981
1990,190.0,1.8,865559856.1639,,11.3287632936327,24.5184451833458,,,,37.9073807662378
1989,210.0,1.8,714046821.093797,,12.1306752107447,31.9961567937267,,,,55.2665211229078
1988,250.0,1.8,598961269.297879,,13.6286198061927,31.8994868284183,104.770011693667,13.5008518362251,,25.8491486619648
1987,430.0,1.8,1087273103.69639,,6.09243684359774,14.0231085215612,97.7415981578753,10.1890751482395,,14.4277167032567
1986,550.0,1.8,1776842041.05263,,3.61374402869573,7.70142178304901,97.1564052289933,6.93127969360667,,51.115458740141
1985,,1.8,2366666615.55556,,4.03755905433226,9.76525842685535,98.685449361282,7.04225395490314,,64.8146877841871
1984,,1.8,1757142805.71429,,2.76422772318065,6.34146360023796,97.3983739075947,6.17886196946263,,
1983,,1.8,,,,,,,,
1982,,1.8,,,,,,,,
1981,,1.8,,,,,,,,
1980,,1.8,,,,,,,,
1979,,1.8,,,,,,,,
1978,,1.8,,,,,,,,
1977,,1.8,,,,,,,,
1976,,1.8,,,,,,,,
1975,,1.8,,,,,,,,
1974,,1.8,,,,,,,,
1973,,1.8,,,,,,,,
1972,,1.8,,,,,,,,
1971,,1.8,,,,,,,,
1970,,1.8,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
