date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,8630.39332258484,,5559757932431.6,,22.5449207027537,23.6400333154496,,19.0575249809017,28.6539731894229,3.02543262008869
2017,8306.63977230577,5.20697046368775,5736979458482.13,,20.8899317663561,21.7262844611345,,18.7626390141957,27.9099720663178,4.11125529942539
2016,8452.06157791671,5.19056201716039,5158626846011.5,,20.6924449734431,21.8485406331671,,18.9685993342969,28.7824261489925,3.67806814426039
2015,9192.05887795668,5.20445255086566,5293088818763.45,,20.2758344527267,22.4134902157102,,20.1352102835198,28.9191411591189,2.76032767179638
2014,10042.0175133995,5.17407027171074,6200701563229.59,,19.5029333773358,22.6653877587703,,21.5162339731777,26.8670290662296,3.02345557297883
2013,10168.5236626157,4.99975516888794,6082260242719.6,,20.4579135497974,22.7166400529702,,22.3353640246148,26.5951196011329,3.46620070092409
2012,9768.49706277199,5.05387001988157,5935113719876.03,,21.299626504873,22.4197968333134,,22.4272192908952,26.0726174680092,4.21089999214375
2011,8825.87350046258,5.0103117169056,5878332685326.45,,21.6848994576101,21.8206642779243,,22.2945089226553,26.1795729088419,5.95027779507774
2010,7994.11380192604,4.99693692385338,5152595384307.39,,20.6619654198376,20.6654411331332,,21.8502203838665,25.9777362890635,5.29265385270833
2009,7189.25694523289,5.02602406016013,4123861323736.36,,19.1995222255918,19.5663806406264,,20.4445351716956,24.0955668366796,3.84513334107528
2008,7018.56734588233,4.63574305873254,4402255123320.29,,22.3425263934716,22.7802764784437,,23.1107078793222,24.4144312494322,8.36791032908591
2007,6069.01702391202,4.33131219421595,3768884274755.58,,22.3594508154705,21.4500265543651,,21.9791653950053,,7.25467338332171
2006,5183.78263277611,4.29102522173734,3182621789333.42,,23.1663004450618,20.7551370088729,,20.5139043276819,,6.70775943586368
2005,4485.8967381996,4.21113685091522,2706516592412.75,,24.0694892209673,21.2561503040943,,19.593608991408,,6.41803757954364
2004,3995.64756105883,4.01774401180171,2223087947943.74,,23.9056379189916,20.9847167516013,,19.3098867808837,,7.51754708406541
2003,3691.84333882953,4.20787367895252,1919603134568.28,,22.0520644374691,19.5528883990385,,17.9756761709702,23.2822429225414,5.54540898041615
2002,3715.37909212784,4.03719765245543,1882102202126.9,,20.764613072919,19.135346108596,,18.3346681801962,,4.26200645505258
2001,3979.8780331981,4.06096168810746,2116177463522.44,,17.9295731591662,19.5691015523002,,19.7444323215011,,4.38130812844079
2000,4107.18866186842,3.94928204565652,2174345829486.39,,18.1960395930932,19.1680883458494,,20.2580146873633,18.1190279895171,5.40073652761569
1999,4023.51941658852,3.74273317520972,1968086400056.61,,17.0244112258736,18.3584615858879,,19.6270509483658,18.3199457093721,4.06866810744824
1998,4240.84485305254,3.99213562652069,2199438672257.33,,15.5432709597349,18.494438862921,,21.5937633939615,17.7232088794273,5.14772597024628
1997,4258.18083250788,4.03333870971912,2186084791601.51,,16.2371034561771,17.9842555981945,,20.8758318194196,17.7956911072853,5.30986739271972
1996,3961.70743822821,3.97574533092221,1992896686727.12,,16.900659601035,17.3088509280102,,19.4303163492715,,7.7375744962914
1995,3654.65890015057,3.73162222443402,1833465602439.58,,16.1011798669726,16.9614515349012,,19.6143332715185,,11.2518565554546
1994,3431.72186273872,3.84903812799188,1719706760223.6,,14.5902025796665,15.9819698284681,,22.559342221635,22.5145137737917,12.9205864467701
1993,3200.79574783912,4.46763769230947,1504656051861.09,,14.2392481805679,15.6228478386928,,21.4919195859342,24.5878637557372,10.6429372338128
