date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,16510.0,,34409229177.9105,,61.3040259640911,61.4891823719436,76.6851874530677,23.4999689547848,,3.97676162594391
2017,14710.0,4.5285167416953,30198231776.3706,,62.1263517837431,61.9703055840373,77.9278309555851,21.9161228447091,43.0157024891232,2.98059379963252
2016,14600.0,4.5285167416953,27734140217.3664,,60.401556485662,59.4192226370126,78.2296373532628,20.7880287980877,42.5395401614281,0.85846588403848
2015,15010.0,4.5285167416953,27090019662.7977,,60.7200683502335,61.6288228437622,78.2967456876514,22.6120047118723,43.3960611267708,0.00222370976850073
2014,15300.0,4.35037391261306,31382780146.4181,,61.2021916139423,63.2380824587094,78.8033744246151,23.232516420152,44.1538434499157,1.78329014938781
2013,14890.0,6.11707023413241,30276485435.7497,,60.2606199452678,63.8079318728626,79.4928152696313,24.0544966579636,43.6337167742326,1.63771670832742
2012,13810.0,5.81350160099956,28170812351.7896,,61.1988791143765,65.6376967414108,78.2376577998531,26.2011598271812,44.1081938547645,3.61925477030422
2011,13110.0,4.33142617367173,28246551197.1364,,57.7696038324145,62.7434206041988,79.5932045904129,25.3806121813714,47.4506713186589,6.40387885921361
2010,12580.0,4.38167954905217,23796118300.8371,,53.5699534578098,55.0419073398386,81.4974548813809,19.974487869215,55.3933561389167,-0.404400309513321
2009,14040.0,4.5446277314099,26250900750.6255,,42.4713440337353,44.0870000992327,79.5157696906809,22.099891670053,51.9027486986297,-9.72989880514285
2008,13440.0,4.60925851513732,35657998830.5803,,39.4735930521554,52.367873638523,77.70369789466,35.1905826917077,42.1759969623066,11.7252890427402
2007,11160.0,4.06077481238223,30897981124.3332,,38.4552319275218,57.4783946215045,77.5740505085678,41.4491121854149,36.0256406700896,20.1254224683739
2006,8880.0,4.22808531092637,21436812139.4532,,39.9923153037427,60.67418701401,81.6254735512715,39.0563981589958,38.9724233949261,12.444787546476
2005,7350.0,4.38523724111666,16909366521.4686,,43.2089423491073,57.7027670344093,79.4702398143593,35.0235848709427,39.224684499211,11.1798415734485
2004,5810.0,4.54238917130701,14355307662.287,,39.1302523578547,54.7003627120257,82.6280287360358,32.942090680272,39.486424605224,6.77512095264564
2003,4660.0,4.64122925171082,11731703357.5206,,36.1702132120522,48.7314142878828,82.4128256823951,30.1483753934355,39.4634695530864,4.94317949237322
2002,3920.0,4.84309384754796,9529948840.38199,,36.6434147728201,46.7993901134775,82.1955222895964,27.960453051061,41.7414724311406,5.09526441536605
2001,3590.0,5.06366291449753,8334748153.1229,,38.1268109752757,48.5281075180789,82.4470768159711,27.9542197268321,41.9383571684722,2.28525016313297
2000,3310.0,4.98613337933958,7934206257.24218,,36.8991357076303,44.8903934735557,83.4565706958444,24.5346724656138,45.5143510678427,3.59261670483177
1999,2980.0,5.39186538129085,7518044679.3178,,35.1017265849608,44.930588971302,87.6424469336646,22.1864154526766,50.5167223979585,1.49805296373395
1998,2860.0,5.5734781,7145882282.85476,,39.3484227447291,51.4635753098062,86.4360531878159,25.6790827037557,48.0136340554842,4.80915552039318
1997,2710.0,5.8,6508472054.19792,,39.8194911692646,48.8854910581102,88.007980813037,21.0580190758086,45.9682365888601,5.88444886338617
1996,,5.4,5952007401.73558,,40.5731312203942,49.6164552562579,90.0790374256565,18.9642866102072,44.4332964782961,12.4041516756555
1995,,6.1,5770516257.8437,,34.6739948683805,39.4313204751221,89.1055155270784,15.6518100796632,46.3726720501108,14.296902599053
1994,,6.1,,9.02152038159077,,,,,21.4500392290297,
1993,,6.0,,,,,,,,
1992,,4.4,,,,,,,,
1991,,3.8,,,,,,,,
1990,,3.4,,,,,,,,
1989,,3.0,,,,,,,,
1988,,3.2,,,,,,,,
1987,,3.2343713,,,,,,,,
1986,,3.2358109,,,,,,,,
1985,,3.2,,,,,,,,
1984,,3.200103,,,,,,,,
1983,,3.200103,,,,,,,,
1982,,3.200103,,,,,,,,
1981,,3.200103,,,,,,,,
1980,,3.2,,,,,,,,
1979,,3.1629555,,,,,,,,
1978,,3.1629555,,,,,,,,
1977,,3.1629555,,,,,,,,
1976,,3.1629555,,,,,,,,
1975,,3.1629555,,,,,,,,
1974,,3.1629555,,,,,,,,
1973,,3.1629555,,,,,,,,
1972,,3.1629555,,,,,,,,
1971,,3.1629555,,,,,,,,
1970,,3.1629555,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
