date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,7920.0,,56639155555.5556,,23.3398620280701,39.6092335810864,96.7672262568762,19.5021483298879,,5.86642827872788
2017,7500.0,2.1,53393799668.325,,23.8510733615656,48.6426386226571,104.970933817782,19.8206313052815,25.8054209087574,3.63323786312195
2016,7250.0,2.1,51239050082.9187,,25.2651311130757,46.7458562778896,100.556800014857,20.9239250537668,25.8007269513373,0.911477034582006
2015,7290.0,2.1,49973893200.6633,,27.3175679765875,46.8020589702532,98.3417071751587,21.1427840261112,22.8771363500142,3.04629965440772
2014,7500.0,2.1,48296099502.4876,,27.8499308561874,54.067386702702,102.250407891095,23.967048204848,25.8389549355003,1.14434168262567
2013,7610.0,2.1,46866579767.8275,,31.8236322114296,57.4457635285171,98.3999853578209,27.222145830182,26.6996949485862,3.25491108976408
2012,7590.0,1.79,44230727694.859,,34.4757199986226,60.1914104602877,101.649562968778,24.0661276380623,26.6695873779441,7.44534251965115
2011,7580.0,1.43,40075674295.1907,,36.9409149274625,64.1843421178365,100.457343431487,26.7860834296588,26.2991677817351,3.36187064381627
2010,7480.0,1.46,38419626533.9967,,35.7936408949496,60.2351414755936,99.2333130896838,25.2081876769141,25.8596754039494,0.237233530372663
2009,6880.0,1.58,35477299023.8806,,33.6987884001872,57.2047127251511,96.3830580877995,27.1228662371644,28.7222055243093,10.2936548065183
2008,6080.0,1.68,29227542759.602,,38.9718286017983,67.9831838715281,100.849745753945,28.1616095155582,30.4356220355471,7.55704623380144
2007,5420.0,2.33,24873482491.675,,37.6417351332983,60.8695354427958,98.7317876288729,24.4960126808913,31.5125582008454,3.17430388739966
2006,4860.0,2.58,22048664306.2023,,36.1385633807639,55.5656436050566,98.6743649771239,20.7527152468679,31.6750602387492,0.883364953193052
2005,4880.0,2.5,21489962079.602,,37.302227305286,56.3201698972953,95.8286871816473,23.1892554100534,26.853193361957,-1.08952996021964
2004,4720.0,2.61,21145518599.8673,,35.7253716522363,56.1042563489858,97.0913867890056,23.2874979077439,26.8643069125815,-0.94334080598648
2003,3790.0,2.595,20082918739.6352,,16.7365813377374,37.3542526837325,101.456647398844,19.1610239471511,30.4722658843931,1.58125248923484
2002,4200.0,2.58,19152238805.9701,,16.0986422831809,34.9438902743142,100.09697977279,18.748268218343,28.3520365752286,4.92118792108333
2001,4460.0,2.75,17649751243.7811,,15.604915999549,39.9518923591536,101.533431051979,22.8135453076258,29.0092832713196,-1.52515154667714
2000,4600.0,1.7,17260364842.4544,,14.1775557263643,35.9377401998463,101.348962336664,20.4112221368178,30.510760953113,-2.08798314703247
1999,4490.0,1.91120324999998,17391056369.2265,128.641269114899,14.0639896274263,36.750181138695,99.855089043969,22.8311024672997,28.0555237768371,0.812850465148912
1998,4250.0,2.1224065,17247179005.5219,106.957053807029,13.7634326360473,40.9537649623313,98.7877165474779,28.4026157788061,26.1786684003212,4.01791826580987
1997,4000.0,2.5237183,15751867489.4446,96.9088659793814,14.5319587628866,47.5546391752577,103.80618556701,29.2164948453608,,11.546767212924
1996,3720.0,2.0,13690217333.2697,,12.8463200010129,55.2502927585402,107.611474080582,34.7924986769454,,1.73810973323754
1995,3160.0,2.1,11718795528.4939,,10.80645487609,62.3289321176972,115.067393599751,36.4550836423829,,10.6790055720145
1994,2610.0,1.9981072,9599127049.9375,,7.87060873524118,62.4015067393068,117.878104622006,36.6527933820597,,7.87371705849506
1993,2220.0,1.8770492,7941744492.1211,,9.17439885747137,67.1766758606095,126.965881000414,31.0363960027241,,24.7430178136949
1992,1920.0,1.8770492,5843579160.90122,,10.8507051639318,71.9935512831162,131.869507736534,29.2733383826505,,97.4338199039262
1991,1700.0,1.8770492,4690415092.53663,,12.528835709228,79.9258362974654,119.29665976357,29.2733383817258,,47.6556598611219
1990,1310.0,1.8770492,2838485353.96187,,17.9927860454404,99.9130219813576,135.727228800409,31.3126909638969,,15.5018483856217
1989,,1.8770492,2717998687.71002,,18.3492456071486,91.5758430410546,,,,72.9964555194707
1988,,1.8770492,3313540067.93246,,,,,,,
1987,,1.8770492,,,,,,,,
1986,,1.8770492,,,,,,,,
1985,,1.8770492,,,,,,,,
1984,,1.8770492,,,,,,,,
1983,,1.8770492,,,,,,,,
1982,,1.8770492,,,,,,,,
1981,,1.8770492,,,,,,,,
1980,,1.8770492,,,,,,,,
1979,,1.8770492,,,,,,,,
1978,,1.8770492,,,,,,,,
1977,,1.8770492,,,,,,,,
1976,,1.8770492,,,,,,,,
1975,,1.8770492,,,,,,,,
1974,,1.8770492,,,,,,,,
1973,,1.8770492,,,,,,,,
1972,,1.8770492,,,,,,,,
1971,,1.8770492,,,,,,,,
1970,,1.8770492,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
