date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1390.0,,2738786277.79392,,43.8302387043622,84.1773440046277,118.303163128112,22.0439421721536,,4.39319087638279
2017,1250.0,9.73,2565352373.26551,,41.151950442177,84.101131528341,116.390279285991,24.332630081474,35.2370782782534,3.3276181126795
2016,1320.0,9.73,2314323471.3948,,41.8241091419502,82.7129248913983,110.043668918515,28.0188006643737,37.0776820199865,2.98536164165068
2015,1350.0,9.73,2289799039.79675,,40.3214860949706,81.6275702592184,109.291690359609,28.7290945003398,35.9523555655787,9.88151112875137
2014,1450.0,9.73,2608269551.8008,,35.6179281537148,82.2932704956196,116.151747223312,31.426849808886,35.7789001704615,12.8690006942122
2013,1560.0,9.73,2533992455.33308,,35.7306809090119,88.8518427160443,123.496643262417,29.5883432170463,39.8957097869208,8.85495503517049
2012,1610.0,9.73,2677545056.01559,,38.6764273765804,100.321091333909,126.029795976844,32.0422575950518,37.0652173913043,2.43216576221018
2011,1440.0,9.73,2792049477.26553,,44.0883184432042,94.2999198322644,122.864054102883,22.634289097188,37.6891958559447,8.45306772551399
2010,1300.0,9.73,2394600945.38102,,39.314206644369,100.768446824367,128.520537963514,28.3095316065723,39.7016202647193,9.60719982732716
2009,1230.0,9.73,1773199523.2307,,43.9476854667548,112.05179243626,138.10598736521,29.1600616996605,51.2287035569415,1.2464608260162
2008,1310.0,9.73,1758534994.91599,,53.1704352759542,108.723301775468,130.811273262972,27.3920644327901,46.7110579577605,12.5587906587818
2007,1300.0,9.49999999999998,1716262753.00196,,52.1895534855909,109.57629683215,135.574664513619,23.7709479058694,40.6351182560921,-5.374387153798
2006,1130.0,9.27,1800105589.60349,,,,,,36.4291477482718,9.31098887299477
2005,1020.0,8.68,1682350934.85132,,,,,,33.4334267323825,5.92284294105743
2004,810.0,7.89,1511236655.52047,,,,,,32.2116887649573,9.60039252467769
2003,670.0,8.68,1157832934.55127,,,,,,33.9309940923832,2.43881317211985
2002,590.0,6.58,775780697.676625,,,,,,34.5229646631857,14.206932562727
2001,640.0,7.48,825706961.238689,,,,,,33.5705130432795,11.4730545363684
2000,580.0,7.19,887295267.875155,,,,,,33.8081330632239,6.30021821255855
1999,610.0,7.94,912771290.61298,,,,,,34.5891630169063,8.13125252957954
1998,620.0,7.5370954,928458205.958432,,,,,,39.5241854052046,9.92223397427271
1997,690.0,7.1,997996028.645833,,,,,,32.7934458348248,9.01894074585515
1996,700.0,6.3661148,946123275.88212,,,,,,29.9502068794802,6.00204436271517
1995,690.0,6.2,1001889856.91048,,,,,,32.4697312382568,12.8165184306103
1994,680.0,5.5,878250450.602681,,,,,,32.8393003839003,7.76663660903034
1993,660.0,5.0,835592802.276831,,,,,,28.3520936553481,11.2979735142412
1992,650.0,5.1488553,831033941.093969,,,,,,29.989809615913,13.9389902069575
1991,580.0,4.2198181,704329192.771521,,,,,,29.3815279416424,17.8272222399905
1990,550.0,4.2198181,596415104.549144,,,,,,,11.993903907434
1989,520.0,3.5,495404888.092424,,,,,,34.5481838506074,14.8392839100302
1988,500.0,3.1,470389179.678909,,,,,,37.0298265486898,20.0811009247052
1987,420.0,3.0144618,402774852.652259,,,,,,38.9836175763027,11.7357835167118
1986,390.0,4.3,318862888.402626,,,,,,,16.2532723481419
1985,410.0,3.1,268626912.549917,,,,,,,18.7077794754593
1984,490.0,3.2,333158476.24212,,,,,,,8.10294997720608
