date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,610.0,,3264000000.0,,26.0110294117647,94.3321078431372,155.406761642157,12.9289215686274,,-1.8529281095025
2017,620.0,3.66,3285455000.0,,24.2841919916724,98.7056891663407,153.935351420123,20.4861457545454,,-2.18201458518479
2016,620.0,3.66,3277826000.0,,21.4166340739258,100.259806347256,158.759128764004,20.084043509326,,4.85079960775624
2015,630.0,3.66,3177000000.0,,19.4690273843248,106.548662259994,166.922310355681,20.1573245199874,,1.04961832061068
2014,630.0,3.66,3144000000.0,,28.432191475827,108.536513994911,160.61102735369,19.4932951653944,,1.79685422849762
2013,630.0,3.66,3067000000.0,,34.5794913596348,96.4135637430714,142.379667427454,19.454404955983,16.4848865079883,3.69064999023401
2012,560.0,3.66,2721000000.0,20.8452774715178,32.9127048879089,89.2538037486218,136.886762219772,19.4543366409408,16.0311169423006,5.07042207619877
2011,520.0,3.66,2398000000.0,21.7306088407006,21.8072977481234,94.4603419516264,153.198532110092,19.4545120934112,13.4448563803169,10.92344780349
2010,460.0,3.66,1998000000.0,,19.139009009009,92.6347847847848,154.041146146146,19.4546346346346,13.5682035835836,6.51200131786641
2009,430.0,3.66,1768000000.0,,15.2646832579186,94.9470022624434,160.22770361991,19.4546153846154,,-2.72284210101884
2008,390.0,3.66,1726000000.0,,34.3924971031286,144.728505214368,190.834571263036,19.5014368482039,10.4266202201622,17.3263478837733
2007,330.0,3.69,1373000000.0,,74.963146394756,236.390968681719,241.973940276766,19.4538820101967,7.67543219227968,12.0176425303328
2006,290.0,3.72,1119000000.0,,82.4462377122431,194.692314566577,192.791724754245,19.4543342269884,5.60988623771224,9.13488539177878
2005,250.0,3.75000000000001,949000000.0,,59.0909062170706,211.272708113804,232.727239199157,19.4545416227608,6.93898912012645,0.490010864914652
2004,210.0,3.78000000000001,897000000.0,,67.6216610925307,222.877591973244,233.979353400223,21.2765997770346,7.34124935897436,16.8582772245002
2003,180.0,3.81,748000000.0,,36.0576871657754,35.8629812834225,76.0072192513369,23.7980748663102,,15.5114913646591
2002,250.0,3.84000000000001,927000000.0,,42.3572707659115,30.7790075512406,62.3167529665588,26.1031283710895,,-1.39272884586131
2001,,3.87000000000001,906000000.0,,33.973123620309,31.4184216335541,71.3416445916115,26.103642384106,,0.720027494074643
2000,,3.9,874000000.0,,31.3764073226545,38.9369794050343,100.060491990847,7.50009153318078,,
1999,,3.93000000000001,,,,,,,,
1998,,3.96000000000001,,,,,,,,
1997,,3.99,,,,,,,,
1996,,4.02,,,,,,,,
1995,,4.05000000000001,,,,,,,,
1994,,4.08000000000001,,,,,,,,
1993,,4.11,,,,,,,,
1992,,4.14000000000001,,,,,,,,
1991,,4.17000000000001,,,,,,,,
1990,,4.2,,,,,,,,
1989,,4.23000000000001,,,,,,,,
1988,,4.26000000000001,,,,,,,,
1987,,4.29,,,,,,,,
1986,,4.32,,,,,,,,
1985,,4.35000000000001,,,,,,,,
1984,,4.38000000000001,,,,,,,,
1983,,4.41,,,,,,,,
1982,,4.44000000000001,,,,,,,,
1981,,4.47000000000001,,,,,,,,
1980,,4.5,,,,,,,,
1979,,4.89999999999995,,,,,,,,
1978,,5.3,,,,,,,,
1977,,4.40000000000005,,,,,,,,
1976,,3.50000000000001,,,,,,,,
1975,,2.6,,,,,,,,
1974,,1.9231623,,,,,,,,
1973,,1.9231623,,,,,,,,
1972,,1.9231623,,,,,,,,
1971,,1.9231623,,,,,,,,
1970,,1.9231623,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
