date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,3.06221615634014,,,,,,,,
2016,,3.06221615634014,6214633651.30911,,,,,,,
2015,,3.06221615634014,6268391521.19701,,,,,,,
2014,,3.06221615634014,6657170923.37918,,,,,,,
2013,,3.06221615634014,6391735893.83968,,,,,,,
2012,,3.06221615634014,5456009384.66461,,,,,,,
2011,,3.06221615634014,5739977477.47748,,,,,,,
2010,,2.80073539262835,5082366478.08994,,,,,,,
2009,116430.0,2.5392546289166,4504549214.22663,,,,,,,-9.90066362771539
2008,121890.0,2.27777386520479,5081432924.0144,,,,,,,-2.11669208018441
2007,112190.0,2.14538450643097,4601299566.81106,,,,,,,6.58173838015055
2006,104070.0,2.3494108165292,4000239272.61126,,,,,,,1.31488047567245
2005,92730.0,2.3494108165292,3659251525.8593,,,,,,,1.19056963232799
2004,78680.0,2.3494108165292,3454362685.96703,,,,,,,0.810167292914116
2003,68450.0,2.3494108165292,3070691319.52179,,,,,,,0.632557217387017
2002,65060.0,2.3494108165292,2688630822.53304,,,,,,,0.650820775826546
2001,68240.0,2.3494108165292,2491822706.80256,,,,,,,0.985854942198955
2000,78870.0,2.3494108165292,2483953102.79488,,,,,,,1.55252397727983
1999,78650.0,2.3494108165292,2664026095.06058,,,,,,,0.819191905746422
1998,77640.0,2.3494108165292,2479721340.8746,,,,,,,0.014630340768889
1997,80150.0,2.3494108165292,2298410390.68421,,,,,,,0.514706113826065
1996,78590.0,2.3494108165292,2504033252.42718,,,,,,,0.815421359319444
1995,70060.0,2.3494108165292,2428461395.34884,,,,,,,1.795951980531
1994,61990.0,2.3494108165292,1948118227.68151,,,,,,,0.852359088151573
1993,56710.0,2.3494108165292,1673104493.77369,,,,,,,3.3018855063381
1992,54350.0,2.3494108165292,1631197909.259,,,,,,,4.02355405590723
1991,47580.0,2.3494108165292,1484152022.3152,,,,,,,5.87013098647584
1990,45480.0,2.3494108165292,1421466239.56234,,,,,,,5.40244442570599
1989,43620.0,2.3494108165292,1120000916.92646,,,,,,,3.14382399483702
1988,41500.0,2.3494108165292,1161757671.01756,,,,,,,2.50531223017458
1987,31170.0,2.3494108165292,1052843347.63948,,,,,,,2.51954066278476
1986,22860.0,2.3494108165292,779365167.602424,,,,,,,3.69822485207084
1985,19730.0,2.3494108165292,529078995.563876,,,,,,,2.85520116183558
1984,19010.0,2.3494108165292,502617355.407073,,,,,,,2.95143693279358
1983,18770.0,2.3494108165292,524034109.856605,,,,,,,3.21765467766622
1982,20320.0,2.3494108165292,522090331.478107,,,,,,,7.17686349735378
1981,22610.0,2.3494108165292,511658690.561043,,,,,,,7.01270902527263
1980,22610.0,2.3494108165292,534701915.617354,,,,,,,2.23042759498091
1979,18510.0,2.3494108165292,503180669.994587,,,,,,,2.23044153544507
1978,14760.0,2.3494108165292,436918176.733781,,,,,,,2.23041631636956
1977,12370.0,2.3494108165292,303496276.263782,,,,,,,2.23043779993195
1976,11190.0,2.3494108165292,272493879.020643,,,,,,,2.2304251893362
1975,10150.0,2.3494108165292,246387479.177159,,,,,,,8.24369968761003
1974,8210.0,2.3494108165292,193983720.461869,,,,,,,8.24370704573636
1973,6500.0,2.3494108165292,165930611.729019,,,,,,,8.24371117800189
1972,5120.0,2.3494108165292,124941925.010473,,,,,,,8.24372585616101
1971,,2.3494108165292,104888628.171944,,,,,,,8.24370524449623
1970,,2.3494108165292,90098330.6654471,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
