date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,17430.0,,53429066429.1251,,75.6209017868972,73.6789110643871,78.2580608107299,19.79994846676,,3.31977875575407
2017,15240.0,5.26114021961825,47632961168.4141,,73.6057866057133,71.2221455107718,78.4558516773053,19.1605069911752,31.1087413045687,4.25194117227659
2016,14870.0,5.26114021961825,43021972484.8299,,67.5794281300519,66.7999637490955,80.0457265029696,19.1748093731872,32.5717739728955,1.61362173854387
2015,15170.0,5.26114021961825,41392396557.6337,,68.8216339729772,69.8193075781853,79.7826908535473,21.2149830196006,32.7219392455599,0.0913269037972952
2014,16040.0,5.26114021961825,48485169331.368,,72.3427034786249,70.5216748105058,78.6268417495581,19.5521295823229,32.6652527367369,0.918221818685311
2013,15300.0,5.26114021961825,46450990764.2532,,78.7912371631878,77.3386213496781,79.0676131159814,19.4797707846721,33.0735436364364,1.35365104395785
2012,14070.0,5.26114021961825,42826586829.8189,,78.4108732543267,77.7993402278497,79.6739601181261,19.7145068553969,33.9015203818916,2.77711045420136
2011,13290.0,5.26114021961825,43419061504.4429,,73.0757046948924,75.7680795729489,80.7679294147705,21.924445463286,39.5776296971255,5.37761981909664
2010,12560.0,5.26114021961825,37024718364.5516,,64.1219260013155,66.1302176804823,83.9037109160309,18.1045811208495,39.5935025863962,2.27287719920912
2009,12430.0,5.26114021961825,37440673477.8982,,51.9391992978012,53.6193827614333,89.3090135870777,12.3711698765544,41.7504620088335,-3.29513424570823
2008,12660.0,4.55025707003035,47850551148.8365,,57.1390059840933,68.7104110945753,83.6842492817287,27.8871558287533,34.4309427528297,9.70480695282421
2007,10620.0,4.23119482517316,39738180076.6283,,50.3583079476632,63.4831213558424,81.0155002664884,32.1093131416908,31.313621569646,8.56798765446476
2006,8820.0,4.4487850400583,30216060233.4044,,55.6202710803455,65.8839223517693,83.5383125032206,26.7253391834997,30.9381278557245,6.74398777846079
2005,7600.0,4.60121099529544,26125575942.2814,,53.8422373248175,61.0747016149454,83.1787780134419,24.053686276686,31.0318409360895,6.89836196046085
2004,6040.0,4.97383478875245,22649930576.2543,,47.3466812670995,54.3839288587549,84.3557596092815,22.6814879823739,31.3830441156855,2.68824540273197
2003,4700.0,5.00301681080666,18802576988.1557,,46.1697180688502,51.9562321337612,83.9854061117554,21.8011079531555,31.5269693534526,-0.807966349120932
2002,3830.0,5.7,14278357283.7419,,47.3421091874599,53.0177724004742,85.0427120028349,20.6329505523785,32.7314849258004,0.316685364242915
2001,3460.0,5.8,12252498921.0186,,44.0426403992527,49.5075402338367,86.4451422098105,19.0197576247735,34.2992788766369,-0.321999338204932
2000,3210.0,5.70373286666666,11539211480.3625,,38.5456565448549,44.728638195344,87.4241823482806,18.7588000502537,37.1266716892914,1.28047492299845
1999,2980.0,5.60746573333333,10972878636.1675,,32.4143337078931,42.3983356177615,88.6408863745421,21.3431155353264,37.6819138778384,-1.25930488292347
1998,2860.0,5.5111986,11240360897.7126,,39.1247641934895,50.5270440088423,87.0666347789892,24.33564426843,40.4808935762126,3.35039209650807
1997,2600.0,5.3,10120274492.8787,,44.9667460968798,55.042629272544,85.5014389725032,24.574444203161,49.0291306852464,11.4505653143562
1996,,4.6,8385109020.28485,,41.9404333192837,51.2339207733775,88.2363630254459,21.0571244286478,34.0035866034912,18.9818334175257
1995,,4.4,7870782260.51698,,37.1446156531344,47.7722821147617,87.8872810109598,22.7403867385761,32.6482359832699,
1994,,5.0,,,,,,,,
1993,,4.1,,,,,,,,
1992,,4.8,,,,,,,,
1991,,4.8,,,,,,,,
1990,,4.8,,,,,,,,
1989,,4.8,,,,,,,,
1988,,4.8,,,,,,,,
1987,,4.8,,,,,,,,
1986,,4.8,,,,,,,,
1985,,4.8,,,,,,,,
1984,,4.8,,,,,,,,
1983,,4.8,,,,,,,,
1982,,4.8,,,,,,,,
1981,,4.8,,,,,,,,
1980,,4.8,,,,,,,,
1979,,4.8,,,,,,,,
1978,,4.8,,,,,,,,
1977,,4.8,,,,,,,,
1976,,4.8,,,,,,,,
1975,,4.8,,,,,,,,
1974,,4.8,,,,,,,,
1973,,4.8,,,,,,,,
1972,,4.8,,,,,,,,
1971,,4.8,,,,,,,,
1970,,4.8,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
