date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,840.563490248674,,588230486530.751,,,,,,,2.89283690392579
2017,791.073747930102,3.10206270201585,542716057818.911,,20.434519647847,35.252100397081,,28.588412535828,,6.10788938823678
2016,783.368277596238,3.09971025723696,508651872173.688,,18.7042197584837,36.289338068965,,29.8148153093062,,4.97675624786604
2015,792.397635398519,3.08702826880925,520118496416.4,,20.1158367735308,36.2926753594124,,27.7421929700929,,4.94281445787085
2014,798.779460253122,3.2071160236431,528351111973.394,,22.155069383172,38.6211849618464,,29.4112987717377,,2.61590849357289
2013,756.378862626749,3.11195301315334,497213177949.395,,21.1987368590446,39.7795970806167,,28.4701022122558,,4.02502479117595
2012,696.773124512662,3.20032295775383,451250452445.657,,22.9784101432803,39.5782914052537,,27.4823205345799,,5.93999221220365
2011,643.716098669163,3.26384702639576,413140286975.88,,24.3985787700427,39.3957969100451,,26.9900329337593,,10.5986766783805
2010,625.873279771286,3.10676224617245,370611560267.823,,,,,22.5020613576514,,7.39352320632123
2009,580.388398187816,3.18990843058938,338445965485.108,,,,,20.9663278710877,,4.84438387275371
2008,520.724352134387,3.13504447979171,329703261846.519,,,,,20.872436314733,,11.7761761924798
2007,451.373943091793,2.9696421452509,269645198614.306,,26.673741317153,37.8919526426837,,21.3387895816921,,7.59032363331838
2006,404.773872064403,2.97649471250613,222957355041.626,,26.149013725454,37.5281498718913,,19.2059678779474,,7.85629470747158
2005,371.208603207935,2.96193316322297,197810020353.218,,26.1518956132307,36.8419557685119,,18.236517716496,,8.37921803867749
2004,334.407658977956,2.89936074622625,172519147207.473,,26.3811825014335,35.5142114122173,,17.434849419627,,10.8003852555982
2003,295.53170026956,2.79463517965471,149853115895.104,,23.9412698683349,33.0196875864185,,18.6349526013687,,9.38238846671624
2002,284.138250622709,2.66683426218544,137875626895.361,,22.7442065719705,33.5547118265524,,17.5266150244494,,3.55310687839649
2001,275.293828929323,2.6179475762045,129522750694.612,,22.267603900764,28.6286880378769,,17.2689634968977,,4.67836208273651
2000,269.014973606398,2.38191936450981,138196665502.507,,21.9595511193539,28.3980550674848,,16.477144937255,,8.98566001689598
1999,257.598011579817,2.43891685933421,115973882911.421,,21.3355603601763,28.6443759294523,,16.4905031203826,,7.2369150373584
1998,255.063899352402,2.3846764212345,114677571875.348,,21.1056828581084,28.6883926379562,,16.2834475867144,,7.34486243077374
1997,248.823817335049,2.53951141994045,107591853545.758,,22.7975811459273,30.3217683825108,,15.3310897155098,,5.79571922491227
1996,239.07230593764,2.60403610360843,102049017269.596,,23.2382860206251,33.4075795004467,,18.2909057137817,,10.4490029010799
1995,234.885294227538,2.60236836857569,89693612817.4534,,23.9761289626953,35.2721009959467,,18.004571403971,,15.4542179041384
1994,240.240965911605,2.65294003297004,78708396681.6912,,22.0488998813912,36.9255501674371,,18.4667987496962,,24.7373062107065
1993,275.178373532525,2.90927359589067,96078785294.3942,,,,,18.1109760321404,,11.4282142119789
1992,291.717719465311,2.97959013566012,96839664107.6329,,,,,17.6501637825453,,13.2764211472562
1991,298.372212013079,3.00459694699116,106837668648.434,,,,,14.9943297899674,,12.7145020277534
1990,299.626586998429,2.96340989016553,103231577086.502,,,,,15.2726770189391,,11.087127050161
1989,,2.54487841570611,94956993092.3512,,,,,,,11.6177246910272
1988,,2.69117086033124,97228121393.2951,,,,,,,9.70614941023595
1987,,2.93528104938454,,,,,,,,5.8229957260812
1986,,2.95728020232681,,,,,,,,9.55204213040481
1985,,3.17262840992917,,,,,,,,9.97375895356465
1984,,3.19148634155214,,,,,,,,11.5269242021571
1983,,3.20009406220718,,,,,,,,10.8174002740579
1982,,3.06683282492715,,,,,,,,10.1300419432229
1981,,3.03495904890588,,,,,,,,10.6282613565684
1980,,2.81583567231913,,,,,,,,14.5016530267491
1979,,2.88837282803751,,,,,,,,10.5969433764489
1978,,3.12850845115052,,,,,,,,9.37120691315145
1977,,2.98604735659329,,,,,,,,11.3724628206273
1976,,2.85234806478292,,,,,,,,10.0377075794195
1975,,2.44197766396243,,,,,,,,12.2654179764007
1974,,2.42379083673477,,,,,,,,14.5043139941198
1973,,2.51608623117448,,,,,,,,6.71359429875473
1972,,2.39990719578792,,,,,,,,4.64423708915463
1971,,2.40609042233826,,,,,,,,3.37747532516022
1970,,2.33262348182278,,,,,,,,4.76896332004582
1969,,,,,,,,,,4.35145391633034
1968,,,,,,,,,,3.16516905085401
1967,,,,,,,,,,0.141072430955759
1966,,,,,,,,,,4.96585286805213
1965,,,,,,,,,,5.11802717369912
1964,,,,,,,,,,1.96382174740617
1963,,,,,,,,,,4.68081250183499
1962,,,,,,,,,,1.12502829772102
1961,,,,,,,,,,2.45431232779377
1960,,,,,,,,,,
