date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,79110.0,,55084050789.7182,,82.7904539587016,33.2109943193318,33.2406795212587,17.1798608393716,,3.53180581005222
2017,72690.0,3.09478008856138,50751059058.0613,,79.9424542383534,33.3323513237489,33.9279401366957,19.4622024510959,15.0758293775974,2.14977016942426
2016,65290.0,3.09478008856138,45387299721.0792,,76.0871482269425,34.4748619363088,36.8012764690969,21.5864372402694,16.1937224184542,0.907906830543695
2015,64350.0,2.94471526294902,45361678146.5247,,77.9129959443753,38.7365997355147,35.6991604387474,25.1244433523921,15.2694407466629,4.50248938437328
2014,74210.0,2.082443250652,55347998647.8196,,84.9363223018979,31.6266654602212,27.0755762662022,19.6147668921212,11.2782352375664,8.63856024600447
2013,70560.0,2.08,51552075901.5183,,90.6379517560366,30.4029232879706,25.7079382807473,14.0567904531825,10.4676991492358,7.7261495930366
2012,61240.0,1.96,43031577366.4251,,91.1057594424957,33.0616779807922,27.2551175331134,14.700801005183,10.944607695842,6.92960984829065
2011,54870.0,1.92,36709860068.3445,,90.6735927323873,32.6702837127608,28.1721913252046,13.8241599200943,12.0441075177053,7.49431438073212
2010,45580.0,2.2,28123640998.7253,,87.7903230823236,32.6539317754642,31.5608462081928,13.3023181412213,14.7661295701863,4.77938278843493
2009,36530.0,2.67,21475520709.3922,,78.9201420681531,35.2283529775409,37.7057976170342,18.6018300897549,17.1434481591702,0.876803986785774
2008,34360.0,2.57000000000001,20917444919.6394,,80.1120648545541,47.1584406294707,36.4818788745827,30.5639008106819,13.7565947100322,10.0903337371591
2007,34580.0,2.47000000000002,18340447242.9971,,79.3102278432916,52.0687736629982,36.0132173535439,36.7460069750716,10.1283295043593,8.82117907924729
2006,26320.0,2.37000000000003,14789661809.1834,,78.9940678395782,50.5273031486082,37.8221703932803,33.7119099528469,10.9280197400666,7.80570918069627
2005,24020.0,2.26999999999999,12092222041.9168,,84.8594020976133,52.2772318110496,41.7375505822116,25.6802791312247,11.6256503427203,5.56630207538069
2004,22250.0,2.17,10585624890.9277,,95.286151672162,54.4276966556759,42.9839849269901,16.156382477626,11.9173010300714,1.91848900048784
2003,17870.0,2.62,8195033162.12038,,93.4447926491618,58.2909909635805,51.1257492317522,13.7204490826665,14.6708783547752,0.0807686749064658
2002,16330.0,2.62,7322677820.10108,,93.8887566722198,59.5145003909836,55.6709618196036,9.95478189916023,15.0301360800733,-1.32132125926491
2001,15750.0,2.62,6811227982.82193,,91.8820132314778,59.2218282831975,58.033919368398,9.30772323549837,15.4083375211996,-1.40210250425305
2000,14710.0,2.62,6720492405.83611,,89.9755274574512,58.9677036597575,58.530164262672,10.4620119396344,15.1408976292781,-1.66836259152966
1999,14650.0,2.62,6490571703.85015,,76.8603485502776,56.5391733497841,63.7068167797656,15.9739358420728,18.8553350616325,-1.24672918231138
1998,15700.0,2.62,6742367273.27418,,74.7750762138449,51.1078890623838,60.1977842218752,16.1368875009294,15.1446390066176,-1.98127831211457
1997,17330.0,2.62,7211264780.00828,,74.5079287800807,49.7200584225901,56.3812769508972,18.8291139240506,13.4729795520935,1.64292924812688
1996,17500.0,2.62,7122539666.59972,,74.577466029855,48.7002343984068,54.3557568601188,19.7670115084331,12.5538323258314,2.21895219798893
1995,17430.0,2.62,6996034036.99892,,74.5151857632349,51.7482015679099,50.7184758624401,26.5127459950128,,8.19191405876813
1994,16030.0,2.62,6265844252.10105,,74.0927863988131,57.2637234853041,50.9543285616905,32.2166085248005,,6.74122768287786
1993,14300.0,2.62,5625533410.31176,,76.7011735308554,58.8304850296729,49.9196822988711,32.2118602472,,9.55042301958773
