date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,360.0,,7064971176.34408,,,,,,20.8655402066954,8.59903381642511
2017,340.0,4.72472137911893,6303292264.18905,48.659564238322,29.1628440790498,36.1670266760313,93.7876933193805,13.4322200241966,18.7921658802976,13.4615051687358
2016,340.0,4.72472137911893,5433040159.88747,55.1578705122511,32.9669183147695,44.9407964726541,101.752468011638,10.7802797933837,17.9497960522711,19.5441321372681
2015,350.0,5.72076600265203,6373212640.84604,39.5422371324465,29.1565198766117,35.7547547277185,95.3913798650417,12.2216244181233,18.6729778877219,20.5346585402693
2014,370.0,6.9,6047813437.31804,40.6328150545127,33.7015679642218,39.6250438964386,93.5662066636624,11.9855600999476,20.469302905523,20.8837033797922
2013,410.0,4.8098069954326,5518880768.57955,36.2569334751656,35.6597738142257,42.6093327380537,93.9289945953674,12.7024580393953,18.9074018875803,27.3003965073468
2012,460.0,4.8599034977163,6028487928.83351,41.4204771686525,26.2034014933767,41.6781946295397,103.367782013675,12.0494054442508,17.2765787236594,17.6561012391452
2011,490.0,4.91,8004000737.30717,27.4257346508333,20.7771672832812,28.0106925012198,94.8087074124409,12.4247740298105,18.2290934074307,14.075761373677
2010,450.0,4.11,6959655570.89098,28.0301095494911,22.7870608045788,34.860459245346,89.2502243979867,22.8231860924044,18.4813731147877,12.1271794634743
2009,410.0,4.02428571428572,6191127665.1963,29.2734146419207,20.0286534750189,31.6544190196987,87.1628802208008,24.462885323879,22.829867378321,7.89982253145425
2008,370.0,3.93857142857144,5321012192.33619,,22.6567586927244,39.3090102751955,93.4231310525422,23.2291205433028,,11.9646671441287
2007,330.0,3.85285714285715,4432937045.79897,,23.3114453084264,33.1327199442831,86.7521465634917,23.069128072365,,4.0997214319722
2006,310.0,3.76714285714286,3998020176.67364,,17.6338350360624,36.7261332741394,99.0782565525403,20.0140416855367,,19.9672593289589
2005,300.0,3.68142857142857,3655909664.1423,,18.1211555073435,39.326828871029,104.110919595655,17.0947537680302,,10.7412360156875
2004,300.0,3.59571428571428,3476094498.87517,,18.8482493164564,32.617992389861,100.01505689639,13.7546861770147,,14.846627519385
2003,220.0,3.51,3208837077.25069,,20.1704565534983,30.6719928909512,97.5791959715104,12.9223403659425,,10.346094285153
2002,170.0,3.515,3495748397.63025,,15.8606371712111,26.0402006169066,97.8759670642629,12.3035963814326,,112.693647996205
2001,140.0,3.52,1716502862.2954,,27.9912263677637,39.1271773250864,96.2394247340969,14.8965295316285,,25.6224672893908
2000,160.0,4.51,1743506531.32652,,25.6036524824415,35.3349830139486,96.1666280026987,13.5646985794757,,30.5339514908303
1999,180.0,4.05,1775921718.10534,,28.0222805379694,43.2936924901362,100.621412456592,14.6500072864209,,39.6907783232902
1998,200.0,3.8457709,1750584265.28754,,32.7701620952193,38.1050151948843,91.8698337535458,13.4650222875455,,19.5484847698045
1997,200.0,4.4221928,2663234933.89767,,21.356509346862,33.5854046163355,100.630083028708,11.5988120124276,,20.8348403408279
1996,170.0,4.6,2281034131.36493,,22.8257528499141,31.8766701229303,96.7238297566345,12.3270860845052,,52.3456085147783
1995,160.0,3.3,1397457932.30697,,30.3684813752133,48.088417296414,100.327792047465,17.3921391917208,,77.2195834582236
