date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,840.0,,17163432832.0957,,23.6013217453071,34.0531709070044,90.1708186145588,20.2810259906396,,1.84226416994339
2017,770.0,3.74045533480575,15337740140.8637,,22.1997817196001,35.8310301316855,91.5817487185537,22.049500968171,12.4988579318374,1.95090428799205
2016,780.0,3.74045533480575,14010787737.8424,,23.451220325773,40.3384306376697,94.1045471680396,22.7826686514619,12.319895522876,1.35969349905767
2015,790.0,3.74045533480575,13099497220.4728,,24.043707546577,39.5959256946168,94.7913240181449,20.7608935761815,12.2766204798192,3.08664757266048
2014,810.0,4.4,14345831014.6335,,22.5554854015173,38.0832152738089,95.366765336823,20.1609646595382,12.9583574917602,1.25051921539236
2013,780.0,3.98,13246412031.4145,,24.9266076514655,39.9120898820392,97.1864115522106,17.799070678363,13.2461782447616,0.701147246374603
2012,730.0,4.32,12442747897.2223,,26.8925571346712,31.7780503560881,87.7024305486465,17.1830626727704,11.9890875202287,4.60482136424292
2011,730.0,4.44,12978107560.5982,,22.7261779161711,31.1873798667489,88.7377531646758,19.723448785902,12.2422712608196,12.1534219455536
2010,690.0,3.78,10678749467.4697,,22.8371701772321,35.1481270629138,88.2852118354929,24.0257450501887,12.7809377268295,4.36809902783483
2009,670.0,3.5,10181021770.4326,,21.7344772232622,28.8339557497401,85.0784810474152,22.0209974790627,12.9106143787447,5.17546239251097
2008,610.0,3.35,9750822511.47988,,25.2677563340639,38.5202005281154,89.0159785822415,24.23646561181,12.0402063909749,6.75151430903547
2007,540.0,3.6,8145694631.88354,,24.1521111507005,32.497635094203,84.4713868811702,23.8741370623323,13.0482860868743,4.55504607861359
2006,500.0,3.6,6899799785.8441,,28.4289450992381,32.547728736082,82.9263350866461,21.1924485501978,13.3351041635196,4.64687335867129
2005,460.0,3.52,6245031690.06808,,22.9888693418902,31.1364564343947,87.2656953208128,20.8818917716917,12.8334575182948,7.50172639483495
2004,400.0,3.5,5444474268.42491,,23.6771847065241,31.6344329544929,86.3282286240371,21.6290196239317,13.660894474872,3.59862414352318
