date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,4860.0,,221278000.0,,40.4471750467737,85.2805068737064,129.887622823632,23.3843566648628,57.8650362891928,0.308521336648298
2017,4460.0,6.51,212881000.0,,39.1747032379592,83.7438756864164,129.502785275223,23.2334984103365,60.5680168732766,2.00611981071204
2016,4280.0,6.51,200558400.0,48.8868741473805,36.5466118596878,77.7768470430558,127.987180836789,19.1216670940629,56.4824554842879,7.24377137900998
2015,4310.0,6.51,184599600.0,47.2545503890583,44.6234986424673,91.3050190791313,130.736331432337,17.4869170273867,54.8804861982366,-1.61427693507211
2014,4070.0,6.51,184689500.0,49.8745570267936,49.9097674745993,98.1198714599368,128.249965430599,19.7830552589486,49.3131266260399,-0.674139622334408
2013,3900.0,6.51,187707400.0,42.0613231018063,51.2412403560009,106.723656073229,130.171784007868,22.2182605618042,53.2351601481881,-1.03652093158429
2012,3510.0,6.51,182874800.0,48.6065176831362,54.9568885379506,99.7902390050461,128.034775765047,10.2973151034409,51.403514863721,7.44710569447831
2011,3600.0,6.51,174332100.0,52.6778940883521,50.696687529147,100.223481504554,127.951675697874,21.7456410396022,51.0345065538705,8.32218368412893
2010,3600.0,6.51,162164700.0,64.9282951221813,37.4562404765032,109.651915614187,130.851867148373,40.4471931683746,51.9829038008888,-0.658487417271729
2009,3480.0,6.51,151772600.0,64.8218011683268,28.5051451974862,100.376088964675,139.42105687768,36.6113525456316,55.7655953709695,-2.30077787687767
2008,3390.0,6.51,153135800.0,62.5004296839798,28.8090048179459,88.8006592841125,142.359932897095,19.8704897580104,56.0589659635435,6.72032617963949
2007,3510.0,6.51,153884600.0,,26.4387729506396,86.5804635421608,137.535753845228,25.3618751606781,,2.93115565577855
2006,3380.0,6.51,145474100.0,,25.6820286222771,86.17252143165,135.233121243496,28.1857302682084,,1.82215822565057
2005,3460.0,6.51,141922500.0,,32.6800894854586,89.6685867286723,137.055986568345,18.2712285984698,,3.69631236111387
2004,3300.0,6.51,133806400.0,,31.3050048428177,83.4414497363355,137.6430476417,17.3147063474317,,0.874933598078513
2003,3130.0,6.51,131398500.0,,30.1529317305753,86.6312781348341,,,,1.38031126808494
2002,3100.0,6.51,131738200.0,,27.3764936821666,75.1163292044373,,,,3.38942261773568
2001,3110.0,6.51,122824000.0,,25.3630397967824,92.967335374194,,,,-0.322349006912987
2000,2960.0,6.51,115347500.0,,28.6963306530267,100.812761438263,,,,-0.454687945694516
1999,2830.0,6.51,114326300.0,,22.1163459326507,84.9611156837928,,,,3.11731924826569
1998,2690.0,6.51,112279400.0,,24.7090739708263,87.0330621645645,,,,2.25948590890272
1997,2590.0,6.51,110705600.0,,25.6632907459063,81.0561525342891,,,,6.74281757268666
1996,2690.0,6.51,110858000.0,,23.3003481931841,89.9935954103448,,,,2.79593742958073
1995,3070.0,6.51,120230000.0,,22.3185561008068,84.5457040672045,,,,2.80715140773428
1994,,6.51,108071000.0,,,,,,,2.62467269109952
1993,,6.51,99461000.0,,,,,,,3.03372789779898
1992,,6.51,91063000.0,,,,,,,3.01400428728714
1991,,6.51,82507000.0,,,,,,,5.04428016940845
1990,,6.51,78476000.0,,,,,,,4.98987695673512
1989,,6.51,72798000.0,,,,,,,4.75702704064807
1988,,6.51,70688000.0,,,,,,,4.1232510931512
1987,,6.51,62983000.0,,,,,,,2.86016669977943
1986,,6.51,55989000.0,,,,,,,2.45388054567242
1985,,6.51,43879000.0,,,,,,,3.68577833028026
1984,,6.51,45144000.0,,,,,,,4.1071229854625
1983,,6.51,41749000.0,,,,,,,3.51055542815686
1982,,6.51,34918000.0,,,,,,,7.37839110045036
1981,,6.51,31020000.0,,,,,,,
1980,,6.51,,,,,,,,
1979,,6.51,,,,,,,,
1978,,6.51,,,,,,,,
1977,,6.51,,,,,,,,
1976,,6.51,,,,,,,,
1975,,6.51,,,,,,,,
1974,,6.51,,,,,,,,
1973,,6.51,,,,,,,,
1972,,6.51,,,,,,,,
1971,,6.51,,,,,,,,
1970,,6.51,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
