date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,3090.0,,117921394402.361,,38.7346836257321,49.2554358334041,77.0000957696902,33.5206564379819,24.6834070880413,1.0660233458723
2017,2880.0,5.2,109714300453.983,,37.2131121332467,46.7618876551581,76.8993493211555,32.6494262007559,24.50376340417,0.682985840616098
2016,2880.0,5.2,103311649248.024,,35.3515345494454,45.5090606368353,77.7662305362361,32.3912955511538,24.5892132775513,1.48315700501477
2015,3020.0,5.2,101179808076.36,,34.8000404878789,42.3979958499924,76.7970038969583,30.8009514651551,25.1653221316868,2.12904824405096
2014,3060.0,5.2,110081248587.369,,34.6324088802822,47.1398653088042,79.9695475136593,32.5379089148627,27.5066459471609,0.377809577308867
2013,3090.0,5.2,106825649872.108,,32.7776435173172,47.2429150383719,79.7901379071479,34.6751336139068,27.8430555849444,1.30729203571408
2012,2980.0,5.2,98266306615.3632,,34.9295478964619,50.1953693973565,80.2467563254749,35.0190651754197,29.7839102421212,0.369335229674476
2011,3000.0,5.2,101370474295.109,55.6277203238232,34.7000342650751,48.7267659012507,78.2497253306702,35.7770063055055,29.3893555859998,-0.690980555689521
2010,2930.0,5.2,93216746661.5977,50.9624992353025,32.2330186178348,43.0146159179429,76.7071871367687,34.0744101633394,27.0816088901181,0.975621692194935
2009,2880.0,5.2,92897320375.8176,47.5036306769826,28.0031744207951,39.9119285274348,76.8625339520069,35.0462201546328,26.1185511172598,0.146912227305961
2008,2700.0,5.2,92507257783.5697,45.4427659043265,35.7423506783512,49.9304702221466,75.0989945031724,39.089125040623,26.8717560751816,4.53049709499408
2007,2380.0,5.2,79041294874.4553,50.9355551094158,34.5716800765988,43.9154942628141,75.4584343582537,33.8853798279616,25.6649766579981,3.59505480142776
2006,2240.0,5.2,68640825480.9223,54.80562992585,32.7553597974598,38.740926983056,75.0832643761001,30.9023083417041,25.3652718769424,1.54803075759975
2005,2070.0,6.98332435071319,62343022650.8742,59.2699927731566,30.9191592317607,36.9956952598408,75.7969287660108,30.2796072620693,28.1180879372892,1.19054061343098
2004,1830.0,5.3,59626020162.3816,,28.1075991337609,33.4889343396771,74.4471433937359,30.9341917932683,23.6936386326547,1.21922110729386
2003,1540.0,5.4,52064058833.9739,,27.5037769965179,30.8239656799778,74.2848534988662,29.0353351845937,23.1937688885421,1.06260500296965
2002,1370.0,5.5,42236836820.6152,54.0303385454133,28.9176142561292,31.6164721483894,75.4872291854229,27.2116287068373,24.6071724222092,1.20854449034931
2001,1400.0,5.3,39459581217.3759,,28.2091661254411,31.2088377719078,75.3849719258396,27.6146997206271,,0.652317542296132
2000,1390.0,5.5,38857251336.3448,,26.7874316586441,32.3743951310614,79.231266299793,26.3556971726243,,-0.742288189918767
1999,1410.0,5.01,41632027599.8531,61.6171338240012,25.1543679508289,28.8323246974193,77.8454749256881,25.8324818454015,21.8606116375116,0.56954637038622
1998,1460.0,4.73624831968578,41806219378.6181,61.1859346067606,23.4038041854498,27.3938779617609,76.1850125913404,27.8050611849708,21.191030535687,0.391321279452626
1997,1460.0,4.8467624,39147844526.0838,64.4624151446094,23.9241178671875,27.2260367814229,78.3802551469045,24.9216637673309,21.1748389220131,0.713391653304996
1996,1510.0,4.9,43161452678.4383,,21.8359749586865,25.2595684892918,78.9521529193247,24.4714406112807,,0.435488561922526
1995,1300.0,5.3,39030285468.3841,68.3949152787535,22.6732200383806,29.041805345743,80.9746432724157,25.3939420349467,22.4340890359795,7.53840293402619
1994,1350.0,5.0,35604137422.5796,69.8259155220588,20.9385014625219,26.3750522699829,79.7690778555149,25.6674729824651,20.4034685295887,0.655340244231468
1993,1230.0,5.3,31655473663.8348,74.12313156115,22.06075149691,27.607705117191,79.0727580935154,26.474195560737,21.0925749592114,3.03498245469473
1992,1270.0,5.1,33711069430.78,70.9378689831812,22.1721546193877,28.0911615651847,78.2086383548436,27.7103685909534,18.2072369760728,4.58787832871923
1991,1240.0,4.6,32285388165.2999,62.0674162757784,22.3187677496636,27.4605277269858,77.8195989131549,27.3221610641672,17.334293917278,5.39631617907051
1990,1160.0,5.0,30180108561.9305,87.1967599759139,24.5593205075626,30.0673669130572,74.4477518300638,31.0602945352303,16.4821795671491,7.69435962224856
1989,1110.0,5.0,26314220188.0257,,22.5549372963548,27.7959074491801,74.9703291806691,30.2708138766024,,2.91997905560721
1988,1080.0,4.2,25705296183.5037,,24.9965468597217,25.1410563062102,75.7007100822383,24.4438164718486,,3.6705965517076
1987,860.0,4.6,21765261041.7265,,22.4812530281349,27.1762524860913,79.5780007902719,25.1169980630902,,3.01480842265084
1986,770.0,4.4,19462175321.8224,,21.8823676849516,28.3982358988707,79.0337324950407,27.4821582933337,,7.49074948647504
1985,680.0,5.0,14991283215.7408,,25.5132262987926,33.8018483336996,77.6106779014441,30.6779461220974,,8.95364431960861
1984,730.0,5.1,14824728528.4604,,25.6341792993627,34.7285002181635,77.9814558307359,31.1128523022278,,6.20115343818426
1983,790.0,5.4,16251460689.3254,,22.7546982135498,29.8593968083438,80.756137014458,26.3485595036546,,6.97019803491197
