date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,460.0,,14717223206.9,,47.7612389031649,84.2244178956122,87.4373880898696,49.0257867856882,0.020050842724026,2.12405394187584
2017,470.0,5.38,13219084261.3664,,38.5790510296602,61.1397606569416,89.3744137257546,33.186296512751,17.6864239733198,7.64070735094347
2016,530.0,5.38,11936999283.1791,,33.5453171676439,72.0931548407048,91.9455150158717,46.6023251515367,18.7247584768741,13.67560965432
2015,640.0,5.38,15950969018.9458,,31.0781713763781,62.8305375705609,90.5032364366434,41.2491267372007,,7.58585554156497
2014,690.0,5.38,17716084107.5888,,31.2840395822831,80.1811350701045,96.0419715973866,52.8551262128883,,1.21068531516744
2013,670.0,5.38,16974320551.0213,,26.7439359909392,76.4065684421297,95.6746576538617,53.9879754211098,,2.97638030509513
2012,600.0,5.01,16350804543.0515,,28.8839772980214,72.9876671281386,94.5750385234511,49.5286560784876,22.7024332663793,3.4660734188098
2011,550.0,4.84500000000003,14381552432.9494,,30.0982502602008,50.1320995433341,91.2054880492117,28.8283592080852,21.6468695722947,3.36832188753542
2010,520.0,4.68000000000002,11087646867.9421,,28.4583428917857,42.3286933957812,92.0357671885324,17.9202213290747,20.1939494347927,7.98094541194322
2009,540.0,4.515,11899763735.4052,,27.1009153032402,37.848533722958,92.3401903612733,14.6596806691654,,0.799024345696253
2008,500.0,4.35000000000003,12574681497.5762,,26.4468772610483,35.8081890400322,88.2032232350355,18.6554490000985,,5.74267565953856
2007,450.0,4.18500000000002,10423424155.2923,,27.3277904171756,35.8647834585518,87.9748881602172,18.2326233667788,,7.57735832174851
2006,420.0,4.02,9149485071.33634,,27.0715327705355,37.2324296454618,88.5342397995248,21.6513029908195,,7.92284205646942
2005,390.0,4.26,8512116725.20706,,27.0156859906635,41.8995141200775,92.4360253982472,22.860241222761,,7.41590011531781
2004,350.0,3.79,7589038159.89336,,25.6787223505389,43.4613621492839,92.7148790386358,27.5810954403165,,6.75284869226257
2003,320.0,3.43799999999996,6254047514.32788,,22.563471679472,45.5943827212322,93.7228122566475,33.4532388781873,,4.47049851428704
2002,280.0,3.08599999999997,5623299277.81063,,21.5393547379451,50.1099677966058,92.8163995725305,42.1139567668967,,10.7960183031718
2001,310.0,2.73399999999997,5311092495.99103,,18.6912349207773,30.7850578884344,82.7219926010316,34.6328314162913,,15.9969227169477
2000,320.0,2.38199999999997,5553894130.24062,,11.4297301169242,35.7347465636817,87.8749575795009,43.8058538419435,,11.0997056930521
1999,340.0,2.03,5888561099.32603,,9.0274434589019,35.5860348512915,87.088481177151,58.1879355200895,,1.03779282575218
1998,310.0,1.6,5613212495.5788,,9.35866666448828,26.2185280205142,88.2892390298855,28.1371340933646,,5.54585953095348
1997,260.0,3.8217871,4976735801.65633,,10.057645567536,28.9443717086128,92.3216848905669,18.2500579828745,,9.77557091954226
1996,220.0,3.8217871,4163397088.64234,,10.9973861274395,34.3158704463469,96.0292953249708,19.438736797456,,58.3717575127125
1995,190.0,3.8217871,2900913488.49338,,11.3283651607172,49.4782916098765,102.888592335311,37.8820968067209,,51.7956856078789
1994,190.0,3.8217871,2793020800.85737,,10.4247161599171,45.5975098408688,109.438048840713,23.7805029782182,,49.2200821067279
1993,210.0,3.8217871,2738413378.55281,,8.10074444360062,43.9329434849625,105.631725094892,33.8540915907351,,44.1253901393277
1992,,3.8217871,2644983401.51958,,9.06251606152476,46.9382389967848,107.559819507831,32.7361114816766,,36.0505583001362
1991,,3.8217871,3704316974.55559,,7.9709058757046,38.9015278905414,103.40799700375,32.0065051389001,,
1990,,2.0,,,,,,,,
1989,,1.8,,,,,,,,
1988,,1.8,,,,,,,,
1987,,1.8,,,,,,,,
1986,,1.8,,,,,,,,
1985,,1.8,,,,,,,,
1984,,1.8,,,,,,,,
1983,,1.8,,,,,,,,
1982,,1.8,,,,,,,,
1981,,1.8,,,,,,,,
1980,,1.8,,,,,,,,
1979,,1.8,,,,,,,,
1978,,1.8,,,,,,,,
1977,,1.8,,,,,,,,
1976,,1.8,,,,,,,,
1975,,1.8,,,,,,,,
1974,,1.8,,,,,,,,
1973,,1.8,,,,,,,,
1972,,1.8,,,,,,,,
1971,,1.8,,,,,,,,
1970,,1.8,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
