date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1310.0,,71214803377.8284,,,,,,,8.27867618515855
2017,1200.0,1.76749295131903,66719084253.4803,,19.9644953200386,27.9886720392633,71.2574298460291,32.7555783491497,16.7509807954022,6.22444491206635
2016,1200.0,1.58657589914397,63256184700.2223,,15.0014711303666,21.9617672541306,69.9794195217655,33.1797335526042,16.0299943230385,3.61567809536277
2015,1200.0,1.4056588469689,59687410896.5734,,20.7991599837419,26.5608433696416,68.2297805584709,34.5905104475229,17.0248043124316,4.13669673908315
2014,1230.0,1.22474179479384,65446199787.8425,,20.0904021624553,22.1685410208974,67.4157805806244,31.7196750455138,16.4800663726409,4.17353135903164
2013,1220.0,1.04382474261877,60269734044.526,,19.6350983163271,18.9456606508495,66.2971623998265,31.5157197972696,14.0348673040125,4.37807084326613
2012,1130.0,0.862907690443704,59937797559.3295,,11.4983610766133,10.8862545030888,63.360476331496,29.8802036939277,10.5504277139389,3.13009695252966
2011,1010.0,0.681990638268638,59977326085.9908,,0.0994649125401589,0.100901600830305,63.0371780054222,29.1875975591087,,10.254576668267
2010,850.0,0.67174180848506,49540813342.4834,,19.5886518664568,15.0899330679353,67.3027016332341,23.1822093203965,,7.04321189356271
2009,640.0,0.661492978701481,36906181380.8127,,0.10271275104536,0.0647048878869087,84.2123593348897,18.8664531280369,,4.87859924628746
2008,470.0,0.651244148917901,31862554101.9378,,0.116556167065436,0.0665474236083194,82.5814051433421,15.6349638124866,,13.6186579472663
2007,350.0,0.640995319134322,20182477480.5512,,0.138180683366343,0.0795059581624321,,,,23.643908118402
2006,290.0,0.630746489350742,14502553709.8303,,0.157094763445779,0.0908510059997421,,,,21.3004988062924
2005,270.0,0.620497659567162,11986972418.5103,,0.17845542977487,0.0954384625916272,,,2.80606806409765,19.1635299039187
2004,220.0,0.610248829783583,10567354056.4049,,0.186736793884873,0.141120177342513,,,3.64395423975417,3.60112807915908
2003,180.0,0.6,10467109977.6717,,0.207565072369415,0.158394556411915,,,3.05760962946427,20.4965394082855
2002,170.0,0.699999999999967,6777632512.0781,,0.285754172162196,0.225449347209114,,,,41.5089280022219
2001,,0.8,6477790688.22844,,0.470599713307603,0.446710558983666,,,,24.8444647783729
2000,,0.3,8905066163.58643,,0.538837892336937,0.626857690729444,,,,2.46177398816046
1999,,0.4,,,,,,,,22.6404900457303
1998,,0.3952019,,,,,,,,35.8252397607671
1997,,0.9383197,,,,,,,,33.7942244582394
1996,,0.9383197,,,,,,,,23.0374930878187
1995,,0.9,,,,,,,,19.600843627721
1994,,0.9383197,,,,,,,,22.0801504945717
1993,,1.2616442,,,,,,,,36.2494284372507
1992,,1.2616442,,,,,,,,21.7454653958795
1991,,1.2616442,,,,,,,,23.7488447339607
1990,,1.2616442,,,,,,,,18.5395953745487
1989,,1.2616442,,,,,,,,57.6844780877087
1988,,1.6,,,,,,,,25.1956211729942
1987,,1.5849688,,,,,,,,21.2384215170902
1986,,1.6147895,,,,,,,,6.5545096897655
1985,,1.6147895,,,,,,,,1.5672508344029
1984,,1.6147895,,,,,,,,2.51788884616431
1983,,1.6147895,,,,,,,,1.95733881574442
1982,,1.6147895,,,,,,,,3.3744684291658
1981,,1.6147895,,,,,,,,4.42518376319629
1980,,1.6147895,,,,,,,,1.23518373165024
1979,,1.6147895,,,,,,,,5.61664989286257
1978,,1.6,,,,,,,,0.79735639946594
1977,,1.6,,,,,,,,1.92179934511213
1976,,1.6,,,,,,,,10.1287156467584
1975,,1.9,,,,,,,,16.4966678379998
1974,,1.6446102,,,,,,,,56.5208951892614
1973,,3.1,,,,,,,,10.0048319720947
1972,,2.7,,,,,,,,0.755485934092093
1971,,1.6446102,,,,,,,,-2.30943262198161
1970,,1.6446102,,,,,,,,-1.42860950908702
1969,,,,,,,,,,2.76225286236091
1968,,,,,,,,,,1.69284359057109
1967,,,,,,,,,,15.9915903825377
1966,,,,,,,,,,3.55521125700366
1965,,,,,,,,,,1.69110336051375
1964,,,,,,,,,,-3.71634039356984
1963,,,,,,,,,,0.943781956250689
1962,,,,,,,,,,0.600847631921738
1961,,,,,,,,,,1.44943715299723
1960,,,,,,,,,,
