date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,12060.0,,125628504.250316,,,,,,,1.54525386313449
2017,10820.0,,113884908.36413,,,,,,84.972357602649,3.40704397444642
2016,10730.0,,102052700.538652,,48.8180456490728,101.735306704708,,,84.8632439151526,5.69525985667147
2015,11830.0,,99966636.1594143,,45.3525138181555,101.667417118117,,,80.7842117433915,-8.3090333271207
2014,14730.0,,117009639.217846,,57.2612597345334,107.849215353064,,,73.5092617685328,-11.8303261150147
2013,13330.0,,108634964.604494,,75.5278529368711,78.5601563938746,,,,-21.6533422478275
2012,9190.0,,103833367.704681,,70.6423986271768,50.6014046014999,,,,24.0803644138241
2011,6760.0,,72680074.9285221,,,,,,,18.0856689212947
2010,5810.0,,49235796.7057166,,,,,,,-18.174137495173
2009,4620.0,,44294212.9288765,,,,,,,26.1515153182276
2008,,,39291316.0250671,,,,,,,25.407611025071
2007,,,20439158.4236144,,,,,,,
2006,,,,,,,,,,
2005,,,,,,,,,,
2004,,,,,,,,,,
2003,,,,,,,,,,
2002,,,,,,,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
1999,,,,,,,,,,
1998,,,,,,,,,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
