date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,970.0,,29040398982.3466,,8.93352532154433,46.2971031347845,82.1869868788926,55.1765909343474,,6.25705795774707
2017,860.0,3.24498073832921,25180583769.9244,,8.98833492709032,42.3751121571654,86.5691829719813,46.8175942603222,19.3772078079203,9.67994450481405
2016,770.0,3.24498073832921,21185922407.5922,,9.46839939713689,39.2830449286747,95.9326590672853,33.8819864642526,16.4688161258999,5.15584756059005
2015,780.0,3.24498073832921,21410840908.5198,,11.6219397442892,41.473327066661,90.7939164199192,39.0574709024527,15.9172925260661,4.94281445787085
2014,770.0,3.42981618686975,20002968837.9471,,11.5050876388893,40.7501080403152,88.0772391873392,41.1678066653428,15.4358671923211,9.35220120504906
2013,750.0,3.03149408868359,19271168018.482,,10.6890751741434,37.4569250583034,89.4465548542163,37.3213601740638,14.5942415712936,6.57724025569924
2012,700.0,3.22805997957454,18851513891.066,,10.0738929802324,33.584313684409,89.0132453199803,34.4970746603254,15.9327564713647,6.63496413638205
2011,610.0,3.2911867603592,18913574370.76,,8.90403042092126,32.9242242240778,86.0329057232358,37.9872329281015,15.8983412024106,10.8111662211121
2010,540.0,3.14170937192161,16002656434.4746,33.8625212320188,9.58253617198229,36.4023696022884,88.5485990137277,38.271206448162,15.6352008846605,15.1469324454054
2009,480.0,4.2,12854985464.0764,,12.4193541858921,34.6600935774767,90.5663343290106,31.6743770945651,,15.9083302149645
2008,430.0,3.41,12545438605.3959,43.799987249558,12.7758202580003,33.260386093191,90.1689039278718,30.3156469991099,,5.61985452523273
2007,370.0,3.20800000000006,10325618017.379,42.9786611378803,12.8556648764061,31.7236101436193,90.1827915012771,28.6852507532697,,7.60328894488825
2006,340.0,3.00600000000006,9043715355.8881,49.6869680346867,13.4465909577363,31.3153967991879,91.0169216797842,26.8519028137059,,7.36003927122633
2005,310.0,2.80400000000007,8130258041.46706,51.7646230480547,14.5836867929394,29.4792606869219,88.4443402407823,26.4511581033301,,6.11939040997046
2004,280.0,2.60200000000008,7273938314.71988,59.4156672858263,16.6826952635217,29.464591457087,88.2507572068136,24.5311495689792,14.5963383257351,4.16642715689602
2003,260.0,2.4,6330473096.54071,62.5881953798115,15.6998644945158,28.5480191211037,91.4388201880824,21.4093789298114,,3.07030496058348
2002,240.0,2.35,6050875806.66403,63.9354609821022,17.7371295242283,28.4935889762169,90.5103337519562,20.2462111730944,,3.9348579003685
2001,240.0,2.76,6007055042.17687,58.9891415877141,22.5607737189466,33.239147361424,88.3353727236956,22.3430462169922,,11.017148289274
2000,230.0,2.01,5494252207.90502,64.5733198414706,23.2840037102623,32.4265852938696,84.8277152373725,24.3148663462349,,4.47243371313648
1999,220.0,2.13,5033642384.10596,64.0681097896128,22.8484720906571,29.7185091627782,86.3865207171175,20.4835163550036,,8.88704743558257
