date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,,,,,,,,
2017,,0.53888079544,,,,,,,,
2016,,0.53888079544,,,,,,,,
2015,,0.53888079544,,,,,,,,
2014,,0.53888079544,,,,,,,,
2013,,0.53888079544,,,,,,,,
2012,,0.53888079544,,,,,,,,
2011,,0.53888079544,,,,,,,,
2010,,0.53888079544,,,,,,,,
2009,,0.53888079544,,,,,,,,
2008,,0.53888079544,,,,,,,,
2007,,0.53888079544,,,,,,,,
2006,,0.53888079544,,,,,,,,
2005,,0.53888079544,,,,,,,,
2004,,0.53888079544,,,,,,,,
2003,,0.53888079544,,,,,,,,
2002,,0.53888079544,,,,,,,,
2001,,0.53888079544,,,,,,,,
2000,14020.0,0.53888079544,2682347064.3642,,,,,,,-0.616260193560294
1999,14810.0,0.53888079544,3056999988.09146,,13.0823856562793,32.9917857348068,,,,0.098993835816529
1998,15730.0,0.53888079544,3158806480.26107,,11.9903062307195,29.3790694979672,,,,0.206839297481793
1997,17810.0,0.53888079544,3291489840.57141,,16.4920122016379,28.2199514775389,,,,2.05845628051597
1996,18240.0,0.53888079544,3606968433.92682,,15.3462781856552,27.7472412356279,,,,1.42227808262396
1995,18220.0,0.53888079544,3628440274.67,,15.5638092682129,26.3878108719041,,,,1.33153099152072
1994,16780.0,0.53888079544,3038727617.03901,,13.5961768708006,28.4618002210399,,,,2.89169371351012
1993,16340.0,0.53888079544,3070161471.04451,,13.1111497125527,30.2653136842599,,,,2.71528290257467
1992,16070.0,0.51807080254,2923764926.39718,,13.7104833573384,31.6813966864878,,,,2.84171595091425
1991,15200.0,0.43454693194,2653781596.46008,,16.9089199830572,32.6181431214163,,,,3.63040906115096
1990,14760.0,0.415366459792,2529310103.83608,,18.4876237916876,34.7123109018204,86.7000011972639,31.3999985999209,,-4.63560393373722
1989,14530.0,0.3450799756,2185072798.33184,,,,,,,1.71843193922858
1988,13270.0,0.502367503072509,2072735787.31779,,,,,,,2.55924023605452
1987,8070.0,0.659655030545,1488113532.28584,,,,,,,1.7028848426873
1986,6170.0,0.64465630983,1201262517.87644,,,,,20.8882824952166,,9.42290066677135
1985,5510.0,0.652559433046501,854823821.723177,,,,,14.0350862785033,,5.65058435108357
1984,5480.0,0.660462556263,796018978.4713,,,,,14.5467192494154,,8.83967221085275
1983,5920.0,0.644876165934,823832940.450511,,,,,16.7307575976439,,7.76906594006452
1982,7160.0,11.1396405,904619629.797268,,,,,18.1325334715277,,9.84347140958953
1981,7940.0,11.2485565,972563810.230325,,,,,17.0655567572194,,13.7443497000721
1980,7980.0,11.2485565,1182457142.60648,,,,,,,12.5988724093284
1979,6900.0,11.2485565,1047225130.24333,,,,,,,35.0575533015735
1978,6980.0,11.2485565,846007597.720396,,,,,,,-15.5109035159191
1977,6580.0,11.2485565,837616756.533737,,,,,,,5.86721749273129
1976,6440.0,11.2485565,798310509.647434,,,,,,,6.54188132325054
1975,6400.0,11.2485565,816647865.83143,,,,,,,7.11222400181637
1974,5270.0,11.2485565,637400199.110489,,,,,,,12.6282710317366
1973,3990.0,11.2485565,542294864.81243,,,,,,,6.56497740697995
1972,3780.0,11.2485565,505892512.861927,,,,,,,7.76408639798434
1971,3420.0,11.2485565,413634335.270097,,,,,,,7.51288430979959
1970,3220.0,11.2485565,358815681.903215,,,,,,,11.3186488703597
1969,2520.0,,263108834.536684,,,,,,,11.0013057032196
1968,2160.0,,215507164.034258,,,,,,,4.76026105743547
1967,1830.0,,180036768.87301,,,,,,,4.02240593803353
1966,,,164206537.561675,,,,,,,7.00814312701958
1965,,,159594493.548808,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
