date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1960.0,,397269616080.908,,15.4938023753646,17.5074563282189,82.1839069688963,19.8098281151284,,10.234751627162
2017,2100.0,0.85,375745486520.715,,13.1715621009574,13.1760368999333,84.5301471472532,15.4743276516839,,11.1189180741492
2016,2470.0,0.85,404649527537.753,,9.21810969847623,11.5044091822463,86.9195633380584,15.3667361456749,,9.54367007033214
2015,2880.0,0.85,494583180777.103,,10.6566950155309,10.7902346590063,85.7285372575571,15.4901040894639,,2.86366512244867
2014,2990.0,0.85,568498937615.656,,18.435126055836,12.4500676616855,79.4252474497167,15.8027027733729,,4.6626229169719
2013,2720.0,0.85,514966287334.277,,18.0499065845438,12.9989533615809,81.1775956510951,14.9039059271535,,4.96474571562726
2012,2460.0,0.85,459376049763.999,,31.5465877297917,12.9857803186095,68.0475400141287,14.9588259144507,,9.94763670647075
2011,2190.0,0.85,410334579160.752,,31.616940212958,21.6610181213403,75.7609565110634,16.3605620999512,,9.77845809675884
2010,2140.0,0.85,363359886203.409,,25.660611295447,17.6601455468174,76.0068335489112,17.5621030023317,,16.3427663263401
2009,2040.0,0.85,291880204327.419,,18.6303414162071,17.4283689894207,76.7484917501436,22.04953582307,,0.686098873558521
2008,1960.0,0.85,337035512676.935,,25.6700722239628,15.1267631259372,69.5596948057371,19.8969960962373,,7.92138720146627
2007,1610.0,0.85,275625684968.615,,21.2363365678821,18.1005949418031,75.619649503137,21.244608870784,,7.09973099510106
2006,1350.0,0.85,236103982431.635,,29.5161318771116,13.0504339266114,55.6687165114818,27.8655855383472,,23.8643811268869
2005,1030.0,0.85,176134087150.341,,21.0339552856975,12.025504783953,64.801959825037,26.1895896732185,,19.858494768722
2004,870.0,0.85,136385979322.437,,20.2538033796441,11.6420670608479,64.2702982583229,27.1179654228808,,22.3683414787629
2003,710.0,0.85,104911947834.122,,26.7513810811897,22.5835837806132,66.4454043774264,29.3867983212595,,9.8043237707279
2002,630.0,0.85,95385819320.5737,,23.2397194017019,16.7954491864292,65.9732203664312,27.5825094191656,,21.1090500079431
2001,530.0,0.85,74030364472.0506,,28.2509582263078,21.4295420621938,62.2526940039713,30.9258898331291,,10.0764772423396
2000,470.0,0.85,69448756932.5833,,36.0232656065616,12.9723338600911,42.8395268429789,34.1095414105506,,22.6737374033387
1999,460.0,0.85,59372613485.6576,,21.3343312772724,13.1234998986602,53.4473572588279,38.34181136256,,13.4305716332004
1998,440.0,0.85,54604050168.1818,,18.144089697365,21.1345177728677,62.3754772720494,40.6149508034533,,6.00934430268458
1997,440.0,0.85,54457835193.4927,,28.6497539668708,22.8112568280829,55.6840443225958,38.4774585386163,,5.0553459305475
1996,390.0,0.85,51075815092.5,,23.0246995078828,17.2330297403173,57.5827725421238,36.6255576903107,,26.4910898580701
1995,310.0,0.85,44062465800.1706,,24.1558159612417,15.3725624475535,53.9770795092461,37.2396669802912,,75.401653194543
1994,310.0,0.85,33833042987.7582,,13.5492465113726,9.50998993936022,53.8771225714573,42.0836208621839,,43.2964642910475
1993,360.0,0.85,27752204320.0883,,20.0665399531503,13.6532149781525,49.0978152721894,44.4888597528128,,41.6390587223277
1992,510.0,0.85,47794925814.7558,,23.9747503010832,14.2526380135273,46.4984987488109,43.7793889636332,,46.7523553569372
1991,510.0,0.85,49118433047.5318,,24.2468672784523,12.7747375859671,40.1221533305495,48.4057169769653,,18.8639067975105
1990,560.0,1.31111111111117,54035795388.0915,,20.9747728482485,9.94996723077932,35.7885091772192,53.1866852053115,,6.66894187234996
1989,550.0,1.7722222222222,44003061108.3357,,25.2507746573601,8.9318425976376,31.1923773810237,52.4886905592539,,28.9696733931896
1988,680.0,2.2333333333334,49648470439.7963,,11.1691470481146,5.77146264036444,50.958096445698,43.6442191465521,,20.1771261172887
1987,710.0,2.69444444444442,52676041930.5791,,12.8476571133718,6.64767799816949,43.812312056735,49.9877088280626,,19.6694755966244
1986,790.0,3.15555555555562,54805852581.1516,,5.24909035456523,3.88675536794638,43.687078458888,54.9505865544931,,5.41545259149959
1985,970.0,3.61666666666665,73745821156.2995,,7.09682287093791,3.29515573526607,49.8074574384083,46.3908754259197,,6.92776914811475
1984,1130.0,4.07777777777785,73484359521.0997,,6.35078064198298,3.02976058916741,37.7316013004914,58.9473786466933,,5.65366409651338
1983,1450.0,4.53888888888887,97094911790.6948,,5.53354774556155,4.51142086386593,23.2247381288438,75.7531349894606,,19.5689498923879
1982,1260.0,5.0,142769363313.375,,6.69370682262539,7.08612633559395,14.4585208996916,85.9338986132771,,14.8025519146388
1981,970.0,5.1052206,164475209515.19,,8.59008346923003,9.58164270993359,11.6105061544267,89.3810530862769,,219.002843996039
