date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,,,1323000000.0,,53.817082388511,54.875283446712,,,,2.7909385902104
2017,,,1601000000.0,,69.5190505933791,51.9050593379138,,,,2.00036199095021
2016,,,1250000000.0,,72.24,72.16,,,,4.63964293851511
2015,,,931000000.0,,54.1353383458647,67.9914070891515,,,,6.42906957515798
2014,,,845000000.0,,53.3727810650888,66.3905325443787,,,,4.1145908732648
2013,,,782000000.0,,52.9411764705882,67.1355498721228,,,,1.68096150302645
2012,,,751000000.0,,50.5992010652463,63.6484687083888,,,,1.90777042554589
2011,,,733000000.0,,43.2469304229195,61.2551159618008,,,,-0.615352523988321
2010,,,799000000.0,,41.927409261577,50.6883604505632,,,,-0.868486352357323
2009,,,795000000.0,,39.2452830188679,45.2830188679245,,,,2.66240681576147
2008,,,939000000.0,,51.9701810436635,48.8817891373802,,,,12.5680135186545
2007,,,938000000.0,,66.8443496801706,61.727078891258,,,,1.5650974691565
2006,,,990000000.0,,83.7373737373737,75.959595959596,,,,0.213970193416742
2005,,,1061000000.0,,95.8529688972667,78.6993402450518,,,,0.403223670269128
2004,,,1210000000.0,,100.661157024793,77.4380165289256,,,,0.80309240561165
2003,,,1239000000.0,,90.2340597255851,62.4697336561743,,,,-3.89719626168224
2002,,,1284000000.0,,91.0436137071651,60.9034267912773,,,,
2001,,,,,,,,,,
2000,,,,,,,,,,
1999,,,,,,,,,,
1998,,,,,,,,,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
