date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,15140.0,,79276723016.9051,,58.2588355712734,44.5244554965406,63.0721838205624,23.1934361047048,,10.3466733695283
2017,14590.0,6.49726909438033,70597919375.8127,,52.3582698775829,49.5205360859683,69.6583888686273,31.1649702153996,,6.77659077759611
2016,16100.0,5.04015721948961,65941482444.7334,,47.0764558559625,47.3328206038376,70.8099153996332,29.3427202271786,,-8.86252663044976
2015,17850.0,4.87991278642128,68921456436.9311,,56.7050184337536,53.3616600566786,66.3758523488413,30.1660735916197,,-18.840286762613
2014,19170.0,4.71966835335298,81076723016.9051,,70.2476422659909,46.6927567844999,55.5090780778854,21.5769551549368,,0.15434380786958
2013,20320.0,4.55942392028461,78784395318.5956,,75.3748440213121,53.0954754626543,51.0247515894971,26.5959343205932,,-1.57183409766095
2012,19370.0,4.58456794021346,76689206762.0286,,71.4891308034049,44.8740122765965,48.8035680130227,24.3408959880625,,3.24622665366165
2011,16930.0,4.6097119601423,67937581274.3823,,72.9117219202205,43.0326927494066,48.6292848939591,21.5247683944568,,17.1495201363351
2010,18170.0,4.63485598007115,58642392717.8153,,65.6519420791201,41.209864733014,50.0812369167997,22.4396842291999,,15.6353297178761
2009,17740.0,4.66,48388296488.9467,,50.6361090656963,34.646041719295,55.8039913358022,28.2075537615626,,-25.1281328570214
2008,17430.0,4.43333333333333,60905331599.4798,,58.4804061815433,37.1806423236727,42.2233229852123,36.4888697204299,,33.7515387848238
2007,14490.0,4.2066666666666,42085305591.6775,,56.4832095316961,39.9893707745739,49.4345499264606,34.2773980644922,,8.26366458999379
2006,11510.0,3.98,37215864759.4278,,56.1724728327335,31.6642789755058,48.3399140431182,27.1518920996541,,13.6304451101514
2005,10620.0,3.26,31081924577.3732,,58.2796418709731,31.0601623295122,51.3563718517279,21.4258221069367,,22.4646873476964
2004,9380.0,3.58,24763589076.723,,51.3779196773651,38.8695177281129,59.5908250714166,27.9018232229877,,13.0068959025176
2003,8250.0,3.76000000000003,21633810143.0429,,49.75836118391,32.7955567310235,59.8398692024717,23.2009328941358,,10.3474297240468
2002,7960.0,3.94,20142782834.8505,,49.1032808687007,27.9151441593823,59.8109723818255,19.004764425622,,4.70346440962088
2001,7920.0,3.57,19452015604.6814,,51.7026994504833,29.3342959902665,60.4214298129504,17.211503750351,,-4.56194431796415
2000,7070.0,3.71333333333332,19507412223.6671,,53.6890382102765,25.9045942991227,56.8461189771485,15.3707703383729,,17.8075464744151
1999,6380.0,3.85666666666666,15710148244.4733,,48.6876033845913,37.5627922746133,74.0246917831351,14.8504971068869,,11.6745709019705
1998,6490.0,4.0,14085373211.9636,,41.9695906035386,49.724640341104,83.7748480102573,23.9802017273081,,-13.3524011343854
1997,6810.0,3.5,15837451235.3706,,50.0369488463749,38.5910173249035,70.9089416208227,17.6451268577059,,-2.23523397450641
1996,6470.0,3.1,15277763328.9987,,49.8101901503158,35.7659636041741,72.2605246582571,13.6952487956012,,7.41575017593841
1995,6270.0,3.2,13802600780.2341,,44.0353488722654,35.5561417723427,76.5408603568804,14.9799325431968,,1.75616630276335
1994,6160.0,3.2,12918855656.697,,43.0012280313249,34.7875103174763,76.0433233346083,15.7429589515431,,-0.450454920675256
1993,6280.0,3.2,12493107932.3797,,43.0510450495462,38.054792239154,77.4689815971355,17.5347655924723,,-5.38937268486973
1992,6510.0,2.9,12452275682.7048,,44.716890494789,35.5479437749326,74.4773282650014,16.3537250151423,,1.27307573773861
1991,6040.0,2.8,11341482444.7334,,43.0654925701706,34.7413318657127,76.6556595120161,15.020179783526,,-8.4980922428004
1990,5710.0,2.7,11685045513.6541,,47.2300741169401,27.59910080349,68.0206548109239,12.348371875626,,24.8409243776323
1989,5660.0,2.9,9372171651.49545,,,,62.7261655011655,12.3265595515596,,-2.76519799058406e-07
1988,5210.0,3.1,8386215864.75943,,40.0062025120174,31.3536982477904,66.2335245774539,15.8505256628935,,1.31896904457605
1987,5390.0,3.1,7811183094.92848,,48.8779399639722,29.0670549732655,61.3737717711185,18.7887067586304,,11.1778505567235
1986,5930.0,3.2,7323822251.3089,,39.2465225275575,40.9264702817861,69.6643610943146,32.1120909278303,,-20.6347047645085
1985,6560.0,3.2,10005500579.0388,,49.8278321082159,37.1827870361639,59.7152712669716,27.5789237992686,,-0.51200345238469
1984,6320.0,3.2,8821366531.55762,,50.2806130821491,37.5791755554826,57.3205553185205,29.9714431061078,,-4.71829853663186
1983,6160.0,3.2,7932541690.79328,,53.6515950819955,38.0670841296063,57.9327733834364,26.4827193139428,,-9.99902442021715
1982,6210.0,3.2,7554719455.70353,,58.5460236626802,43.1516807253897,58.0095018774622,26.5961551852474,,-6.72021067405709
1981,5480.0,3.2,7259120150.55009,,64.6871110482547,38.0887832294188,50.4048199096709,22.9569687330208,,3.67986010435428
1980,3960.0,3.2,5981760277.93862,,62.6591113692464,37.6554910217318,52.7079957407676,22.2932142684284,,51.1050335172859
1979,3070.0,3.2,3733352634.62652,,61.0624195424583,40.7134470725087,53.6409461031407,26.0100736719659,,30.5822734538474
1978,2650.0,3.2,2740301389.69311,,58.3201206212234,48.7268728233626,61.6164752650317,28.8959187642981,,3.80228395499481
1977,2720.0,3.2,2741169947.88651,,58.301641497503,44.0430773085047,54.3620559397913,30.6189025539816,,6.00009610438255
1976,2770.0,3.2,2560220034.74233,,62.3317878548004,45.9685740133439,47.7779147348185,35.858871423725,,1.30002079545737
1975,1510.0,3.2,2096699189.34569,,67.5503959611152,50.6904516280657,47.5145191265561,35.6255227320523,,2.37423395176077
1974,700.0,3.2,1645917776.49103,,73.7203518029903,47.7572559366755,43.4124890061565,30.6244503078276,,200.986380534054
1973,310.0,3.2,483033932.135729,,67.827626918536,55.1948051948052,61.1570247933884,26.2101534828807,,40.3094896459742
1972,360.0,3.2,366857738.40542,,59.375,43.75,54.5454545454545,29.8295454545454,,2.48097455056961
1971,330.0,3.2,301010587.102984,,65.7873701039169,32.1342925659473,37.8896882494005,28.4572342126299,,16.0920634237719
1970,320.0,3.2,256299496.040317,,73.689138576779,19.6629213483146,32.2097378277154,13.7640449438202,,-6.22950123451797
1969,280.0,,239980801.535877,,74.6,11.9,28.0,9.3,,1.11297594269509
1968,230.0,,188864890.808735,,70.1397712833545,14.7395171537484,32.0203303684879,12.579415501906,,11.5165806707206
1967,160.0,,107152720.243027,,33.7628865979381,22.4226804123711,57.4742268041237,31.1855670103093,,-3.54261684942963
1966,,,67768132.1758611,,,,,,,1.78241716604531
1965,,,63287594.5113414,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
