date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,13323.0819870721,,452305794432.791,,59.4003508763282,49.6599824710036,,32.3322275389589,,3.22613451068933
2017,12466.7926181245,3.7930843996648,405663097575.451,,58.1266353488148,50.466527667636,,32.8435033824691,,3.37160186063247
2016,12988.8228033919,3.82371804058901,367308799389.9,,56.5460342196351,52.7944458947531,,34.6098492460003,,1.54268408918941
2015,14099.4442068383,3.76642472657979,371881919026.719,,62.0601544192688,51.943535894399,,29.5963928666274,,1.90864652828937
2014,15067.7694670236,3.78006518424398,449202811925.916,,68.8529696004417,50.2094268854461,,27.2827721004809,,1.40620213239901
2013,14884.9536694968,3.63692654686238,436749078926.389,,72.2013742917047,51.3384314381362,,25.7162118802766,,2.14290657776588
2012,13827.9311831026,3.65647957419813,421827896371.476,,73.2533689280636,50.8713245017167,,26.3683827178777,,3.43987725738926
2011,12470.0289024783,3.72859042419708,402076440212.558,,71.2988487759261,47.6458042717313,,25.9901836585851,,5.38582158530893
2010,11505.8998996435,3.89967365550785,325676083750.011,,62.9465726650268,44.2524233932191,,28.0494264794672,,3.82986348678851
2009,11024.6947407843,3.95512754928718,279806886125.315,,56.4192540967044,45.26852320518,,32.1117363216291,,2.17462112276409
2008,11153.8915697215,3.62702489347384,326856950852.558,,63.8392645452294,47.4711030686489,,33.3736671575088,,10.9085053323514
2007,9779.28931077126,3.78482378717857,266541586051.253,,62.3088390215657,48.4971686609346,,35.1756082329367,,4.41482490193262
2006,8304.54162975558,3.97744183874027,217722507812.623,,63.2710549955736,47.3926702644534,,32.6648691420689,,7.47313102325575
2005,6858.63425667334,4.33593634144269,184920661067.93,,63.6136458113656,43.6124712135244,,28.4498865082978,,5.90277544484543
2004,5710.14182225935,4.46124565889623,152075048488.835,,61.3948537791123,42.2245185310461,,26.6978245665773,,6.8454497467977
2003,4720.38525263162,4.50060495174157,122017967102.742,,59.3074701652019,43.3014658205117,,28.1577404928933,,4.92109976135448
2002,4226.47335934843,4.19117484532149,98101207750.6247,,59.826989336782,45.1020047307415,,27.4246018539174,,3.41434955563082
2001,,4.11818056490536,90955180962.8853,,63.0708387130265,45.1055578117488,,24.8634638211718,,6.19438569623907
2000,,4.14864899114243,91477185767.4148,,64.9337087745298,43.069176579217,,21.3611894090403,,3.98428893403981
1999,,4.24780029655881,80843311483.3934,,61.7112665866435,45.1240066192991,,20.0138910878217,,6.57191240445168
1998,,4.55933079327741,75063728532.379,,56.0363499328415,53.5067993142222,,29.0804410234442,,4.36585370439701
1997,,4.1071111233081,76671793835.2942,,57.2938658787051,51.6716875719104,,29.5830304057362,,4.94784575735905
1996,,4.04199177086129,73635004539.8395,,55.6372493661363,52.918446108939,,29.2604668833704,,5.32918704763787
1995,,4.04487678574175,69824604272.4735,,55.0688726793435,53.7316014106633,,28.9490597084133,,6.58354624145096
1994,,4.0744599605314,60970541243.5437,,52.2514675372389,47.1466272820742,,24.3547404768252,,7.76663660903034
1993,,4.25288580665308,58358348363.7635,,,,,,,4.97272789409617
1992,,3.9619087259746,61329709582.8053,,,,,,,4.11698960862175
1991,,3.83958724218044,56196747030.7594,,,,,,,5.58681906101458
1990,,3.73428423518512,54573644367.0915,,,,,,,7.61833942708334
1989,,3.78805224170606,45566482948.2326,,,,,,,6.84434001949122
1988,,3.74830740302231,43514329713.6694,,,,,,,7.55887864066661
1987,,3.74670800958738,38707396624.7727,,,,,,,5.55168251732481
1986,,3.70512629943582,32614504237.5241,,,,,,,7.70741859978626
1985,,3.65099414831673,32206399804.2875,,,,,,,6.69197470126036
1984,,3.74245686309861,33887046492.0272,,,,,,,8.88410012090033
1983,,3.85513894575727,33644394988.5231,,,,,,,7.53856849875925
1982,,3.72517394599273,35614434209.9801,,,,,,,12.0382972601916
1981,,3.67357609596891,37652531045.6861,,,,,,,10.0100209398594
1980,,3.62582918631381,37456560817.3273,,,,,,,
1979,,3.117317693134,26975909860.1988,,,,,,,
1978,,3.13776483628935,20775039302.4291,,,,,,,
1977,,2.85410000049001,18830642612.0119,,,,,,,
1976,,2.7085911170809,16721818988.2239,,,,,,,
1975,,2.6061345731233,13451299416.4273,,,,,,,
1974,,2.88992381370454,,,,,,,,
1973,,3.38084452329239,,,,,,,,
1972,,3.44076308139708,,,,,,,,
1971,,3.51696054824741,,,,,,,,
1970,,3.61343850291262,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
