date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,17280.0,,283994900.0,,46.9948932181529,76.3032364313585,101.769201470043,26.6626084678066,41.3588244014241,-2.47597731387631
2017,16400.0,,286321800.0,,50.0205363335939,77.3533136491877,99.8660263691004,27.8436788388354,42.17272313879,-1.12084691182194
2016,16870.0,,300125600.0,67.5444910397514,51.8758146589295,71.1705032826257,94.6672460722654,26.0838927314935,41.17847960987,6.19787424215296
2015,16180.0,,280376100.0,63.4832359106215,58.3500933876044,75.6379682585145,94.6735439916309,25.2888561933607,40.7222537869669,4.75695772516215
2014,14020.0,,243147000.0,21.7444249774828,61.2416357183103,91.4464500898633,102.972017390413,28.6318187251351,47.2614426663705,4.28417532494261
2013,12830.0,,223388400.0,22.9852875082144,59.34484512177,87.5095125798833,106.131934794492,22.4274060787688,49.9996181538522,7.33742711996493
2012,12590.0,,211103300.0,27.4390916674443,60.7254363148279,90.2844247342415,106.75262062574,26.5954495571604,55.6704807551564,7.32231530132306
2011,12140.0,,193143900.0,26.2514565564846,56.694827017576,86.3083431576146,107.532968378366,28.4191367058287,55.0678825476756,0.372479962204665
2010,11430.0,,183498800.0,33.1877549062991,50.2962417192919,76.7456244945471,107.440926356782,24.5617862274184,52.0799890789477,-0.217732605717686
2009,11200.0,,183369300.0,24.8034436516909,46.7450112968747,72.196818115137,109.325901066034,23.526584167692,53.216024165441,-1.21818355479297
2008,11640.0,,198024400.0,23.6179844504011,50.3103657933063,81.0390537731714,103.713278671132,30.0359061207471,51.7685628639703,7.76215479949893
2007,11660.0,,194630300.0,,47.1996909011598,74.248819428424,99.9476901144652,34.0867203430616,,1.59880304316205
2006,10760.0,,189028900.0,,48.3590604399645,82.9790047976791,100.908801039402,38.1581522824128,,4.02718770449523
2005,10570.0,,184468800.0,,45.5221153929553,78.635628355581,96.8540170172804,42.9381710884355,,7.51344590970653
2004,9420.0,,164886100.0,,41.483727251721,85.4598416725242,,,,2.15290192190562
2003,8820.0,,153761900.0,,40.9779665833994,77.6676146691736,,,,-2.92995457700104
2002,9180.0,,163026600.0,,46.0496017214369,81.4535787411379,,,,0.537969055084602
2001,,,156737100.0,,44.6386975387448,84.307161482508,,,,0.812149418028255
2000,,,146113700.0,,43.8635117719967,109.780807686069,,,,
1999,,,,,,,,,,
1998,,,,,,,,,,
1997,,,,,,,,,,
1996,,,,,,,,,,
1995,,,,,,,,,,
1994,,,,,,,,,,
1993,,,,,,,,,,
1992,,,,,,,,,,
1991,,,,,,,,,,
1990,,,,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
