date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,14100.0,,585663814824.044,,55.5903768930458,52.153985217767,75.8608234897,20.7027848350212,,1.15401914974605
2017,12730.0,4.61441349781309,526216495118.144,,54.3540852704993,50.1707119619053,76.0236432295988,19.8242094200822,34.217364850935,1.82910500172827
2016,12710.0,4.61441349781309,472028000405.803,,52.1945482055889,48.1581441632744,76.3787456101514,19.5867846749685,34.8048371081375,0.30876259197737
2015,13320.0,4.61441349781309,477576866958.483,,49.497951923814,46.4049513783269,76.4477348955076,20.4602088848845,34.2582820157025,0.769528695514992
2014,13640.0,4.70933062032392,545389126644.476,,47.5689217230576,46.1280028830002,78.2004498875281,20.3586312724145,34.8116808007301,0.49955707860417
2013,13480.0,4.76966531016196,524234322596.975,,46.3198331819457,44.3720332308324,79.0710334692301,18.9811665796565,35.4485951131484,0.289942770233907
2012,13220.0,4.83,500360816827.883,,44.4435920646854,44.8838700768676,79.4493763137303,20.9909016984519,34.8568360004296,2.349719331907
2011,12900.0,4.8,528832185770.217,,42.5631723792845,44.5195503770685,79.5165889723415,22.4397890254426,34.722406600869,3.22912192023782
2010,12730.0,4.99,479321460551.189,,40.055130499039,42.053195949901,80.684813789267,21.313251661595,36.5906546608381,1.65966092604037
2009,12510.0,4.9,439796160379.475,,37.1844501708196,38.0414631018038,80.2838928209135,20.5731201100708,36.4761027482714,3.77123378902394
2008,11990.0,4.84,533815789473.684,,37.8569890106985,42.8974650660268,80.3844894791804,24.6559865761479,35.6475430167433,3.87662238924693
2007,9940.0,4.72,429063549983.742,,38.564590078351,42.0974145443982,78.3251165160133,25.2077079500339,34.9884010255935,3.71332653511391
2006,8460.0,4.99,344748646558.391,,37.8639851040919,39.9274086204834,80.3670510289543,21.6963724874372,36.6396715721464,1.72568745730248
2005,7340.0,5.28,306125173852.573,,34.6096996571318,35.6652612704297,81.1505268216641,19.9050347916339,36.9406078742574,2.56901111008503
2004,6260.0,5.27,255102252843.395,,34.2648184150678,36.9483485556158,82.4529345316817,20.2305956088663,37.8600778940735,4.9122324772958
2003,5490.0,5.07,217513049291.61,,33.3912971522466,36.0460085349852,83.8228931471871,18.8318182355514,40.5262846807655,0.766547245830935
2002,4890.0,5.02,198680637254.902,,28.7582175059245,32.1662388032819,84.9626889147403,18.4454557454384,39.583428425508,1.84921594735954
2001,4700.0,4.9722133148,190521263343.023,,27.2298471104843,30.8453476072951,83.0574056860797,20.5579666014936,39.7683259078817,3.12291428613408
2000,4660.0,4.641433464174,171885598582.637,,27.2289540474839,33.5617483588387,81.7011854913846,24.6318765461185,38.2168367620129,6.11487273888849
1999,4430.0,4.28,169717677900.734,,24.1244818331558,29.8970572727529,80.3088430342484,25.4637324053487,38.600477953681,6.16270783307753
1998,4350.0,4.51501726798335,174388271853.6,,25.9820251489517,30.6785201024966,79.5150387167138,25.1816212345459,39.1221131587328,11.0271242652208
1997,4230.0,6.2600695,159117799530.388,,23.3593652679692,27.1144798244521,80.0527026897536,23.7022202205847,40.5038377140448,13.661969687921
1996,3830.0,6.4,159942880456.956,,22.0946519426189,23.380996331356,79.5812829586617,21.7052933291901,47.5959018788466,17.9623566294278
1995,3240.0,4.5,142137319587.629,,22.9605173449227,20.7178770058285,78.0786983982384,19.6786612626674,41.8694858754276,27.9783099118872
1994,2800.0,5.146254,110803391516.698,60.4543984704576,,,,,35.9752872149702,37.2340348170304
1993,2480.0,4.1,96045645026.178,,,,,,,30.642796378896
1992,2090.0,4.2,94337050693.2727,,,,,,,38.6254669379488
1991,,3.9,85500935934.9901,,,,,,,55.2559948106915
1990,,5.3463287,65977748210.5263,,,,,,,
1989,,3.819701,,,,,,,,
1988,,3.5636237,,,,,,,,
1987,,3.7557206,,,,,,,,
1986,,3.8702962,,,,,,,,
1985,,4.0278056,,,,,,,,
1984,,4.0229467,,,,,,,,
1983,,3.8275862,,,,,,,,
1982,,3.6483932,,,,,,,,
1981,,3.9498069,,,,,,,,
1980,,3.3186725,,,,,,,,
1979,,3.5278548,,,,,,,,
1978,,3.5278548,,,,,,,,
1977,,3.5278548,,,,,,,,
1976,,3.5278548,,,,,,,,
1975,,3.737037,,,,,,,,
1974,,3.7712146,,,,,,,,
1973,,3.7712146,,,,,,,,
1972,,3.7712146,,,,,,,,
1971,,3.7712146,,,,,,,,
1970,,3.8053922,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
