date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,21990.0,,240674524464.24,,43.5217306698203,43.4350262486775,81.7788726857787,18.1344228930786,,1.57692416573951
2017,20040.0,4.77075729265274,220811110492.149,,42.7242663980773,41.7148741234948,81.7638827314765,17.226724993941,41.4487422403207,1.51191022454982
2016,19930.0,4.77075729265274,206286022781.894,,40.2108236358286,39.0634059895101,83.0200578625714,15.8325244911101,41.1918509585492,1.71666282426661
2015,20440.0,4.77075729265274,199313894327.486,,40.6151154462762,39.8757783785883,83.4053409522449,15.8553219800671,43.7992306395326,2.01996419712307
2014,21190.0,5.06693648280863,229596170846.995,,40.2159680026703,40.0663398736754,84.5337537469802,15.3166181240249,47.5300541263809,0.704595562628143
2013,21370.0,5.15778265229109,226369502104.236,,39.6065049729616,38.5079296469449,84.2693054897404,14.6321191842429,45.376413519372,2.24865455494145
2012,21150.0,4.53415173938957,216236608773.976,,37.7780148210557,38.2728240456527,84.7928616587642,15.7019475658328,44.1579504686781,-0.38819614309368
2011,22720.0,5.14,244797226567.109,,34.4548615994609,38.644682399142,85.5920779787994,18.5977428208817,44.2851219064837,-0.265122417845717
2010,22960.0,5.45,237880908317.652,,30.0693089249393,37.7139865308418,86.5186765878901,21.1260010180124,43.9636554329515,0.642290538561596
2009,22920.0,5.47,243701635176.438,,27.2937427180784,34.1989508086976,86.0627006122579,20.8425074783613,43.6537962517161,1.09813550704034
2008,22590.0,4.76,262344779551.78,,31.2610790783868,40.8146638437736,85.9740916027429,23.5794931626439,40.2161198155823,1.73772471471185
2007,20850.0,4.99,240190803449.22,,31.1941845713373,38.7519330104618,84.4578621997416,23.0998862393828,39.2597998485338,2.96634514780449
2006,19390.0,4.92,208581694893.991,,30.3574044411002,38.1896486771007,84.9065709059199,22.9256733300806,40.1328688661404,3.18454241982073
2005,18580.0,5.04,197180330804.626,,27.0841675459537,35.8603370144983,85.4175555403962,23.3586139281485,41.4122391756876,3.33290390626802
2004,16140.0,5.0,189034502110.752,,27.6670515552519,35.5375421117759,84.0461667154072,23.8243238411168,40.4438055528049,2.39961460230072
2003,13260.0,5.11,164862142212.19,,27.3671918978917,33.7717555904736,83.2898583341997,23.1147053583821,39.8177284149672,3.42715367566173
2002,11750.0,5.11,134156091661.961,,27.0733622325977,35.2348971843795,82.2572054544591,25.9043294973227,38.5572250476999,4.1897815665227
2001,11830.0,5.15,121498889485.459,,27.4373261135265,37.6546290635856,82.0598111689317,28.1574917811274,38.1010897226308,3.71598262880428
2000,12170.0,4.96382479761336,118310710337.203,,28.2046205938904,39.2483773924343,82.2671180021843,28.7766387963597,37.2644705196522,3.42026894440033
1999,12260.0,4.7,127427343916.471,,26.4819747246951,36.8323550925286,81.3225596065259,29.0278207613076,37.1050557507587,3.37052851510143
1998,12190.0,5.3971968,123946327916.296,,27.3316272273762,36.4992716296598,80.8508822915759,28.3167621107077,37.2651415047739,3.82503291222362
1997,12370.0,5.5381901,117016535162.95,,27.1541447475915,35.1508067548668,81.4723178596194,26.5243441476558,35.8554576249456,3.88520742090091
1996,12100.0,4.8,122630089680.27,,26.5484648796224,33.6613401675442,82.7045237636745,24.4083515242472,36.8098223166157,2.39098521420348
1995,11210.0,4.3,118122007430.012,,26.7697318737852,33.1447402882201,82.1816307771898,24.1933776372451,36.7848430925372,3.42861765664561
1994,10450.0,4.4,99688640942.029,5.65740459085616,25.1335657785702,32.0437940814772,84.0711997690558,22.9507690810165,34.9705195121605,7.27762691927506
1993,10100.0,4.6,95009751901.2592,8.24573773536288,23.6001476341079,30.5750848980102,84.9988914451029,22.1454540811708,37.2413070064039,7.37643001333142
1992,9860.0,4.1,107592098901.099,,24.4586707912327,31.8486074619511,82.6121614481773,24.9460023608234,35.8791542638879,11.4460316508348
1991,8180.0,3.9,89233599833.4952,,26.5475593333791,33.8190409734185,81.6213339352782,25.7386803120654,34.7309025135684,10.0861865249748
1990,7130.0,3.3,78713859794.6843,,29.1691782230867,35.8864145776234,78.936526480994,27.7211308865807,32.3222999098227,13.1446505080935
1989,6320.0,3.3,60594092436.9748,,29.465190270914,35.4037066756725,77.4928852441747,28.2934750631701,31.1537753887189,10.5138048355474
1988,5630.0,3.2,56347251114.2061,,27.6366708395162,35.562710924869,77.5477992968606,30.4707775511107,29.7935423718905,11.1653919204644
