date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,10230.0,,1657554647149.87,,30.7411349729631,20.769322518279,66.7460561019287,22.7302219698247,28.9402188855765,10.2972476439678
2017,9230.0,3.62460988468421,1578624060588.26,,26.0520617365331,20.7087088808965,70.7541219828063,24.0921555654585,30.6293888862162,5.35935189741572
2016,9750.0,3.62460988468421,1282723881134.01,14.1758237480639,25.7371444401766,20.5652079720604,71.3717001731693,23.534252469717,30.8894899580109,3.17422609744524
2015,11770.0,3.62460988468421,1363594369577.82,13.5396406242327,28.7072623214268,20.643292075759,70.0896412453649,22.3882973522552,30.64510388854,7.58766240426043
2014,14650.0,3.60189946235943,2059984158438.46,11.1964258617083,27.1013291780763,20.6827897103653,71.3626129980326,22.620848628154,26.4522200570256,7.34959761228077
2013,15210.0,3.57918904003465,2297128039058.21,9.04888217925202,25.7929650488232,20.4003902447291,71.4775275322424,23.1299043742318,24.5563291512568,5.39417357495977
2012,13480.0,3.55647861770986,2210256976945.38,8.54382076495329,26.883444959239,20.2261070957682,68.7986039749127,24.5440829289848,24.1743856810078,9.03948235064669
2011,11070.0,3.55561188073058,2051661732059.78,8.61692283713047,27.9769230980408,19.9241768817416,67.5024636583079,24.4447229253385,23.2846855511918,24.8090325035403
2010,9980.0,3.55474514375131,1524917468442.01,9.09810564475071,29.2155607850389,21.1399447023288,70.2129653937177,22.6150505520224,27.3772390022191,14.1911095682799
2009,9230.0,3.55387840677203,1222644282201.86,8.69786633508402,27.9381012042961,20.4969598237716,75.4230812589249,18.9263757355943,32.1089747155738,1.9706126033567
2008,9580.0,3.55301166979276,1660846387624.78,6.49528743788997,31.3095603335689,22.072905707322,66.7286882174978,25.5012197086864,21.5321667594705,18.013518334638
2007,7560.0,3.55214493281348,1299705764823.62,7.15843011662711,30.1640604847185,21.5420622610532,66.075919268964,24.1645140336109,23.0065326912153,13.8412392394439
2006,5810.0,3.55127819583421,989930542278.695,9.89107286043072,33.7304754438509,21.0029264232118,66.1647537268678,21.1715918032687,19.500541407903,15.1204066300906
2005,4450.0,3.55041145885493,764017107992.392,16.660868447567,35.2030659646294,21.5101825251255,66.8133118202926,20.0774969175315,19.9480998631588,19.2794321339972
2004,3410.0,3.54954472187565,591016690742.798,,34.4178910548533,22.1639613425553,67.4092402802712,20.9012750793662,21.5738426684628,20.2551495766046
2003,2590.0,3.54867798489638,430347770731.787,,35.24998177498,23.8782872312785,68.5837345958915,20.858958480261,23.046306391951,13.6571368146764
2002,2100.0,3.5478112479171,345470494417.863,41.3527168644107,35.2125940630626,24.432851668898,69.1020728498223,20.0295461890033,22.5352476801625,15.6619063057647
2001,1780.0,3.54694451093783,306602070620.5,48.9836153351704,36.8934935960337,24.2173650683869,65.8214990002217,21.9498173349418,22.7585313017298,16.4796193576459
2000,1710.0,3.54607777395855,259710142196.943,62.1488888669576,44.0604413055146,24.0334657318409,61.278630475171,18.6937601947688,21.1628915021522,37.6979282096906
1999,1750.0,3.54521103697928,195907128350.934,100.744137724205,43.2199685128244,26.1733129859875,68.1223498717199,14.8303000466388,20.2861006003545,72.3866054687457
1998,2130.0,3.5443443,270955486862.442,143.948999533393,31.22120547318,24.5510478117966,76.2010371828966,14.9641222334913,25.0415363723241,18.5389673403481
1997,2650.0,3.5443443,404928954191.876,,24.7298415292289,22.527079880846,75.8202512343576,21.9763894687502,,15.0585036433415
1996,2600.0,3.5443443,391724890744.498,,26.0729881302908,21.8495126891282,71.5151932307251,23.6674001136852,,46.0363776694366
1995,2640.0,3.9,395537185734.854,,29.2890113495619,25.8938941161638,71.1644573087109,25.4388784044713,11.5640493066226,144.00686716429
1994,2650.0,3.9,395077301248.464,,27.7583790421613,23.1953336062219,69.8995006139992,25.5374539500614,27.0478919361441,307.298056894738
1993,2920.0,3.9,435083713850.837,,38.2045944842866,30.4938487551746,65.2820826773949,27.0071715934931,,887.840736221493
1992,3080.0,3.9,460290556900.726,,62.3224618621778,48.2546028406102,51.3187795896896,34.6133613887428,,1490.41842486115
1991,3440.0,3.9,517962962962.963,,13.2713621737576,12.9853414372542,63.455130496961,36.2674293886307,,128.629771683168
1990,,3.9,516814274021.956,,18.1620614715927,17.9447376591121,69.6542999068612,30.1303942874884,,15.9029112572744
1989,,3.9,506500173960.269,,21.9022687609075,21.0122164048866,65.2705061082024,33.8394415357766,,
1988,,3.9,554713455149.502,,,,71.6825753322104,27.2693243496163,,
1987,,3.9,,,,,,,,
1986,,3.9,,,,,,,,
1985,,3.9,,,,,,,,
1984,,3.9,,,,,,,,
1983,,3.9,,,,,,,,
1982,,3.9,,,,,,,,
1981,,3.9,,,,,,,,
1980,,3.9,,,,,,,,
1979,,3.9,,,,,,,,
1978,,3.9,,,,,,,,
1977,,3.9,,,,,,,,
1976,,3.9,,,,,,,,
1975,,3.9,,,,,,,,
1974,,3.9,,,,,,,,
1973,,3.9,,,,,,,,
1972,,3.9,,,,,,,,
1971,,3.9,,,,,,,,
1970,,3.9,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
