date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,15600.0,,1590180446.19384,,87.0342428198024,102.082637916792,86.2827503150595,32.5438921000577,,4.0557425978365
2017,14220.0,4.53410999094786,1503168689.81984,,89.8925636134747,102.141294787178,79.293827389678,37.0476126016558,,3.41558560858543
2016,13830.0,4.53410999094786,1427524565.30226,,80.6824164114967,92.895289614896,77.4961051813679,36.2686950423884,33.3269449213577,-0.791121415263277
2015,14020.0,4.28912422973342,1377495054.04127,63.3403933800613,81.0912580145093,86.1168828237102,74.2097413141819,36.8568909923201,29.1503975731751,2.08971006196927
2014,13290.0,4.04413846851912,1343007845.04468,68.83635968787,88.0123586712212,99.2447889324877,75.7399807866661,39.3634706457106,29.0908065244127,2.28992550403943
2013,12650.0,3.13329543191383,1328157608.83087,51.5506298157061,90.8113046867575,91.9996008623671,72.4068731496811,33.8428464493008,27.6462639481181,4.03663905544053
2012,11540.0,2.74674156643201,1060226125.62616,78.1418056718111,99.3293601451528,117.153821666139,84.8521506717711,40.0223902235115,27.7947305951448,8.65859087963547
2011,11060.0,3.49,1065826669.89742,78.8413155501667,95.7690959381631,111.387967565929,80.5850257653834,35.0333434374053,26.2995771783116,4.49623580514537
2010,10190.0,3.62600000000004,969936525.298729,75.3534158588627,93.7987808628791,108.081823152499,77.5651431012388,36.6253737718924,28.6411535366083,-4.2127237664955
2009,10220.0,3.76200000000004,847397850.094417,100.445570307955,107.994354461112,117.028752276077,81.7885823289691,27.2782450359837,26.5897723032169,27.4941792625738
2008,11130.0,3.89800000000005,967199593.960157,176.92433805069,101.392585547174,112.126680878977,83.851231004701,26.9049961736088,24.932808032579,34.965127887753
2007,12270.0,4.034,1033561654.0568,,90.6255602079122,91.8130681490038,72.178149003754,29.0210799884493,31.7362016757147,11.7998385794996
2006,12580.0,4.17,1016418229.25159,,84.3673369506291,100.530267086015,82.7458119751629,30.4438761706388,33.812665746898,1.44234462211674
2005,11140.0,4.5633333333333,919103254.545455,,78.3013419068021,100.007097827509,,,30.4863146851104,0.45864515703262
2004,9280.0,4.95666666666663,839319927.272727,,74.0100275123175,81.5632270767441,,,,24.6741201604214
2003,7490.0,5.35,705704816.042365,,88.8835594154226,86.5176212840763,77.9456642090625,10.9023062996878,,5.94683161871508
2002,6850.0,5.26,697518248.175182,,77.8664006906655,85.3843632272917,73.5890278359146,27.619532231059,,3.61316523711557
2001,7310.0,5.245,622262057.191635,,83.7914346072595,103.600010974238,80.8128261406349,40.6595517023787,,6.15675886503352
2000,7290.0,5.23,614879764.780006,,75.4732018330345,81.9044687330999,78.0918253493866,25.1814533344719,43.1246975777759,3.98372723123323
1999,7290.0,5.215,622985493.682733,,23.2888862181895,69.6164107802782,74.368296127152,43.2503079650272,44.4250818736292,2.05663148577445
1998,7320.0,5.2,608369282.225727,,20.1063942773248,62.9593914972043,81.2638615562428,34.5921969200013,46.0812794802112,4.36585370439701
1997,7330.0,6.3367782,562958836.519905,,20.1169776646876,60.4726816511168,79.0571105456602,31.9091037602488,50.3180661577608,1.08375594602825
1996,6740.0,6.5,503068472.20266,,27.7347012239021,75.2690184785217,70.3223742100632,39.0848732101432,51.4598832093432,-1.53238913650496
1995,6460.0,6.5,508221508.221508,,10.4749390521053,45.8330234287839,76.8232717656295,30.3334572951531,46.8451716871204,-0.778737947332147
1994,6530.0,7.6,486451204.557142,,10.3958282507929,42.3829389281939,75.872163942425,27.0594453931853,47.287956412133,0.961121780284401
1993,6390.0,7.2944203,473916819.453826,,10.7925557908454,50.2874246619971,81.7804202638866,28.3922462941847,48.4647336699788,4.10201692281942
1992,6000.0,7.1,433667193.814795,,11.0598325229606,44.1593282910139,82.3878984332793,21.2092562578786,,4.67956079307501
1991,5200.0,7.2944203,374359556.084926,,13.0432806423918,45.9787384475532,81.2787232968032,22.31200444422,,-2.04315498252245
1990,5030.0,7.9,368584758.942457,,15.3273854913324,50.5200040669005,79.6858319353363,24.5742463524986,,6.82671508787533
1989,4540.0,7.9,304832867.393246,,11.2445903544451,54.0474201045904,71.0517141196978,27.4549680418361,47.2980825101685,1.28710785859786
1988,3970.0,8.6,283828769.029925,,11.2123531039794,56.0620272981001,68.1146884338733,25.5430081627025,45.0193064696978,3.85939219586085
1987,3200.0,9.2717543,249267039.782675,,8.88848930526776,45.4115004862463,68.9663818439391,19.7650615464244,46.1423564409278,4.14097988515945
1986,2740.0,9.7,207850623.637094,,8.85243603224676,50.7820228219808,70.0860692448495,22.7986135451961,44.1328815671613,6.74113065511716
1985,2490.0,10.2,168887539.130818,,16.5731595983069,58.4876753257532,72.1470661465682,22.6989791683957,43.1986056934185,1.51364750559576
