date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,18260.0,,105904632155.755,,96.0902870846423,94.0648049902185,74.544461243566,23.4300566620101,,2.04124778445261
2017,16650.0,4.05253329240585,95241436351.7628,,95.1058890456424,92.9174371477077,74.7851358433726,23.0264122586928,39.0041211233171,1.21489608876726
2016,16950.0,4.05253329240585,89640741266.0295,,93.7275041002486,90.7781953535867,74.0005695326161,23.050121720722,40.2156217858208,-0.507606740935998
2015,17520.0,4.05253329240585,88457167724.277,,92.0228927438907,88.9479636939641,72.6692584002462,24.2558125498272,40.5848750494589,-0.218499940516054
2014,18240.0,3.98032010654749,101171217100.824,,91.5183156556527,86.7003263329704,73.4347628331652,21.7472478441525,39.6816645793078,-0.190516476841267
2013,18140.0,3.82919027947079,98723944143.6938,,93.6153562017378,88.0119688232825,73.4720824177631,20.9245302037816,39.4236999619863,0.511053251620638
2012,17540.0,3.74,94416582465.2848,,91.0358772574459,85.5166107173903,73.8074456715112,20.6732877884332,38.5373817382553,1.26693526740689
2011,17240.0,3.72,98997521242.3941,,85.0149858061686,84.3097336497469,74.0506577694757,25.2440900741026,38.6955419555883,1.67173222680177
2010,17240.0,3.71,90183986821.6439,,77.3169750695534,77.6270922793139,76.4362834903177,23.8738337194427,39.5341242598868,0.487940516761356
2009,17050.0,3.8,89046289247.0131,,68.0361180943086,68.2045729281013,79.6655316887285,20.5029231450642,41.6238520511863,-1.16122294817393
2008,17200.0,3.43,100469509301.304,,80.1479953487459,81.9228612507959,73.3608036934076,28.4140622086424,34.7108392537081,2.8580749443984
2007,14880.0,3.49,86454081576.7862,,83.3808614210341,82.9486915133953,71.3622845728643,28.2055455194968,34.6792013191447,1.11554449771816
2006,12890.0,3.59,70708098105.6329,,81.2398533216646,83.3864331854633,73.6751049143985,28.4714749494002,36.7908228012333,2.89907382207626
2005,11310.0,3.63,62785305310.2848,,72.3018934642515,75.4260021221074,73.4560943875077,29.6680142703481,38.1307830278314,2.54310465575838
2004,9000.0,4.02,57332015147.7527,,69.0463247537288,70.6040525429178,74.80852115329,26.7492066358991,36.6290934712688,5.73872830171285
2003,6940.0,4.11,46816589164.7856,,62.3343488872503,62.8133300938213,74.8953374508052,25.5836437557658,38.0185652198587,5.32528197063378
2002,6000.0,4.02,35130340673.8189,,56.9704951847734,63.4033914196547,76.347722310773,30.0851739241083,43.2923103711542,3.93782511312182
2001,5710.0,3.7,30752150335.5705,,57.1181854095185,64.5611061177352,76.7941671083884,30.6487535998283,41.7737739981763,5.1214846027507
2000,5520.0,3.7,29169953012.7142,,53.205468406987,55.582946714967,75.3194767567372,27.0580015512427,49.974108579474,9.4895320837185
1999,5360.0,3.96,30453383763.0514,,46.3477064742072,51.1361711384585,75.4970464476311,29.2914182166202,45.1542051500538,7.2150541826559
1998,5420.0,4.1838182,29856000671.216,,45.5169214920153,56.5532269802785,76.5951562481792,34.441149240084,41.4893631769962,4.85331456575149
1997,5400.0,3.9,27706028095.6157,,53.6089814116398,63.9790275731084,75.5361635380212,34.8338826234474,42.3173946176479,4.78876855622963
1996,5000.0,3.9,27925036755.3866,,49.2927561722145,62.5252724862607,79.1512484038609,34.0812679101854,49.1070652944008,4.53846019392323
1995,4200.0,3.4,25840146405.2288,,53.9263117552502,54.6255176117499,77.0660560008159,23.6331498556839,42.295142705438,9.89107205230411
1994,,3.4,20162935816.8229,,55.3243281660773,53.0477709929239,77.8562599511845,19.9533364989857,,13.4484872323922
1993,,4.0,16520676622.1598,,52.4540997507918,59.7416043526792,84.492178313827,23.456036412614,,15.5779092259495
1992,,5.2,15495514426.1871,,63.2392175295601,69.8215096216351,80.8083710317263,25.526648970932,,
1991,,5.2,14272201508.221,,41.5805881094109,46.2620218145618,77.025890255303,27.6144712211934,,
1990,,5.2,12747380523.1082,,23.8134894402518,33.3540517973952,81.4070206658437,29.3522088989314,,
1989,,5.2,,,,,,,,
1988,,5.2,,,,,,,,
1987,,5.2,,,,,,,,
1986,,5.2,,,,,,,,
1985,,5.2,,,,,,,,
1984,,5.2,,,,,,,,
1983,,5.2,,,,,,,,
1982,,5.2,,,,,,,,
1981,,5.2,,,,,,,,
1980,,5.2,,,,,,,,
1979,,5.2,,,,,,,,
1978,,5.2,,,,,,,,
1977,,5.2,,,,,,,,
1976,,5.2,,,,,,,,
1975,,5.2,,,,,,,,
1974,,5.2,,,,,,,,
1973,,5.2,,,,,,,,
1972,,5.2,,,,,,,,
1971,,5.2,,,,,,,,
1970,,5.2,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
