date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,12025.0996008854,,536146593001.887,,57.4215431278991,49.5362162289741,,31.46083300572,,2.86307099027539
2017,11312.6832984675,3.84547768808729,485229402182.511,,56.0528978772415,50.1878655962049,,31.8349579391493,,3.05538972599337
2016,11709.5267690914,3.87964795696336,444682719510.476,,54.4351624883424,51.9796232107577,,33.3664794886798,,1.84292898957733
2015,12644.0661110093,3.83262927565784,452388898666.291,,59.251541853924,51.3758964007264,,28.7877665894748,,2.15462198144615
2014,13346.5187631691,3.8534334115645,531272029657.235,,65.4543624688475,50.547430284319,,26.9429833517643,,1.62939311536872
2013,13200.1053184519,3.73718542732727,517156724537.915,,68.4287563295323,51.4716083275166,,25.3207322456001,,2.14290657776588
2012,12299.0622257148,3.7611136100551,500575321784.081,,69.3198785546138,51.0896121374615,,25.9734400493295,,3.26728794531385
2011,11122.162331837,3.83079370969693,478092649108.02,,67.5260865938904,48.4223113270153,,25.7111385557959,,4.5721235036915
2010,10418.2322444023,3.97860501124633,395383133039.094,,59.9231221442469,44.9721687152598,,27.5965486738008,,3.60302059581967
2009,10036.7368239859,4.0225395522637,343779811658.845,,54.1500440498807,45.9682502632317,,31.5058269254262,,1.2464608260162
2008,10199.1954407995,3.73226565350416,402511552643.895,,61.395967622408,49.2363214440475,,32.7475946519172,,7.62912829427005
2007,9011.63736585139,3.82424738013982,333579064011.315,,59.9006660302447,49.5255971441856,,34.4578687460735,,4.88643863563524
2006,7783.98196321016,3.99901065564776,277903305543.507,,60.6870858944888,48.5445046008095,,32.3386945218956,,4.55936580788465
2005,6577.29937837818,4.30511199710625,239108587971.487,,61.1359777314822,45.0620410252594,,28.1235857244505,,5.40733788532146
2004,5609.41101916745,4.36738545252463,200133093930.769,,59.2161894095048,43.4343140363131,,26.3533347492223,,4.67899925581784
2003,4741.45589961087,4.42096548288325,165720794817.131,,57.2254299168112,44.238610932974,,27.6503504873547,,2.85272574158842
2002,4278.79408772699,4.3098744276075,138666713861.679,,57.48471984568,45.6709231075152,,27.0441081306943,,2.89590389929841
2001,,4.23208100319754,129609057234.039,,60.5057083201036,45.8486254349648,,24.7384957957696,,3.66030474513528
2000,,4.22599953575247,129152752447.675,,62.5213497818113,44.3043905468426,,21.6513661456796,,2.89197909971676
1999,,4.34506843378147,116499517707.951,,59.624468975136,45.7935856761603,,20.3190598626708,,4.43825936396784
1998,,4.60018466120525,108605731058.466,,54.5387997973787,53.3681364762762,,28.5917031181677,,2.99126655083369
1997,,4.2345264967182,108791500114.645,,55.9089796035822,51.930883270002,,29.0716548898125,,3.03688260108542
1996,,4.14829982185382,101552850575.855,,54.913575806689,53.4745331731777,,28.8062973622357,,3.41525344552821
1995,,4.12996189039038,95436137370.5369,,54.6952938127804,54.2904715100021,,28.4624745540887,,3.06875804504432
1994,,4.20778970310052,84247130793.9177,,52.4917212860771,48.2746882298899,,24.1843852386129,,6.5554303475937
1993,,4.29060260753457,80182805778.9698,,,,,,,3.0229746021823
1992,,4.04643654746008,81362823463.5065,,,,,,,4.19865497605819
1991,,3.96023703685017,76410597888.1188,,,,,,,5.72899823541016
1990,,3.91763955622725,74891755516.283,,,,,,,7.14866438021146
1989,,4.03374812404288,64412149374.5256,,,,,,,5.82485750492775
1988,,4.11945758615199,61914964007.2006,,,,,,,6.08652854407786
1987,,4.16861213316734,56157798733.2772,,,,,,,7.14906355799487
1986,,4.21923695434019,49143634985.9573,,,,,,,5.21739130434784
1985,,4.31468962704209,50105665928.5714,,,,,,,5.9873722723695
1984,,4.36254540471881,52047107956.9336,,,,,,,6.73992673992672
1983,,4.54446893232155,52507848422.5565,,,,,,,5.97696702359711
1982,,4.34736220158836,54278212822.5628,,,,,,,7.45169459414661
1981,,4.08610477078642,54515581426.543,,,,,,,8.3384781735232
1980,,3.88798449635505,52770332087.7659,,,,,,,13.6031786474421
1979,,3.65149751551977,39837893748.9367,,,,,,,12.6718897423209
1978,,3.73259445951966,32105310053.8903,,,,,,,7.55455597004561
1977,,3.59828889138458,29851166110.3762,,,,,,,
1976,,3.34634338627402,26286407840.4958,,,,,,,
1975,,3.3179901322005,23027786984.8095,,,,,,,
1974,,3.33257009915675,20229062844.526,,,,,,,
1973,,3.48559407910904,13022836567.9457,,,,,,,
1972,,3.45612047117749,10450597636.3442,,,,,,,
1971,,3.37717131844166,8868463787.94361,,,,,,,
1970,,3.38182751420023,7883215868.29519,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
