date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1923.19877362894,,3452423671397.97,,18.4414470738409,23.6708010011028,,30.0326239906002,,4.2257728477384
2017,1746.17646840973,2.81878732045081,3347112384045.09,,17.5168797675063,22.0402088843747,,29.5035911473621,15.1454386942999,4.5591496223966
2016,1624.38770810686,2.81388395147447,2919989612835.99,,18.0243336325882,21.0885215172939,,28.6929577796668,15.3238388763169,4.61327361640684
2015,1535.53265742356,2.7991709747615,2697257680240.0,,18.7640975369908,22.3365478767042,,30.311617552557,14.9844230957115,3.83365836877334
2014,1489.38220769872,2.81361166404658,2581822524299.29,,21.5976928772025,25.6919580842453,,31.9510816398621,14.7098528933916,5.15481617364915
2013,1444.82777520603,2.80353370040616,2357132395290.35,50.9779050508461,23.7097965233719,27.8703083011364,,31.7579183165875,16.29827450608,6.33363452942537
2012,1397.59937600159,2.80937745677067,2297332220294.97,51.246960484272,22.9197443207574,30.3567883382084,,35.3719019485496,15.925188008314,7.61807247644948
2011,1283.57150703323,2.81347298595631,2271837818236.64,52.1680532110275,23.1030254199862,30.1534639861894,,36.1088861772538,14.6201969861755,9.7723720606843
2010,1153.25631101691,2.82351555089811,2060781195902.96,52.041591715692,21.043085052082,26.2431026875571,,36.6343513029227,16.316654385323,8.83533979287841
2009,1058.60721153504,2.83478770570807,1683456769133.88,56.1829462788648,19.4818096833004,25.6026094808624,,36.5002914160908,16.7399494489659,6.90236006049216
2008,953.549369773956,2.84360123926866,1527472598443.91,57.1374256155317,22.6295071823443,29.1072511021402,,34.9152444368451,17.0452055019236,8.52746785916305
2007,871.810696466534,2.864208120497,1504193490561.02,58.1654124459669,20.0872742413023,25.068678801992,,38.145611122991,15.0349887637685,7.43880413562282
2006,760.339399491842,2.82838804552624,1196088040879.35,60.4286337256198,20.5388854619756,24.9287650715905,,35.8066280286939,14.9533055791337,7.36293696504296
2005,684.6379822415,2.8395538811827,1040032130800.62,62.9686766890991,19.2779703119571,22.9025364157645,,35.0522355542859,14.856483617521,6.57292855375347
