date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,29340.0,,1419041949909.82,,35.1166576414935,32.4030334563585,76.9111947915185,20.3751810233465,,1.09310637486971
2017,27040.0,4.048234018203,1309309642308.24,,35.1783922236242,31.5991868337295,76.9926790936742,19.4281155164312,18.8160891246757,1.38112077768129
2016,27530.0,4.048234018203,1232076017361.53,104.572915274022,33.8800904977376,29.8925339366516,77.2591215973569,18.7533218415571,19.7751921281333,0.322898793520409
2015,28430.0,4.048234018203,1195119269971.52,104.744568142593,33.6265184346551,30.586122736848,77.963325569094,18.9962787330989,20.6061674662905,0.545556009835707
2014,29130.0,4.08329466481401,1369398844599.58,112.209923460474,33.4825675913959,30.3830421311466,78.9984672889228,17.9020072508279,21.9091456928106,-0.223368485312221
2013,29210.0,4.10550097461227,1354757433212.72,99.9225891215183,32.9625774735678,29.033721828239,78.8554493172917,17.2156950373794,22.7102909987573,0.398439552805712
2012,29520.0,4.1,1324820091194.67,84.5815735867772,31.45527248111,29.390097362135,79.49915575517,18.435669125855,25.7823933492322,-0.114557740159839
2011,30950.0,4.45,1478772824224.03,62.3177975508086,29.5349622049272,29.2582088303504,79.1513711230791,20.571875502344,19.7653988717412,-0.0197507478863059
2010,31880.0,4.41,1420722034063.0,54.0245375520116,25.9516793464024,26.9765612109155,78.7218155156711,22.303066348842,19.9148138031843,0.153388675098938
2009,32460.0,4.44,1485583495415.39,51.207696019963,23.0616941747255,23.933180152302,77.5681435824349,23.3033423951416,21.6099345099657,0.143905293766267
2008,32190.0,4.1,1625224842536.99,37.3808318444364,25.6239291743162,30.3594008693685,76.280912557535,28.4545591375172,17.7220129765371,2.25424800208627
2007,29740.0,3.85,1472131125102.66,32.2607076358179,25.984738814678,31.7628649449253,75.3359013480683,30.442224782179,17.1498197647877,3.41644715828198
2006,27820.0,3.8,1259343871534.31,36.0784830356391,25.2413025005404,30.9358323130671,75.1291811404999,30.5653486720268,17.0597804593041,3.97958531407545
2005,25870.0,3.82,1153285660987.44,40.6065343331489,24.9792690409411,29.783028542406,75.4165871395805,29.3871723618844,16.9385684261832,4.10104389006925
