date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1560.0,,40851536133.7642,,10.2488354394272,12.3456378998456,78.7299006330837,19.2712516736089,,23.9347802893319
2017,2390.0,2.18,123053386001.137,,9.69182225518747,11.8153243800271,79.1340138494556,18.8911924028623,,32.8613567035349
2016,2130.0,2.18,95558220776.921,,9.82885176193902,12.5270772719385,79.9999663060856,19.6123767855669,10.4779650223475,-2.74533622725743
2015,1980.0,2.18,96741742021.6738,,8.1822260943338,10.9185780159547,79.2903497216315,16.5600413445497,9.40997514788719,17.9037584478598
2014,1820.0,2.18,82151588418.8325,,8.14913451754716,11.3096997374859,77.4774541234079,16.4396596857771,10.6897064795667,33.8951741442705
2013,1210.0,2.18,72065940085.7719,,8.84055176839889,14.8879562680523,79.8551702995775,19.5319466792078,10.5536918169797,34.9034002457985
2012,1710.0,2.18,68125631150.2939,,9.21919168401475,15.501809100857,81.0724389436284,19.1390911528021,10.7932250705907,34.8762038438988
2011,1480.0,2.18,67327289319.733,,17.567632793895,15.5440389443014,78.9065073049674,21.5781093122728,,21.0015802778258
2010,1260.0,2.18,65634109236.7736,,19.7434981872642,17.2321111733096,77.3976548967976,23.0457219105117,15.9641492334043,19.580752767628
2009,1180.0,2.18,53150209167.934,,15.9688063277202,19.9982388911792,82.981756816394,24.4958949850585,17.1885260763394,3.95947681984256
2008,1130.0,2.15,54526580231.5568,,24.0955356559534,19.5895162629226,74.3989701351368,24.5752677832725,,14.2495838922984
2007,920.0,2.06500000000001,45898948564.0593,,21.8865604123274,22.6665104997251,77.2080710592263,27.5918981750909,,6.66943396846374
2006,740.0,1.98,35822408611.5588,,19.0736627469444,26.6712513542981,83.1396776466054,28.9223320985723,,9.37678671296783
2005,590.0,1.57,26524538565.7403,,19.1781581044489,28.4018632017117,86.0874545025147,28.1286340796886,,8.62486375863602
2004,490.0,1.66,21457470202.7839,,17.7579629109949,20.032352564081,78.3367693717009,29.3206131399083,,15.6738093463328
2003,420.0,1.46999999999999,17646503525.1743,,14.8278627220547,17.1697688155457,81.5598642883344,26.7146628619492,,9.67006074810681
2002,370.0,1.28,14803189092.7044,,13.9789993078504,17.4173901149228,83.3914532271837,26.4230531461252,,7.38897249872934
2001,340.0,1.17499999999997,13182979783.533,,11.3978614710437,12.7954662887514,83.4843229336774,24.4766638943825,,1.60710316187962
2000,340.0,1.07,12257418326.0734,,15.9845570577283,13.4196774022208,78.8660474267992,24.8880308630392,,9.85313658085225
1999,330.0,0.969238199999989,10682045258.3647,,7.77940946229747,16.9349580296441,92.3059012428403,16.8106292615574,7.58958242147023,15.8235779432458
1998,340.0,0.8684764,11250327988.0478,,6.70209366981448,15.1730423653961,91.4829344550406,17.9490725427545,6.77310930633957,17.6622709367837
1997,380.0,0.8684764,11681494637.3041,,5.34362990319235,12.5149833365397,91.0463601694075,15.7705462492061,,47.5834473077751
1996,400.0,0.8684764,9018243044.45155,,7.45483003822051,15.7512801574863,95.7197392514892,12.4730594411087,,32.5622538898272
1995,400.0,2.0634517,13829744878.6366,,4.96946562148932,9.8030013273587,90.7147502219028,14.1236313216024,,104.555028672228
1994,320.0,2.0634517,12794192334.2541,,4.69055622154184,9.91965314890991,87.8266158022698,17.390433186285,,159.266975169561
1993,310.0,2.0634517,8881785938.48085,,4.23037900695365,7.23566889785164,88.2414231428574,21.708731235447,,97.487348250859
1992,340.0,2.0634517,7034219712.52567,,5.24607630927134,14.4242066868769,87.5377481452506,19.0473966368574,,109.233655161945
1991,450.0,2.0634517,11379222222.2222,,3.33502582679933,11.7363030084071,87.0983175963989,16.1112358782576,,88.7728457848525
1990,530.0,2.0634517,12408647540.9836,,4.02138910265514,7.06606643304676,90.2992690845557,11.1965809142884,,66.2355883515839
1989,720.0,2.0634517,15291507936.5079,,5.34138151168041,9.3438104975788,90.9312669652728,5.19014080852013,,36.738651931876
