date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,1010.0,,7522947810.12326,,,,,,,4.84119974862607
2017,1000.0,3.76800831431943,7157865188.25222,,15.7212047531276,40.9215394067741,100.219616455547,27.1863602494215,,4.38103451025837
2016,1110.0,3.76800831431943,6952678127.03396,,12.9352357142464,42.0381393965759,104.783669333745,31.116703469771,,5.30249250149863
2015,1250.0,3.76800831431943,7854602391.65355,,10.4898499649856,42.2403410957121,110.915186732963,28.8665054008887,,1.49111655456757
2014,1350.0,3.74100623573957,9112544556.05962,,9.17009118973376,45.4370684156367,117.208922947675,26.5156987249439,,4.76080233555025
2013,1330.0,3.71400415715971,8448469837.53831,,11.088143661398,60.6555992268362,129.915379302463,24.9057147542124,,3.63293080002083
2012,1150.0,3.68700207857986,7633049792.09321,,17.2772798792139,65.8986646609389,127.724116571865,23.2673636939311,,11.8829034591757
2011,1020.0,3.66,6522732202.50748,,16.4476856516722,63.336559021785,124.434091203847,29.2094402931719,,13.3236803291984
2010,920.0,3.58333333333334,5642178579.58438,,14.9390256242133,58.5540188852597,122.266474009495,23.8461818667509,,12.4398325892617
2009,660.0,3.50666666666666,4979481980.35098,,24.4709988607994,61.5071381826114,116.468962842669,24.8447536175679,,12.1339505199499
2008,570.0,3.43,5161337336.40365,,34.0147964082001,80.4653526853787,120.893996724459,26.5087253628509,,28.1509797617856
2007,440.0,3.35333333333332,3719506172.83951,,45.8592358876636,99.6688638280591,121.380931554778,24.6329386773297,,27.2850688336743
2006,370.0,3.27666666666666,2830220713.07301,,58.1562258976776,82.9976861770503,97.0798697403376,15.9664495672294,,21.0076396939738
2005,320.0,3.2,2312327536.41789,,54.2419448838565,72.7527544195598,103.144339910637,11.6476563150445,,9.57152859831058
2004,270.0,2.64,2076182460.86517,,58.7453180484167,69.5928526259465,95.5166766656398,11.7772898999562,13.7474421545895,17.3567013122693
2003,210.0,2.44,1555301496.04756,,63.9307766623262,73.7388163145294,91.8531293317092,9.13672029235099,11.1684588566388,27.168372864355
2002,170.0,2.8,1221120798.81336,,62.8092317719906,75.8747370604094,93.4505436553788,9.29571889906082,,18.7790862746545
2001,160.0,2.50666666666666,1080768906.5003,,68.1410406427959,78.5162649192605,90.6856892113269,16.3827950698182,9.48158982759966,30.947706315931
2000,170.0,2.21333333333336,860521119.298753,,86.7521128337158,88.5990933004981,83.5131527396877,9.41400347008451,8.9553366541669,22.631873605948
1999,180.0,1.92,1086605267.40992,,66.0966542750929,67.5092936802974,89.1082527881041,17.3349814126394,10.0075836431227,26.5011437514061
1998,180.0,2.0063349,1320242080.86531,,48.8637471959427,58.0317955720277,91.1532624597679,15.4240612503657,11.3588218082512,87.8763481550034
1997,170.0,2.0428432,921572114.529611,,87.4179853338479,94.1721343110768,70.6603241991509,19.6888653029718,,65.2512001901191
1996,170.0,2.1,1043654822.33503,,76.605804150454,80.0647859922179,68.0285343709468,22.3203307392996,,430.412728198188
1995,210.0,2.0,1231567145.35508,,65.5830945558739,71.9328080229226,71.3928366762178,28.6683381088825,,294.530765618633
1994,210.0,5.0170665,1522018435.69536,,38.0613861386139,48.3044554455446,40.0841584158416,32.3193069306931,,263.011478064155
1993,290.0,7.4,1646693642.11088,,28.554860973609,41.641444856165,34.619409951065,39.1579215342404,,1207.2110489489
1992,350.0,9.2,1909246640.80838,,,,,,,574.014511227964
1991,,7.5,2534720480.3244,,,,,,,99.6335110908983
1990,,8.7,2629395066.27017,,,,,,,6.28991299918663
1989,,8.4,,,,,,,,7.26277902274315
1988,,7.8,,,,,,,,-2.57441539130542
1987,,8.2707775,,,,,,,,5.8229957260812
1986,,8.2707775,,,,,,,,-4.02900157355316
1985,,6.9,,,,,,,,
1984,,8.2707775,,,,,,,,
1983,,8.2707775,,,,,,,,
1982,,8.2707775,,,,,,,,
1981,,8.2707775,,,,,,,,
1980,,8.2707775,,,,,,,,
1979,,8.2707775,,,,,,,,
1978,,8.2707775,,,,,,,,
1977,,8.2707775,,,,,,,,
1976,,8.2707775,,,,,,,,
1975,,8.2707775,,,,,,,,
1974,,8.2707775,,,,,,,,
1973,,8.2707775,,,,,,,,
1972,,8.2707775,,,,,,,,
1971,,8.2707775,,,,,,,,
1970,,8.2707775,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
