date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,660.0,,5358722982.70893,,31.3166169382988,42.2890443313526,85.6257314305132,25.3467020126292,17.8860132664408,1.32842544443837
2017,600.0,4.8928383555916,4808043652.61932,,33.1149461145157,43.7309700947889,86.9976878110698,23.6183361710721,15.2559463710431,0.859975153938407
2016,610.0,4.8928383555916,4483932937.18367,,35.1769023722748,53.4910938624127,86.3054995300881,32.0086919600498,18.4159201992255,1.9095449558141
2015,640.0,4.92566052091489,4179185205.16122,,35.8463566899441,57.8134273439716,89.7437754295796,32.2232952244478,17.793321459595,3.47441922049082
2014,640.0,5.28,4569131195.45321,,39.7142688930332,57.7452350482305,90.115079500338,27.9158866548593,16.1462349078272,-0.0791667764351303
2013,620.0,5.09,4320427495.74933,,49.786823296153,68.3155223044287,89.7865787382687,23.198691371698,17.8775120427423,1.71785984526906
2012,590.0,4.84,3873529926.22723,,46.5884416108482,60.3977058388646,89.4817910314926,24.1490475701654,17.4947902279025,1.70956539800962
2011,610.0,4.81,3867391618.08827,,38.2990891236792,54.7079663168924,92.2830379841865,17.7333678175847,15.1340545818901,1.07978709169443
2010,560.0,4.54,3426022205.75557,,37.197008539453,53.07564694165,91.5333341701879,17.5324196177578,14.1828714002581,0.631900628552472
2009,530.0,4.53,3365711796.38206,,34.528268521554,49.194796768021,91.7419868956478,16.9017063595687,14.7324774276181,1.58465881033499
2008,480.0,3.76,3310277926.58997,,33.9188861005424,49.6320057206077,,16.5529133948569,13.231588611396,11.7761761924798
2007,430.0,3.61,2659095101.10026,,25.5696626690186,25.8294263725503,68.4361476080024,13.4247652179508,16.4435127060097,1.41239760103147
2006,420.0,3.28,2349495620.59025,,35.815722515075,52.6131213614993,94.0863663831838,15.7276423817772,16.2580072098479,-1.84957419930795
2005,420.0,3.39,2280575830.08337,,37.1396848946448,54.4004602092722,93.8948839958402,15.1102744546445,14.8812996971564,-0.241892371271348
2004,390.0,3.55,2255942249.33218,,33.1137594858111,49.6897707630603,89.2311322979073,12.4629805836648,13.1415087196462,-4.88346397924168
2003,340.0,3.84,2111093197.99043,,34.3828364553925,46.8678694391378,80.1958972279636,11.4389144623169,,-1.25936121991394
2002,290.0,3.62,1698678686.38235,,31.7007121445928,42.6029153965636,83.806062541017,13.993127397148,,10.0618113169576
2001,290.0,3.89,1481141849.98469,,30.4052052068002,43.6128922922189,88.6991811530264,14.044273560559,,4.16551884782767
2000,310.0,4.21,1488185772.47585,,29.9027986330084,41.4019874418741,84.7748376532368,13.2017935865407,,10.0494567392309
1999,310.0,4.15,1576094566.48548,,28.8746893485824,39.0148387283692,96.8002912711441,13.3398598089724,,1.11512720904497
1998,330.0,3.26712479204857,1587345950.9743,,29.686342329128,43.3014801595913,97.1778283852063,16.4373146884202,,9.55663246474498
1997,350.0,4.1883602,1498950899.08774,,28.9750122634569,44.8055433700896,99.5430489543503,16.2874821522824,,2.03603453970376
1996,310.0,4.2,1465448290.34132,,33.2820379210083,44.140389309681,92.0896813953762,18.7686678189589,,5.38792781170298
1995,300.0,4.3,1309382885.33029,,32.4369128104169,37.4095538486175,88.8428547142023,16.1297813207575,,11.0842103557069
1994,310.0,5.1137419,982624324.505898,,30.548558845569,34.2544923520092,88.6624248308831,15.0435071541779,,35.8423813651379
1993,330.0,5.1137419,1233496846.33493,,24.3838623590517,32.0945785110338,100.232757012932,7.47795387107258,,-8.19677351010027
1992,420.0,5.6,1692959110.18022,,26.9345382011752,36.1516434262465,93.5057097557066,15.7113936394665,,3.2454346132246
1991,400.0,5.5952409,1602299862.9243,,33.4427775099695,41.5335736611877,90.9770386737125,17.1137538272235,,2.67109282206957
1990,400.0,4.7,1628427515.41881,,33.4738898770104,45.3352603490119,85.2903983511978,26.5709739928568,,2.97594444390469
1989,400.0,4.9016369,1352949662.75172,,39.6684746849857,48.8412743782117,92.6529518004031,16.5198421931296,,0.992354543135093
1988,390.0,4.9016369,1378847487.41137,,43.6585287966367,52.5947684527318,92.9174239880978,16.027262241554,,2.58577645120832
1987,310.0,4.6,1249099130.02277,,41.3692065752063,50.7458691417771,91.7368165857055,17.6398503495387,,1.65884167984854
1986,250.0,4.6,1060911735.26065,,43.9847574433802,55.6886239061344,92.8742531090297,18.8296133537246,,5.5947999400934
1985,230.0,5.0868902,762359722.701402,,48.4087572864789,57.1094884687219,92.0671498035588,16.6335753640859,,3.40143734600386
1984,230.0,5.6,718148959.610872,,51.2428292722161,53.3460795623743,87.0618245810418,15.0414283222457,,1.87944529874022
1983,250.0,5.7575882,765746590.616849,,45.4763538763558,46.7443480583282,80.6716968557761,20.5962987312683,,14.2601237173865
1982,320.0,5.7575882,821651918.724626,,50.1481477609602,58.6666688587654,87.1851935936078,21.333329022716,,7.08675789667312
1981,390.0,5.7,962347000.991788,,46.2332713299285,52.9636714435398,82.9063123867963,23.8240892946926,,12.6474222753603
1980,420.0,5.4,1136408814.19692,,51.0620564569705,56.3515193123926,76.8429935987209,28.4464675490793,,10.4657265829037
1979,350.0,6.1,891775906.631014,,50.0019000790953,76.2351070392238,77.4196089513184,48.8138182513009,,7.54699873687348
1978,330.0,6.3,824263841.539264,,63.9784941611747,76.8817178326974,60.2150540871777,52.6881607671406,,-12.3041865374699
1977,290.0,3.6877623,777435020.475847,,41.4690528909972,52.4628282387259,76.6481681712815,34.3455492706889,,20.6574056877001
1976,270.0,3.6877623,619375134.18051,,47.3047212473611,46.5271509665831,74.3574344507761,24.8648652008766,,14.2100141053724
1975,260.0,3.6877623,617321669.390877,,43.4077185301709,53.6949883624034,82.622829564202,27.6644000563894,,-4.26383525512699
1974,220.0,3.6877623,560437742.594972,,66.009132659836,28.8868140663666,46.4951811745273,16.3825063105801,,42.032080706437
1973,170.0,3.6877623,406479906.159652,,33.1177763347238,32.9932845868993,78.1315689479763,21.743934778812,,3.13437416982151
1972,140.0,3.6877623,335677636.893737,,39.2801278134784,38.480258113197,78.5145459500622,20.6855724111263,,-0.372352692178822
1971,130.0,3.6877623,286537524.990331,,46.8204229988934,39.8797354422315,74.1746427786981,18.8846709320675,,12.3932368544863
1970,130.0,1.9,253976626.166639,,49.6356481955762,38.7883581097979,74.0529857646518,15.0997301324821,,-1.62125040880449
1969,140.0,,267732446.378413,,45.8916111694744,32.3415740181212,73.2315549694409,13.2184136263416,,4.83856099553377
1968,130.0,,241956910.658103,,42.0121934911842,29.0931611173892,76.0626163710545,11.0183641099105,,0.0609454255738058
1967,120.0,,231706475.464114,,37.9233323353509,27.6010515543583,77.046138849663,12.6315751061866,,1.74808937731441
