date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,15950.0,,23808146747.7994,,,,,,,6.05661988687804
2017,15970.0,2.87,22474828527.1775,,,,,,,4.95044225513684
2016,16720.0,2.87,22284780326.8856,,,,,,,-0.771108043706619
2015,19130.0,2.87,25062893969.3292,,,,,,35.9285543128242,-11.3103698981569
2014,18560.0,2.87,27615843098.0949,,,,,,33.1909734130278,1.67509918708298
2013,18750.0,2.87,27268478564.5547,,,,,,30.8373923254738,3.74413309113754
2012,16840.0,2.87,25763220107.0051,,,,,,30.0558657194326,0.34484257808522
2011,14970.0,2.87,25433011405.3017,,,,,,27.3237231592599,15.7297032514581
2010,16460.0,2.87,22157948396.2042,,,,,,30.6976810034827,12.7333361257462
2009,16200.0,2.87,19172165225.5015,,,,,,33.0138554038054,-27.6317920499279
2008,17350.0,2.87,27871587349.5413,,,,,,26.4320498016969,23.792521003189
2007,15000.0,2.87,21641620049.9352,15.928004235045,,,,,24.5123674266625,12.7518502876051
2006,13280.0,2.87,18369361094.3886,16.803206848237,,,,,29.5059775859218,1.72921265884327
2005,11190.0,2.87,15982282462.3786,,,,,,22.6525128974759,13.3214257161692
2004,9700.0,2.87,13280275123.0354,,,,,,22.6183444973216,8.88422470453017
2003,8070.0,2.87,11305459802.0683,,,,,,22.0993691073361,10.4785614283141
2002,6760.0,3.46,9008273720.93395,,,,,,24.9003375377509,-5.19253491668655
2001,6070.0,3.0,8824873259.32105,,,,,,23.8616266597827,2.79394763478622
2000,5400.0,2.55,8154338232.95978,,,,,,,12.0431530642792
1999,4890.0,2.85,6808982520.75759,,,,,,,4.30318181247706
1998,4620.0,2.4,6043694330.21609,,,,,,,-1.85648387898057
1997,4500.0,3.2,5737751331.63779,,,,,,,-3.54356763782603
1996,4230.0,3.3,5759537726.26601,,,,,,,1.84954320173001
1995,3970.0,3.4,5329214163.22001,,,,,,,4.16928787404554
1994,3880.0,3.4,4947205860.01451,,,,,,,13.2678024515459
1993,4080.0,3.8537703,4669488516.37981,,,,,,,8.81178502260418
1992,4420.0,3.8537703,5439552941.17647,,,,,,,-6.91485727936117
1991,3890.0,3.7574288,5307905882.35294,,,,,,,1.57239169049596
1990,3710.0,3.7,5068000000.0,,,,,,,15.4888864088758
1989,3630.0,4.2,4323058823.52941,,,,,,,7.18401031192674
1988,3930.0,4.7430949,4496852073.46896,,,,,,,4.15797138277196
1987,4280.0,4.7430949,4797777777.77778,,,,,,,4.85267158165416
1986,5090.0,4.7430949,4794444444.44444,,,,,,,-1.24966910601003
1985,5900.0,5.3,7375918367.34694,,,,,,,1.23759805903009
1984,6030.0,5.0,7757083333.33333,,,,,,,6.01070714031182
1983,6120.0,4.7,7763750000.0,,,,,,,6.32467277960855
1982,6710.0,4.7,8140416666.66667,,,,,,,12.1619468018609
1981,6060.0,3.8108439,6992083333.33333,,,,,,,7.21981445234066
1980,5140.0,3.0,6235833333.33333,,,,,,,22.7370409756595
1979,3940.0,3.0297539,4602416625.0,,,,,,,24.7079832304979
1978,3360.0,3.0297539,3562333458.33333,,,,,,,3.16482060996518
1977,2810.0,3.0297539,3138666666.66667,,,,,,,13.3422942311453
1976,2530.0,3.0297539,2500410583.79177,,,,,,,7.99564765538223
1975,2170.0,3.0297539,2442667573.04821,,,,,,,24.5714566458298
1974,1500.0,3.0297539,2042031901.42217,,,,,,,57.5116685257499
1973,1200.0,3.0297539,1308799458.96284,,,,,,,21.1827068817033
1972,1000.0,3.0297539,1083381044.08473,,,,,,,11.1099220491908
1971,870.0,3.0297539,896754316.674262,,,,,,,6.63536247591519
1970,830.0,3.0297539,821850000.0,,,,,,,1.87371663244356
1969,810.0,,779200000.0,,,,,,,-0.0542716282344458
1968,790.0,,758899950.0,,,,,,,8.92237534903026
1967,770.0,,761981474.023359,,,,,,,4.60952361385711
1966,760.0,,723735635.536371,,,,,,,-5.57303185335742
1965,820.0,,736568861.926151,,,,,,,2.75322489182739
1964,800.0,,711893367.55527,,,,,,,-2.4787737692797
1963,750.0,,678235373.038558,,,,,,,3.70102990582404
1962,640.0,,619319197.340022,,,,,,,3.04750995273919
1961,,,584961208.656595,,,,,,,-4.24012171942006
1960,,,535670127.748935,,,,,,,
