date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,10420.0,,771350330455.267,,29.5301044366533,30.6272671841141,71.5180305617706,29.57913217038,33.8724297508497,16.4387464437223
2017,10900.0,3.79819811778181,852676778300.885,,24.7737943716127,29.2845159575197,73.5172486492365,30.9934729392596,31.8874573982371,10.9597041215266
2016,11180.0,3.79819811778181,863721648068.806,31.8721809053214,21.9650827348204,24.8505638162036,74.6588417805833,28.2266394413927,30.8362109711827,8.09826222521777
2015,11960.0,3.79819811778181,859796872677.614,29.2069977270683,23.3459303496887,25.9539354109365,74.2459804947106,28.3620246228471,29.0337534229183,7.82694199547788
2014,12560.0,3.81389588596538,934185915386.096,31.5638493902928,23.7643347705447,27.64976944272,74.8520584812581,29.0333761996007,29.8946173787491,7.42167773825962
2013,12510.0,3.82539426460108,950579413122.56,32.9184777618761,22.272255141525,28.0780693765004,76.0326035718181,29.7732105690689,29.9897262161508,6.26881392519022
2012,11870.0,3.91261068384083,873982246611.954,39.2866761242915,23.6673658447516,28.5779439373089,76.6064285384252,28.3041496869579,30.3208546216514,7.41821793534893
2011,11230.0,3.70050890320064,832523680908.06,42.3601056084202,22.2624079243358,30.4005331519081,76.8694313900443,31.2686938001663,30.9997187970082,8.18856840910397
2010,10430.0,3.48840712256049,771901768870.083,47.432445669861,20.4488078114564,25.4504090927729,78.0288371489535,26.9727641963312,33.555802541669,7.01265789203931
2009,9580.0,3.27630534192034,644639901973.703,50.4730899255796,22.5736725572873,23.358801760977,77.7666920030688,23.0184371946922,35.954456663932,5.40180315893824
2008,9780.0,3.06420356128019,764335657637.62,41.5459511092051,22.8262573162663,27.0800651339249,75.3179034662414,28.9359041086141,29.8792844574622,12.0373365532394
2007,8880.0,2.85210178064013,675770112179.989,,21.2202245917385,26.0693607669614,76.1354033855615,28.7137328851447,,6.21664185593183
2006,7820.0,2.64,552486912921.989,,21.6504180440567,26.5006906621625,75.2850353682714,29.565237489428,,9.37170405401363
2005,6760.0,2.74999999999999,501416301536.12,,21.0177812825467,24.4193598635549,76.3680308274317,27.033547494719,,7.10486310858336
2004,5220.0,2.86,404786739602.812,,22.7504811525694,25.3692017195144,77.4134093476632,25.2053108200244,,12.4468882254797
2003,3910.0,2.50570340716698,311823003788.624,,22.2431333267289,23.3583384734639,78.6416909456541,22.4735147595362,,23.3200438946598
2002,3560.0,2.47873938978663,238428125942.395,,24.4606945843763,22.9998443264571,77.2959915813698,21.2431586002781,,37.5744290577553
2001,3550.0,2.63,200251925227.875,,26.577921477961,22.8209119015129,78.1075198131764,18.1354707899458,,52.9236568548466
2000,4300.0,2.19738064210416,272979390333.738,,19.4487718544117,22.5518256660871,79.302891679575,23.8001616418743,,49.340681628786
1999,3580.0,2.35612373365029,255884300638.529,,18.5778590631468,18.8237598800051,78.904216617238,21.3416840993855,,54.290474678421
1998,3430.0,2.8104924,275768693191.091,30.3184577488056,20.5683375501524,19.7060103738513,75.2810615075315,23.8566136600466,21.8646728236555,143.692539401068
1997,3190.0,2.6627173,189834649111.257,44.2932887174408,24.5817176843052,30.3886058880971,80.2964821275181,25.1107862720154,27.5709848901039,81.4548625820616
1996,2920.0,2.6627173,181475555282.555,37.9207501444174,21.5426581369532,27.8266567494196,78.8441491588656,24.55131495025,25.1731875111519,77.223512216706
1995,2850.0,2.3,169485941048.035,35.8414007648945,19.8916075029397,24.3510272476774,81.097346238132,25.4735572675252,20.9554937128727,86.007542441817
1994,2680.0,3.3,130690172297.297,44.0175057105221,21.3621312072128,20.3837211337284,81.6150281777169,21.3205329264016,21.9351053894202,104.749137215122
1993,3140.0,3.2,180169736363.636,33.6982232562416,13.673802849848,19.3432849256138,81.9872533329808,26.6156090890252,22.9351907602684,68.3794283559812
1992,2940.0,2.527174,158459130434.783,34.0172750620102,14.3922357339889,17.345129910515,82.4584129039811,23.3622714401739,18.8673895705746,65.1994382769795
1991,2590.0,2.1437579,150027833333.333,32.1299111323629,13.8411301141106,16.6348815592789,83.0205633272175,22.7120396231239,19.2333041694327,59.1641068909335
1990,2310.0,1.9090909,150676291094.21,30.2454942016516,13.3651028519295,17.5778926485052,79.5414799056226,24.5492675167824,15.2956468245831,58.2443981066746
1989,1920.0,1.0494792,107143348667.094,,16.2029157514894,17.7807524857703,74.9503241850065,23.4725869123308,14.9850499661496,75.4048306122696
1988,1860.0,1.1377709,90852814004.9917,,18.6539704158267,17.5528634276008,71.1069495335637,25.14260066783,14.4399088408158,69.0181311101418
