date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,5430.0,,42587778.4724662,,,,,,,4.9240681086056
2017,4810.0,,40620557.1335093,,,,,,,3.56237579860101
2016,5070.0,,36547419.8730745,,,,,,,1.00024338447608
2015,5440.0,,35492333.8641732,,,,,,,4.63066344498189
2014,4670.0,,37291841.426971,,,,,,,5.0654974528135
2013,5560.0,,37507514.536976,,,,,,,2.11123625668405
2012,4430.0,,37671734.4913473,,,,,,,0.808774130989903
2011,4720.0,,38713279.6189995,,,,,,,0.615295159434879
2010,4400.0,,31824701.2779469,,,,,,,2.64329685809339
2009,4820.0,,27101312.7912806,,,,,,,0.689026273491393
2008,4660.0,,30290770.2575339,,,,,,,3.52346551847478
2007,4500.0,,27030996.0274377,,,,,,,-0.1314648409857
2006,3780.0,,22902861.4457831,,,,,,,4.12529955494693
2005,3630.0,,21839098.8927071,,,,,,,1.49744563435689
2004,3240.0,,21534931.6075894,,,,,,,5.59964928328056
2003,2490.0,,18231078.5394643,,,,,,,2.25319617674673
2002,3310.0,,15450994.2410084,,,,,,,3.31612272895589
2001,2710.0,,13196544.946726,,,,,,,5.91366256168033
2000,,,13742057.0500928,,,,,,,12.826189081005
1999,,,13687141.1058778,,,,,,,6.12139353680392
1998,,,12757632.8684508,,,,,,,2.74029374849025
1997,,,12700905.4475286,,,,,,,-1.30498874432891
1996,,,12334846.2320995,,,,,,,12.6928853600861
1995,,,11025945.1445515,,,,,,,5.14789771410848
1994,,,10886825.5592923,,,,,,,-4.66373817844992
1993,,,9630762.95389637,,,,,,,2.54628537535977
1992,,,9742949.47121034,,,,,,,7.34481418859367
1991,,,9365165.91369372,,,,,,,2.64649084200674
1990,,,8824447.74022325,,,,,,,
1989,,,,,,,,,,
1988,,,,,,,,,,
1987,,,,,,,,,,
1986,,,,,,,,,,
1985,,,,,,,,,,
1984,,,,,,,,,,
1983,,,,,,,,,,
1982,,,,,,,,,,
1981,,,,,,,,,,
1980,,,,,,,,,,
1979,,,,,,,,,,
1978,,,,,,,,,,
1977,,,,,,,,,,
1976,,,,,,,,,,
1975,,,,,,,,,,
1974,,,,,,,,,,
1973,,,,,,,,,,
1972,,,,,,,,,,
1971,,,,,,,,,,
1970,,,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
