date,GNI per capita,Adjusted savings: education expenditure (% of GNI),GDP (current US$),"Central government debt, total (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Final consumption expenditure (% of GDP),Gross capital formation (% of GDP),Expense (% of GDP),"Inflation, GDP deflator (annual %)"
2019,,,,,,,,,,
2018,2660.0,,130832374404.882,,45.2099723888402,53.8086877645976,89.829168242614,18.7695471331433,33.4237021755197,15.4146571167799
2017,2260.0,4.6391660925235,112190355158.178,,48.0142981525409,55.7035432366293,87.7422766717987,19.9469684122898,33.5763042908533,22.0805362945419
2016,2310.0,4.6391660925235,93355993628.5042,71.8095454494004,49.2986194577187,56.2225854554037,85.1998036360862,21.7241623615989,33.5044167207813,17.0971203003488
2015,2650.0,5.23543989417217,91030959454.6961,70.2588376218982,52.5976795082231,55.2089367899327,86.6779412474655,15.9333160342442,37.3687532184352,38.8816593398634
2014,3560.0,5.8317136958207,133503411375.739,63.6653191884884,48.5929618158503,52.0988206677736,90.1093631353916,13.3964957165318,43.5407000374941,15.9018087091171
2013,3800.0,6.6137001205415,183310146378.081,37.0287155729123,42.9567198426424,52.1929459363171,90.7475986180707,18.488627475604,40.1985260695142,4.33701797361377
2012,3500.0,6.59698987535316,175781379051.433,33.7031001609632,47.7207797708926,56.3722841466566,86.9359970213623,21.7155073544016,41.0699602539815,7.79492326205909
2011,3110.0,6.09427146295966,163159671670.265,27.4827594960273,49.8163448823876,56.4254675609293,84.1721981152177,22.4369245633239,38.2715803417101,14.2007909777237
2010,2980.0,6.04741717036772,136013155905.036,29.9695556383217,47.0534008557034,51.0866765615474,83.1598949734376,20.8733807324065,41.054823939682,13.9222360798462
2009,2840.0,6.00056287777579,117113410001.027,24.8994141074509,43.9131178119664,45.953220655507,83.2187704804845,19.8511924984712,40.7490131009344,13.018639642203
2008,3210.0,5.95370858518386,179816790704.739,13.8402079543379,44.4321851993019,52.5151219841817,78.7778037040283,32.5112365660083,37.3499019670985,28.5785525787882
2007,2560.0,5.90685429259192,142579603960.396,,42.4632687385334,48.3502701982009,76.2465851974995,32.8258523638697,34.9861880179493,23.102208780029
2006,1950.0,5.86,107647920792.079,,44.1490594567549,47.312654749072,76.8037349481809,28.8130355283635,36.8299848056186,14.7287202386138
2005,1540.0,5.53980263630924,86057915585.3026,,48.745524589532,48.4312538405201,75.2741932923829,26.3266375070575,36.0806628255797,24.1927242797506
2004,1270.0,5.21960527261847,64819702951.6826,,60.255064157598,53.516776109706,69.9520848318908,24.6371557184955,33.016625287143,15.1462038400093
2003,980.0,4.89940790892778,50084197498.4529,,54.6850429078492,52.7736592233155,74.1283641101676,25.6151622710458,29.7427516320708,8.10620776470753
2002,790.0,4.57921054523709,42351593887.2827,,52.1623298905093,48.4941708409061,74.165521521344,23.4957223281174,29.0232049541203,5.07263497285946
2001,730.0,4.2590131815464,37972301334.6736,,52.5160423744185,51.4851145393669,75.2464569515322,25.3731782284513,27.6422979445172,9.83631720186851
2000,700.0,3.93881581785575,31261527363.144,45.2874698653496,62.4448756394426,57.4134180043511,75.2525430705004,19.6301522902334,26.8720526841889,23.1159426378673
1999,760.0,4.17320621326374,31580639045.454,60.976448181234,53.7037897388181,48.2479153509223,77.0311675313564,17.512954324289,25.1706500942215,27.3999247083951
1998,850.0,4.40759660867176,41883241471.7365,,41.8878457925252,44.1618797133666,81.456822150645,20.8172097232732,,12.0120189301511
1997,890.0,5.5,50150399791.647,,40.5912251989429,43.6501889784136,81.6130228720757,21.4459376941995,,18.0737959559305
1996,860.0,6.3609242,44558077827.135,,45.651931168892,48.2047120655609,79.8819898697091,22.6707877148486,,66.1456629431845
1995,920.0,5.4,48213868178.0873,,47.0732489726224,50.1564464413865,76.3999911248759,26.683208178198,,415.809870239214
1994,1010.0,4.9,52549555149.1978,,35.3888483458588,38.5551534038457,67.8346886209999,35.3314453078142,,953.461171913558
1993,1230.0,4.3,65648559903.0571,,25.8779413649147,26.1908776378707,64.0204217895369,36.2925144834191,,3334.80111215728
1992,1420.0,4.6,73942235330.437,,23.9809249416323,21.9899657245045,63.5557100988525,34.4523371913964,,1761.24256896616
1991,1520.0,4.3,77464561149.5103,,26.1154154421587,23.944696767299,71.4667379107668,26.3491851456051,,95.6187119888811
1990,1610.0,3.4,81456918678.5008,,27.6431520373362,28.7201579608688,73.5954047747263,,,16.3395789978273
1989,1620.0,3.5,82709161099.1244,,32.0751026794445,32.1402959775735,71.191081556816,,,3.84709321086116
1988,,3.9,74703517902.6642,,,,,,,1.71812831822946
1987,,3.9,64087694038.2333,,,,,,,
1986,,4.0,,,,,,,,
1985,,3.9,,,,,,,,
1984,,3.8,,,,,,,,
1983,,3.8,,,,,,,,
1982,,4.1,,,,,,,,
1981,,4.1,,,,,,,,
1980,,4.2,,,,,,,,
1979,,4.2,,,,,,,,
1978,,4.1,,,,,,,,
1977,,4.1,,,,,,,,
1976,,4.3,,,,,,,,
1975,,4.4,,,,,,,,
1974,,4.4,,,,,,,,
1973,,4.4,,,,,,,,
1972,,4.4,,,,,,,,
1971,,4.3,,,,,,,,
1970,,3.7,,,,,,,,
1969,,,,,,,,,,
1968,,,,,,,,,,
1967,,,,,,,,,,
1966,,,,,,,,,,
1965,,,,,,,,,,
1964,,,,,,,,,,
1963,,,,,,,,,,
1962,,,,,,,,,,
1961,,,,,,,,,,
1960,,,,,,,,,,
